"","x"
"1","Fusobacterium_periodonticum"
"2","Lachnoanaerobaculum_umeaense"
"3","Campylobacter_concisus"
"4","Porphyromonas_catoniae"
"5","Actinomyces_graevenitzii"
"6","Prevotella_pallens"
"7","Prevotella_melaninogenica"
"8","Eubacterium_sulci"
"9","Veillonella_rogosae"
"10","Prevotella_veroralis"
"11","Catonella_morbi"
"12","Eubacterium_yurii"
"13","Haemophilus_parainfluenzae"
"14","Cardiobacterium_hominis"
"15","Neisseria_elongata"
"16","Capnocytophaga_gingivalis"
"17","Campylobacter_showae"
"18","Leptotrichia_buccalis"
"19","Leptotrichia_hofstadii"
"20","Lachnoanaerobaculum_saburreum"
"21","Streptococcus_lactarius"
"22","Capnocytophaga_leadbetteri"
"23","Cardiobacterium_valvarum"
"24","Actinomyces_odontolyticus"
"25","Haemophilus_pittmaniae"
"26","Leptotrichia_wadei"
"27","Oribacterium_sinus"
"28","Propionibacterium_propionicum"
"29","Prevotella_oulorum"
"30","Prevotella_salivae"
"31","Prevotella_loescheii"
"32","Neisseria_meningitidis"
"33","Leptotrichia_hongkongensis"
"34","Streptococcus_mutans"
"35","Orientia_tsutsugamushi"
"36","Actinomyces_massiliensis"
"37","Streptobacillus_moniliformis"
"38","Neisseria_flavescens"
"39","Gemella_sanguinis"
"40","Corynebacterium_durum"
"41","Porphyromonas_gingivalis"
"42","Peptococcus_niger"
"43","Corynebacterium_matruchotii"
"44","Streptococcus_australis"
"45","Leptotrichia_trevisanii"
"46","Veillonella_tobetsuensis"
"47","Neisseria_subflava"
"48","Stomatobaculum_longum"
"49","Treponema_vincentii"
"50","Aggregatibacter_segnis"
"51","Atopobium_parvulum"
"52","Kingella_oralis"
"53","Prevotella_maculosa"
"54","Solobacterium_moorei"
"55","Prevotella_micans"
"56","Rothia_aeria"
"57","Capnocytophaga_haemolytica"
"58","Neisseria_mucosa"
"59","Haemophilus_haemolyticus"
"60","Veillonella_parvula"
"61","Kingella_denitrificans"
"62","Dialister_invisus"
"63","Prevotella_nigrescens"
"64","Capnocytophaga_ochracea"
"65","Tannerella_forsythia"
"66","Aggregatibacter_aphrophilus"
"67","Anaeroglobus_geminatus"
"68","Haemophilus_parahaemolyticus"
"69","Alloprevotella_tannerae"
"70","Prevotella_stercorea"
"71","Streptococcus_peroris"
"72","Prevotella_denticola"
"73","Streptococcus_sanguinis"
"74","Megasphaera_micronuciformis"
"75","Catenibacterium_mitsuokai"
"76","Campylobacter_rectus"
"77","Treponema_lecithinolyticum"
"78","Mogibacterium_diversum"
"79","Klebsiella_pneumoniae"
"80","Campylobacter_gracilis"
"81","Treponema_socranskii"
"82","Leptotrichia_shahii"
"83","Porphyromonas_endodontalis"
"84","Streptococcus_salivarius"
"85","Olsenella_uli"
"86","Capnocytophaga_granulosa"
"87","Neisseria_shayeganii"
"88","Prevotella_histicola"
"89","Sneathia_sanguinegens"
"90","Treponema_pedis"
"91","Butyrivibrio_fibrisolvens"
"92","Oribacterium_parvum"
"93","Bacteroides_intestinalis"
"94","Streptococcus_infantis"
"95","Prevotella_copri"
"96","Neisseria_bacilliformis"
"97","Neisseria_canis"
"98","Prevotella_pleuritidis"
"99","Eubacterium_brachy"
"100","Peptostreptococcus_stomatis"
"101","Treponema_denticola"
"102","Filifactor_alocis"
"103","Selenomonas_noxia"
"104","Prevotella_saccharolytica"
"105","Faecalibacterium_prausnitzii"
"106","Haemophilus_influenzae"
"107","Streptococcus_pyogenes"
"108","Granulicatella_elegans"
"109","Prevotella_ruminicola"
"110","Bacteroides_vulgatus"
"111","Eubacterium_nodatum"
"112","Abiotrophia_defectiva"
"113","Streptococcus_thermophilus"
"114","Acinetobacter_johnsonii"
"115","Eubacterium_biforme"
"116","Actinomyces_turicensis"
"117","Fusobacterium_nucleatum"
"118","Streptococcus_parasanguinis"
"119","Gemella_morbillorum"
"120","Dorea_longicatena"
"121","Gemella_haemolysans"
"122","Atopobium_rimae"
"123","Lautropia_mirabilis"
"124","Lachnoanaerobaculum_orale"
"125","Dialister_succinatiphilus"
"126","Treponema_medium"
"127","Prevotella_jejuni"
"128","Rothia_mucilaginosa"
"129","Parvimonas_micra"
"130","Eikenella_corrodens"
"131","Slackia_exigua"
"132","Prevotella_buccae"
"133","Streptococcus_cristatus"
"134","Treponema_succinifaciens"
"135","Propionibacterium_acnes"
"136","Porphyromonas_somerae"
"137","Veillonella_atypica"
"138","Morococcus_cerebrosus"
"139","Dialister_pneumosintes"
"140","Prevotella_intermedia"
"141","Bacillus_pumilus"
"142","Lactococcus_lactis"
"143","Bacillus_cereus"
"144","Treponema_maltophilum"
"145","Selenomonas_artemidis"
"146","Veillonella_dispar"
"147","Actinomyces_naeslundii"
"148","Pseudomonas_putida"
"149","Acinetobacter_lwoffii"
"150","Kingella_potus"
"151","Neisseria_sicca"
"152","Bulleidia_extructa"
"153","Bifidobacterium_longum"
"154","Rothia_dentocariosa"
"155","Prevotella_scopos"
"156","Simonsiella_muelleri"
"157","Cryptobacterium_curtum"
"158","Streptococcus_suis"
"159","Anaerostipes_hadrus"
"160","Streptococcus_oralis"
"161","Prevotella_oris"
"162","Megasphaera_elsdenii"
"163","Butyrivibrio_hungatei"
"164","Streptococcus_pneumoniae"
"165","Prevotella_oralis"
"166","Escherichia_coli"
"167","Campylobacter_mucosalis"
"168","Riemerella_anatipestifer"
"169","Prevotella_corporis"
"170","Neisseria_perflava"
"171","Prevotella_fusca"
"172","Eubacterium_rectale"
"173","Streptococcus_gordonii"
"174","Bacteroides_thetaiotaomicron"
"175","Sporanaerobacter_acetigenes"
"176","Streptococcus_uberis"
"177","Bacteroides_coprocola"
"178","Moraxella_bovoculi"
"179","Neisseria_dentiae"
"180","Collinsella_aerofaciens"
"181","Bacteroides_heparinolyticus"
"182","Atopobium_vaginae"
"183","Streptococcus_constellatus"
"184","Campylobacter_curvus"
"185","Streptococcus_sobrinus"
"186","Actinomyces_oris"
"187","Barnesiella_viscericola"
"188","Sutterella_wadsworthensis"
"189","Streptococcus_agalactiae"
"190","Desulfomicrobium_orale"
"191","Eubacterium_hallii"
"192","Ruminococcus_bromii"
"193","Mannheimia_granulomatis"
"194","Bacteroides_pyogenes"
"195","Bradyrhizobium_elkanii"
"196","Paraprevotella_clara"
"197","Corynebacterium_jeikeium"
"198","Leptotrichia_amnionii"
"199","Mobiluncus_curtisii"
"200","Roseburia_faecis"
"201","Campylobacter_lanienae"
"202","Coprococcus_comes"
"203","Selenomonas_ruminantium"
"204","Eubacterium_coprostanoligenes"
"205","Prevotella_amnii"
"206","Conchiformibius_steedae"
"207","Kingella_kingae"
"208","Streptococcus_vestibularis"
"209","Actinomyces_howellii"
"210","Eubacterium_eligens"
"211","Neisseria_cinerea"
"212","Enterococcus_faecium"
"213","Vagococcus_lutrae"
"214","Aggregatibacter_actinomycetemcomitans"
"215","Bacteroides_eggerthii"
"216","Butyrivibrio_proteoclasticus"
"217","Mannheimia_haemolytica"
"218","Phascolarctobacterium_succinatutens"
"219","Scardovia_inopinata"
"220","Actinobaculum_schaalii"
"221","Desulfovibrio_fairfieldensis"
"222","Flavonifractor_plautii"
"223","Streptococcus_mitis"
"224","Neisseria_macacae"
"225","Peptoniphilus_lacrimalis"
"226","Ruminococcus_torques"
"227","Eubacterium_siraeum"
"228","Parabacteroides_goldsteinii"
"229","Prevotella_dentalis"
"230","Bacteroides_acidifaciens"
"231","Ralstonia_solanacearum"
"232","Peptostreptococcus_russellii"
"233","Scardovia_wiggsiae"
"234","Actinomyces_johnsonii"
"235","Clostridium_hathewayi"
"236","Actinobaculum_massiliense"
"237","Lactobacillus_amylovorus"
"238","Roseburia_hominis"
"239","Prevotella_multiformis"
"240","Acidaminococcus_intestini"
"241","Bacteroides_cellulosilyticus"
"242","Parascardovia_denticolens"
"243","Bacteroides_zoogleoformans"
"244","Desulfobulbus_propionicus"
"245","Oscillibacter_valericigenes"
"246","Streptococcus_pseudopneumoniae"
"247","Lactobacillus_delbrueckii"
"248","Bacteroides_massiliensis"
"249","Lactobacillus_iners"
"250","Eubacterium_desmolans"
"251","Lactobacillus_ruminis"
"252","Pseudomonas_fluorescens"
"253","Treponema_bryantii"
"254","Snodgrassella_alvi"
"255","Clostridium_leptum"
"256","Ruminococcus_flavefaciens"
"257","Prevotella_timonensis"
"258","Lactobacillus_mucosae"
"259","Porphyromonas_uenonis"
"260","Helicobacter_pylori"
"261","Bacteroides_stercoris"
"262","Clostridium_scindens"
"263","Alistipes_shahii"
"264","Eubacterium_ventriosum"
"265","Elizabethkingia_meningoseptica"
"266","Granulicatella_adiacens"
"267","Anaerococcus_octavius"
"268","Pseudomonas_aeruginosa"
"269","Clostridium_symbiosum"
"270","Pseudoflavonifractor_capillosus"
"271","Alistipes_putredinis"
"272","Micrococcus_luteus"
"273","Clostridium_disporicum"
"274","Actinobacillus_succinogenes"
"275","Acinetobacter_calcoaceticus"
"276","Prevotella_bergensis"
"277","Bilophila_wadsworthia"
"278","Treponema_putidum"
"279","Veillonella_rodentium"
"280","Ruminococcus_callidus"
"281","Neisseria_lactamica"
"282","Lactobacillus_vaginalis"
"283","Porphyromonas_asaccharolytica"
"284","Lactobacillus_helveticus"
"285","Propionibacterium_acidifaciens"
"286","Ruminococcus_gnavus"
"287","Eubacterium_ramulus"
"288","Peptostreptococcus_anaerobius"
"289","Corynebacterium_argentoratense"
"290","Gardnerella_vaginalis"
"291","Ruminococcus_albus"
"292","Corynebacterium_tuberculostearicum"
"293","Actinomyces_cardiffensis"
"294","Prevotella_disiens"
"295","Bacteroides_uniformis"
"296","Enterococcus_italicus"
"297","Bifidobacterium_breve"
"298","Azospira_oryzae"
"299","Staphylococcus_epidermidis"
"300","Bacteroides_ovatus"
"301","Parabacteroides_merdae"
"302","Rothia_terrae"
"303","Coprococcus_eutactus"
"304","Bacteroides_dorei"
"305","Acinetobacter_baumannii"
"306","Lactobacillus_plantarum"
"307","Staphylococcus_aureus"
"308","Stenotrophomonas_maltophilia"
"309","Treponema_parvum"
"310","Gemmiger_formicilis"
"311","Megamonas_funiformis"
"312","Odoribacter_splanchnicus"
"313","Phascolarctobacterium_faecium"
"314","Streptococcus_anginosus"
"315","Parabacteroides_distasonis"
"316","Pyramidobacter_piscolens"
"317","Coprococcus_catus"
"318","Fusobacterium_canifelinum"
"319","Roseburia_inulinivorans"
"320","Bacteroides_caccae"
"321","Actinomyces_radicidentis"
"322","Corynebacterium_kroppenstedtii"
"323","Bacteroides_plebeius"
"324","Parasutterella_excrementihominis"
"325","Rhodococcus_erythropolis"
"326","Paludibacter_propionicigenes"
"327","Streptococcus_intermedius"
"328","Lactobacillus_oris"
"329","Dorea_formicigenerans"
"330","Bacteroides_fragilis"
"331","Fusobacterium_necrophorum"
"332","Dolosigranulum_pigrum"
"333","Roseburia_intestinalis"
"334","Achromobacter_xylosoxidans"
"335","Fusicatenibacter_saccharivorans"
"336","Alistipes_finegoldii"
"337","Prevotella_multisaccharivorax"
"338","Lactobacillus_gasseri"
"339","Akkermansia_muciniphila"
"340","Streptococcus_troglodytae"
"341","Barnesiella_intestinihominis"
"342","Clostridium_lactatifermentans"
"343","Lactobacillus_reuteri"
"344","Turicibacter_sanguinis"
"345","Intestinimonas_butyriciproducens"
"346","Acidithiobacillus_thiooxidans"
"347","Actinomyces_viscosus"
"348","Finegoldia_magna"
"349","Lactobacillus_crispatus"
"350","Agrobacterium_tumefaciens"
"351","Acinetobacter_junii"
"352","Streptococcus_equinus"
"353","Enterococcus_faecalis"
"354","Bacillus_subtilis"
"355","Actinomyces_israelii"
"356","Alloscardovia_omnicolens"
"357","Moraxella_osloensis"
"358","Atopobium_minutum"
"359","Lactobacillus_salivarius"
"360","Lactobacillus_rhamnosus"
"361","Bifidobacterium_dentium"
"362","Prevotella_bivia"
"363","Lactobacillus_johnsonii"
"364","Ruminococcus_obeum"
"365","Lactobacillus_fermentum"
"366","Gemmatimonas_aurantiaca"
"367","Actinomyces_hongkongensis"
"368","Neisseria_gonorrhoeae"
"369","Corynebacterium_mustelae"
"370","Cloacibacterium_normanense"
"371","Variovorax_paradoxus"
"372","Streptococcus_milleri"
