"","Correlation_Coefficient","P_value","Significance","qvalue","Groups","Total_features","Feature_ids","Annotations","Functional_Theme"
"Group3202",-0.236136328579802,4.95118958491341e-06,"Significant",7.3350956813532e-06,"Group3202",1,"cog__COG0392","Predicted membrane flippase AglD2/YbhN, UPF0104 family","Cell envelope and surface-associated functions"
"Group3330",-0.483083225905786,8.47097519926489e-23,"Significant",6.77678015941191e-22,"Group3330",1,"cog__COG0573","ABC-type phosphate transport system, permease component","Phosphate acquisition and regulation"
"Group3335",-0.493212684349965,7.81391094262242e-24,"Significant",1.56278218852448e-22,"Group3335",1,"cog__COG0581","ABC-type phosphate transport system, permease component","Phosphate acquisition and regulation"
"Group3413",-0.489146471025134,2.0535807791189e-23,"Significant",2.0535807791189e-22,"Group3413",1,"cog__COG0704","Phosphate uptake regulator PhoU","Phosphate acquisition and regulation"
"Group3561",-0.423594247226874,2.27886267209228e-17,"Significant",8.28677335306284e-17,"Group3561",1,"cog__COG1117","ABC-type phosphate transport system, ATPase component","Phosphate acquisition and regulation"
"Group3655",-0.292275688487822,1.21707684099099e-08,"Significant",2.21286698361999e-08,"Group3655",1,"cog__COG1388","LysM repeat","Cell envelope and surface-associated functions"
"Group3941",-0.399093370007957,1.99956522566044e-15,"Significant",4.9989130641511e-15,"Group3941",1,"cog__COG3049","Penicillin V acylase or related amidase, Ntn superfamily","Proteolysis and hydrolysis"
"Group4110",-0.335507062506519,4.43958988608647e-11,"Significant",9.34650502333994e-11,"Group4110",1,"cog__COG5002","Sensor histidine kinase WalK","Signal transduction and transcriptional regulation"
"Group5189",0.180606129751732,0.000516648310347865,"Significant",0.000688864413797153,"Group5189",1,"cog__COG3615","Tellurite resistance protein TehB, SAM-dependent methylase, cupin superfamily","Stress resistance and methylation"
"Group5593",0.142343371758032,0.00637627113127485,"Significant",0.00772881349245437,"Group5593",1,"cog__COG0666","Ankyrin repeat","Protein interaction domains"
"Group6023",0.44119045091259,7.26092145408718e-19,"Significant",3.22707620181652e-18,"Group6023",1,"cog__COG4095","Sugar transporter, SemiSWEET family, contains PQ motif","Sugar transport and exchange"
"Group11386",-0.000348689881406452,0.994695693225738,"Non-significant",0.994695693225738,"Group11386",1,"ec__1.11.1.15","Peroxiredoxin/thiol peroxidase; peroxide detoxification","Oxidative stress response and peroxide detoxification"
"Group11746",-0.415788733697711,9.86642858692795e-17,"Significant",2.81897959626513e-16,"Group11746",8,"ec__3.5.1.24;kegg_ko__K01442;kegg_reaction__R02797;kegg_reaction__R03975;kegg_reaction__R03977;kegg_reaction__R04486;kegg_reaction__R04487;kegg_reaction__R05835","choloylglycine hydrolase;choloylglycine hydrolase [EC:3.5.1.24];taurocholate amidohydrolase;glycochenodeoxycholate amidohydrolase;chenodeoxycholoyltaurine amidohydrolase;glycodeoxycholate amidohydrolase;taurodeoxycholate amidohydrolase;glycocholate amidohydrolase","Proteolysis and hydrolysis"
"Group11782",-0.424657291974771,1.86103071655585e-17,"Significant",7.4441228662234e-17,"Group11782",1,"ec__3.6.3.27","ABC-type phosphate transporter; phosphate ABC transporter; phosphate-transporting ATPase (ambiguous)","Phosphate acquisition and regulation"
"Group11975",0.198508081530747,0.000131943024338589,"Significant",0.000181990378398054,"Group11975",2,"ec__2.1.1.265;kegg_ko__K16868","tellurite methyltransferase;tellurite methyltransferase [EC:2.1.1.265]","Stress resistance and methylation"
"Group14452",-0.42264573683726,2.72862106970852e-17,"Significant",9.09540356569505e-17,"Group14452",1,"kegg_ko__K02036","phosphate transport system ATP-binding protein [EC:7.3.2.1]","Phosphate acquisition and regulation"
"Group14453",-0.4802218880584,1.63731208941875e-22,"Significant",1.09154139294583e-21,"Group14453",1,"kegg_ko__K02037","phosphate transport system permease protein","Phosphate acquisition and regulation"
"Group14454",-0.495854507457528,4.14194570665045e-24,"Significant",1.56278218852448e-22,"Group14454",1,"kegg_ko__K02038","phosphate transport system permease protein","Phosphate acquisition and regulation"
"Group14455",-0.475390847267936,4.91228272192663e-22,"Significant",2.80701869824379e-21,"Group14455",1,"kegg_ko__K02039","phosphate transport system protein","Phosphate acquisition and regulation"
"Group14604",-0.272534411616433,1.17946323882727e-07,"Significant",1.96577206471212e-07,"Group14604",1,"kegg_ko__K03284","magnesium transporter","Ion transport and homeostasis"
"Group14851",-0.279995518016165,5.10392640390876e-08,"Significant",8.87639374592828e-08,"Group14851",1,"kegg_ko__K07636","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]","Phosphate acquisition and regulation"
"Group15114",-0.340531634008404,2.17792160840003e-11,"Significant",4.8398257964445e-11,"Group15114",1,"kegg_ko__K03320","ammonium transporter, Amt family","Ion transport and homeostasis"
"Group15757",-0.14159252649258,0.0066628611936766,"Significant",0.00783866022785483,"Group15757",1,"kegg_ko__K07497","putative transposase","Mobile genetic elements"
"Group16294",-0.262399083331896,3.53703167664607e-07,"Significant",5.65925068263371e-07,"Group16294",1,"kegg_ko__K07657","two-component system, OmpR family, phosphate regulon response regulator PhoB","Phosphate acquisition and regulation"
"Group21479",-0.491261660722432,1.24428206188205e-23,"Significant",1.65904274917607e-22,"Group21479",1,"kegg_mod__M00222","Phosphate transport system","Phosphate acquisition and regulation"
"Group21520",-0.400986186814298,1.43363843011636e-15,"Significant",3.82303581364362e-15,"Group21520",1,"kegg_mod__M00434","PhoR-PhoB (phosphate starvation response) two-component regulatory system","Phosphate acquisition and regulation"
"Group22060",-0.298828938847143,5.50465184798525e-09,"Significant",1.04850511390195e-08,"Group22060",1,"kegg_rclass__RC00006","Amino acid-2-oxocarboxylic acid interconversion reaction class, including reductive amination and conversion of 2-oxocarboxylic acids to CoA derivatives","Amino acid and 2-oxocarboxylic acid metabolism"
"Group22122",-0.073564246027446,0.160183013460396,"Non-significant",0.17317082536259,"Group22122",1,"kegg_rclass__RC00105","Malic enzyme-associated oxidative decarboxylation of malate to pyruvate and CO2","Pyruvate and carbon metabolism"
"Group22954",-0.419601059300021,4.84596556564767e-17,"Significant",1.49106632789159e-16,"Group22954",1,"pfam__Aldo_ket_red","Pfam_id: PF00248 name: Aldo/keto reductase family","Oxidoreductase activity"
"Group23105",-0.242471912733164,2.6908158216982e-06,"Significant",4.13971664876646e-06,"Group23105",1,"pfam__CorA","Pfam_id: PF01544 name: CorA-like Mg2+ transporter protein","Ion transport and homeostasis"
"Group23969",-0.302879441386237,3.33718624055726e-09,"Significant",6.67437248111452e-09,"Group23969",1,"pfam__Peptidase_S15","Pfam_id: PF02129 name: X-Pro dipeptidyl-peptidase (S15 family)","Proteolysis and hydrolysis"
"Group24071",-0.118595099574659,0.0232616211164403,"Significant",0.0265847098473603,"Group24071",1,"pfam__PspC","Pfam_id: PF04024 name: PspC domain","Cell-envelope stress response"
"Group24412",0.0645427041562405,0.218010500058543,"Non-significant",0.229484736903729,"Group24412",1,"pfam__tRNA-synt_1","Pfam_id: PF00133 name: tRNA synthetases class I (I, L, M and V)","Translation and tRNA metabolism"
"Group24545",-0.373311090838695,1.51142673638056e-13,"Significant",3.55629820324839e-13,"Group24545",1,"pfam__Ammonium_transp","Pfam_id: PF00909 name: Ammonium Transporter Family","Ion transport and homeostasis"
"Group24636",0.0608808753208789,0.245311203357137,"Non-significant",0.251601234212448,"Group24636",1,"pfam__DNA_PPF","Pfam_id: PF02916 name: DNA polymerase processivity factor","DNA repair and replication"
"Group25097",-0.210034757039002,5.12792907866311e-05,"Significant",7.32561296951873e-05,"Group25097",1,"pfam__AAA_19","Pfam_id: PF13245 name: AAA domain","ATPase and ATP-dependent functions"
"Group25837",0.0973175744812507,0.0629077466915753,"Non-significant",0.0698974963239725,"Group25837",1,"pfam__DUF4649","Pfam_id: PF15507 name: Domain of unknown function (DUF4649)","Domains of unknown function"
"Group25899",0.179275201652719,0.000569028265652174,"Significant",0.000734230020196354,"Group25899",1,"pfam__TehB","Pfam_id: PF03848 name: Tellurite resistance protein TehB","Stress resistance and methylation"
"Group25967",-0.163453793198044,0.00170403872800798,"Significant",0.00213004841000997,"Group25967",1,"pfam__TM1506","Pfam_id: PF08973 name: Domain of unknown function (DUF1893)","Domains of unknown function"
"Group27096",0.458613086783086,1.95347623953677e-20,"Significant",9.76738119768384e-20,"Group27096",1,"pfam__MtN3_slv","Pfam_id: PF03083 name: Sugar efflux transporter for intercellular exchange","Sugar transport and exchange"
