"Number_of_features","Correlation","P_value","CI_lower","CI_upper"
"250",0.71,1.66527160520813e-56,0.65,0.75
"245",0.71,5.29264093993725e-57,0.65,0.76
"240",0.7,4.67327032054251e-56,0.65,0.75
"235",0.71,1.06145643974242e-56,0.65,0.75
"230",0.71,7.87283644088061e-57,0.65,0.76
"225",0.71,5.05184795621628e-57,0.65,0.76
"220",0.7,7.08894693610796e-56,0.65,0.75
"215",0.71,1.69129628877037e-56,0.65,0.75
"210",0.71,5.85206703004527e-57,0.65,0.76
"205",0.71,1.15892208963426e-56,0.65,0.75
"200",0.71,9.0667364500646e-57,0.65,0.75
"195",0.71,2.05904227319006e-57,0.66,0.76
"190",0.71,1.96286853487836e-57,0.66,0.76
"185",0.71,6.70716500747786e-58,0.66,0.76
"180",0.7,3.98151245132948e-56,0.65,0.75
"175",0.71,1.19428238713376e-57,0.66,0.76
"170",0.71,2.81747750158146e-58,0.66,0.76
"165",0.71,2.44109577806489e-58,0.66,0.76
"160",0.71,5.09166863838675e-58,0.66,0.76
"155",0.71,4.20610109561148e-58,0.66,0.76
"150",0.72,1.30610009550854e-58,0.66,0.76
"145",0.71,2.79518311485317e-58,0.66,0.76
"140",0.72,1.03572805377942e-58,0.66,0.76
"135",0.71,2.34964567877875e-58,0.66,0.76
"130",0.72,1.08915886081866e-58,0.66,0.76
"125",0.72,2.67090347924817e-59,0.66,0.76
"120",0.72,2.13636204980429e-59,0.67,0.76
"115",0.72,4.99550907628608e-59,0.66,0.76
"110",0.72,9.47080268572298e-59,0.66,0.76
"105",0.71,6.08567131810015e-58,0.66,0.76
"100",0.72,1.02137291006705e-58,0.66,0.76
"95",0.71,2.21551759395894e-57,0.66,0.76
"90",0.71,7.51391637665515e-58,0.66,0.76
"85",0.71,5.27114315780247e-58,0.66,0.76
"80",0.71,3.2637742399442e-57,0.65,0.76
"75",0.71,2.49647443568441e-58,0.66,0.76
"70",0.71,2.43540362879331e-58,0.66,0.76
"65",0.71,1.13315289870582e-57,0.66,0.76
"60",0.71,1.7533360343288e-57,0.66,0.76
"55",0.7,1.2443913961809e-55,0.65,0.75
"50",0.71,1.09091752929395e-56,0.65,0.75
"45",0.71,2.81872739171153e-56,0.65,0.75
"40",0.71,2.79935078669795e-56,0.65,0.75
"35",0.69,1.4976594072613e-53,0.63,0.74
"30",0.69,1.13608046581163e-53,0.64,0.74
"25",0.67,2.32288547313285e-49,0.61,0.72
"20",0.67,5.26381620091843e-49,0.61,0.72
