"Feature","N_High_sHACK","N_Lower_sHACK","Mean_High_sHACK","Mean_Lower_sHACK","Median_High_sHACK","Median_Lower_sHACK","Mean_Difference_High_minus_Lower","Median_Difference_High_minus_Lower","Wilcox_P_value","Q_value","Direction","Feature_ids","Annotations","Functional_Theme","Correlation_Coefficient","qvalue","Significance"
"Group14454",43,323,0.101950019729465,0.659437151985271,0,1,-0.557487132255806,-1,3.05710731389729e-08,4.85668382703786e-07,"Higher in Lower_sHACK","kegg_ko__K02038","phosphate transport system permease protein","Phosphate acquisition and regulation",-0.495854507457528,1.56278218852448e-22,"Significant"
"Group21479",43,323,0.694806297632056,2.96838969134236,0,4,-2.27358339371031,-4,2.60761720493702e-08,4.85668382703786e-07,"Higher in Lower_sHACK","kegg_mod__M00222","Phosphate transport system","Phosphate acquisition and regulation",-0.491261660722432,1.65904274917607e-22,"Significant"
"Group11782",43,323,0.159260020306532,0.789259462400703,0,0.994782608695652,-0.629999442094171,-0.994782608695652,3.64251287027839e-08,4.85668382703786e-07,"Higher in Lower_sHACK","ec__3.6.3.27","ABC-type phosphate transporter; phosphate ABC transporter; phosphate-transporting ATPase (ambiguous)","Phosphate acquisition and regulation",-0.424657291974771,7.4441228662234e-17,"Significant"
"Group3335",43,323,0.269791512327146,1.33947310613339,0,2,-1.06968159380625,-2,6.25032070190439e-08,5.00025656152351e-07,"Higher in Lower_sHACK","cog__COG0581","ABC-type phosphate transport system, permease component","Phosphate acquisition and regulation",-0.493212684349965,1.56278218852448e-22,"Significant"
"Group14452",43,323,0.159260020306532,0.783222446437631,0,0.994782608695652,-0.623962426131099,-0.994782608695652,5.65646959405366e-08,5.00025656152351e-07,"Higher in Lower_sHACK","kegg_ko__K02036","phosphate transport system ATP-binding protein [EC:7.3.2.1]","Phosphate acquisition and regulation",-0.42264573683726,9.09540356569505e-17,"Significant"
"Group14453",43,323,0.111997723963215,0.655863345468529,0,0.989473684210526,-0.543865621505314,-0.989473684210526,7.51117447853943e-08,5.00744965235962e-07,"Higher in Lower_sHACK","kegg_ko__K02037","phosphate transport system permease protein","Phosphate acquisition and regulation",-0.4802218880584,1.09154139294583e-21,"Significant"
"Group3330",43,323,0.270507075833407,1.30732987184915,0,1.97916666666667,-1.03682279601574,-1.97916666666667,1.14793516164561e-07,6.38334326397258e-07,"Higher in Lower_sHACK","cog__COG0573","ABC-type phosphate transport system, permease component","Phosphate acquisition and regulation",-0.483083225905786,6.77678015941191e-22,"Significant"
"Group3561",43,323,0.368032418707587,1.63119044593445,0,2,-1.26315802722687,-2,1.27666865279452e-07,6.38334326397258e-07,"Higher in Lower_sHACK","cog__COG1117","ABC-type phosphate transport system, ATPase component","Phosphate acquisition and regulation",-0.423594247226874,8.28677335306284e-17,"Significant"
"Group14455",43,323,0.116279069767442,0.585425932239893,0,0.947368421052632,-0.469146862472451,-0.947368421052632,1.74496262375908e-07,7.75538943892926e-07,"Higher in Lower_sHACK","kegg_ko__K02039","phosphate transport system protein","Phosphate acquisition and regulation",-0.475390847267936,2.80701869824379e-21,"Significant"
"Group3413",43,323,0.233488372093023,1.16355927365716,0,1.89473684210526,-0.930070901564135,-1.89473684210526,4.5226574846322e-07,1.80906299385288e-06,"Higher in Lower_sHACK","cog__COG0704","Phosphate uptake regulator PhoU","Phosphate acquisition and regulation",-0.489146471025134,2.0535807791189e-22,"Significant"
"Group21520",43,323,0.54151971073557,1.63567350449894,0,2,-1.09415379376337,-2,1.19116012537167e-06,4.3314913649879e-06,"Higher in Lower_sHACK","kegg_mod__M00434","PhoR-PhoB (phosphate starvation response) two-component regulatory system","Phosphate acquisition and regulation",-0.400986186814298,3.82303581364362e-15,"Significant"
"Group27096",43,323,0.977098690310582,0.417081348766418,1,0,0.560017341544164,1,1.7028250782697e-06,5.67608359423232e-06,"Higher in High_sHACK","pfam__MtN3_slv","Pfam_id: PF03083 name: Sugar efflux transporter for intercellular exchange","Sugar transport and exchange",0.458613086783086,9.76738119768384e-20,"Significant"
"Group15114",43,323,0.0920557322282753,0.615574993225209,0,0,-0.523519260996933,0,3.53254898089532e-06,9.42013061572086e-06,"Higher in Lower_sHACK","kegg_ko__K03320","ammonium transporter, Amt family","Ion transport and homeostasis",-0.340531634008404,4.8398257964445e-11,"Significant"
