"","Correlation_Coefficient","P_value","qval","Significance","Groups","Total_features","Feature_ids","Annotations","Functional_Theme"
"Group2937",-0.0936072485241253,0.166496248351625,0.180974182990897,"Non-significant","Group2937",1,"cog__COG0052","Ribosomal protein S2","Ribosome structure and translation"
"Group2945",0.149271442157804,0.0268385107325179,0.0335481384156474,"Significant","Group2945",1,"cog__COG0060","Isoleucyl-tRNA synthetase","Translation and protein synthesis"
"Group3220",-0.303732276227601,4.46927960052489e-06,1.62213689407867e-05,"Significant","Group3220",1,"cog__COG0436","Aspartate/methionine/tyrosine aminotransferase","Amino acid and nitrogen metabolism"
"Group3256",-0.120894985608461,0.0735316623917998,0.0835587072634089,"Non-significant","Group3256",1,"cog__COG0480","Translation elongation factor EF-G, a GTPase","Translation and protein synthesis"
"Group4134",-0.370125063287653,1.50588639111031e-08,1.88235798888789e-07,"Significant","Group4134",1,"cog__COG0004","Ammonia channel protein AmtB","Ion transport and nitrogen homeostasis"
"Group4989",0.241367296703578,0.000302406642351811,0.000687287823526843,"Significant","Group4989",1,"cog__COG4832","Cyclopropanoid cyclopropyl hydrolase, GyrI-like domain","Lipid modification and metabolism"
"Group6023",0.365776422035719,2.27947178194631e-08,1.8995598182886e-07,"Significant","Group6023",1,"cog__COG4095","Sugar transporter, SemiSWEET family, contains PQ motif","Sugar transport and exchange"
"Group6086",0.285880339289962,1.6596993555538e-05,4.14924838888449e-05,"Significant","Group6086",1,"cog__COG4283","Uncharacterized conserved protein DfsB/IRC4, DUF1706 (PF08020) domain","Domains of unknown function"
"Group14556",-0.16297750643673,0.0155300322821686,0.0204342530028534,"Significant","Group14556",1,"kegg_ko__K02946","small subunit ribosomal protein S10","Ribosome structure and translation"
"Group14940",0.0786171238188562,0.245546033111781,0.255777117824772,"Non-significant","Group14940",1,"kegg_ko__K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]","Coenzyme A biosynthesis"
"Group15973",0.0629943362302688,0.352392715054738,0.352392715054738,"Non-significant","Group15973",1,"kegg_ko__K15125","filamentous hemagglutinin","Cell adhesion and host interaction"
"Group21474",-0.219093826509868,0.00107165182872501,0.00191366397986608,"Significant","Group21474",1,"kegg_mod__M00178","Encodes the structural components of the bacterial 70S ribosome (comprising 30S small and 50S large subunits)","Ribosome structure and translation"
"Group21504",-0.320607275848046,1.19110933858876e-06,5.95554669294381e-06,"Significant","Group21504",1,"kegg_mod__M00357","Methanogenesis","Methane metabolism"
"Group21542",-0.165298367579902,0.0140996764096655,0.0195828839023133,"Significant","Group21542",1,"kegg_mod__M00579","Phosphate acetyltransferase-acetate kinase pathway","Acetate production and energy metabolism"
"Group22170",-0.303519774533745,4.54198330342028e-06,1.62213689407867e-05,"Significant","Group22170",1,"kegg_rclass__RC00318","N-ribosyl hydrolase reaction class involved in cleavage of nucleosides and related ribosylated metabolites","Nucleotide and nucleoside metabolism"
"Group22211",-0.295590273199884,8.21940004794173e-06,2.56856251498179e-05,"Significant","Group22211",1,"kegg_rclass__RC00543","Sugar-acid dehydration reaction class involved in the conversion of hydroxy sugar acids to deoxy-keto sugar acids","Carbohydrate metabolism"
"Group22272",-0.234270319507949,0.000458527355854646,0.000955265324697179,"Significant","Group22272",1,"kegg_rclass__RC02799","Ammonia-amino acid interconversion reaction class involving glutamate, aspartate, and related nitrogen metabolism","Amino acid and nitrogen metabolism"
"Group22938",-0.213535256326798,0.0014424236373681,0.0024040393956135,"Significant","Group22938",1,"pfam__adh_short_C2","Pfam_id: PF13561 name: Enoyl-(Acyl carrier protein) reductase","Fatty acid biosynthesis"
"Group23356",-0.121280625380838,0.0726111149016561,0.0835587072634089,"Non-significant","Group23356",1,"pfam__EFG_IV","Pfam_id: PF03764 name: Elongation factor G, domain IV","Translation and protein synthesis"
"Group24147",-0.224976717055101,0.000776252047275917,0.00149279239860753,"Significant","Group24147",1,"pfam__Ribosomal_L3","Pfam_id: PF00297 name: Ribosomal protein L3","Ribosome structure and translation"
"Group24545",-0.372888875371939,1.15338031208986e-08,1.88235798888789e-07,"Significant","Group24545",1,"pfam__Ammonium_transp","Pfam_id: PF00909 name: Ammonium Transporter Family","Ion transport and nitrogen homeostasis"
"Group24789",0.198160668789759,0.00315946409167245,0.0049366626432382,"Significant","Group24789",1,"pfam__GyrI-like","Pfam_id: PF06445 name: GyrI-like small molecule binding domain","Small-molecule binding and stress-associated functions"
"Group26617",0.181713844462815,0.0068833927156085,0.0101226363464831,"Significant","Group26617",1,"pfam__DUF4304","Pfam_id: PF14137 name: Domain of unknown function (DUF4304)","Domains of unknown function"
"Group27096",0.357067171398533,5.13406561272338e-08,3.20879100795211e-07,"Significant","Group27096",1,"pfam__MtN3_slv","Pfam_id: PF03083 name: Sugar efflux transporter for intercellular exchange","Sugar transport and exchange"
"Group27247",0.285880339289962,1.6596993555538e-05,4.14924838888449e-05,"Significant","Group27247",1,"pfam__DUF1706","Pfam_id: PF08020 name: Protein of unknown function (DUF1706)","Domains of unknown function"
