"","Number_of_features","Correlation","P_value","CI_lower","CI_upper"
"1","250",0.68,3.83399516462848e-31,0.6,0.74
"2","245",0.68,1.49225437970976e-31,0.61,0.75
"3","240",0.68,2.26167348745474e-31,0.6,0.75
"4","235",0.68,1.21344326549309e-30,0.6,0.74
"5","230",0.67,2.10970935510417e-30,0.59,0.74
"6","225",0.68,1.28762631237931e-30,0.6,0.74
"7","220",0.7,4.28829977445401e-33,0.62,0.76
"8","215",0.69,7.62450369746828e-32,0.61,0.75
"9","210",0.69,4.99546809548115e-32,0.61,0.75
"10","205",0.68,4.10376254280327e-31,0.6,0.74
"11","200",0.68,3.25698973927365e-31,0.6,0.75
"12","195",0.68,1.881031250517e-31,0.6,0.75
"13","190",0.7,3.55244503428164e-33,0.62,0.76
"14","185",0.68,3.21410232005961e-31,0.6,0.75
"15","180",0.68,8.76509447248639e-32,0.61,0.75
"16","175",0.68,1.45133433226862e-31,0.61,0.75
"17","170",0.68,9.4061203860901e-32,0.61,0.75
"18","165",0.69,2.17201520169325e-32,0.61,0.75
"19","160",0.69,4.83155078181045e-32,0.61,0.75
"20","155",0.69,7.58598330182327e-32,0.61,0.75
"21","150",0.69,5.92226048553587e-32,0.61,0.75
"22","145",0.7,3.82800332335535e-34,0.63,0.76
"23","140",0.69,7.60646618633778e-33,0.62,0.76
"24","135",0.69,1.72310396850903e-32,0.61,0.75
"25","130",0.7,4.0722298076797e-33,0.62,0.76
"26","125",0.7,2.84194283093153e-33,0.62,0.76
"27","120",0.69,8.34921820514663e-33,0.62,0.76
"28","115",0.7,3.4515951094055e-33,0.62,0.76
"29","110",0.7,9.24342756982504e-34,0.63,0.76
"30","105",0.7,3.62261190232318e-33,0.62,0.76
"31","100",0.71,1.56583238067779e-34,0.63,0.77
"32","95",0.71,1.78445528090463e-34,0.63,0.77
"33","90",0.69,4.8853661157829e-33,0.62,0.76
"34","85",0.71,7.14901915970876e-35,0.64,0.77
"35","80",0.7,2.85174699903019e-34,0.63,0.77
"36","75",0.7,6.55629951580724e-34,0.63,0.76
"37","70",0.7,1.56757746880923e-33,0.62,0.76
"38","65",0.7,2.52332931833273e-33,0.62,0.76
"39","60",0.69,5.31980526955429e-33,0.62,0.76
"40","55",0.7,4.95250953348985e-34,0.63,0.76
"41","50",0.7,3.06968877133412e-34,0.63,0.77
"42","45",0.7,2.06348783219202e-33,0.62,0.76
"43","40",0.69,2.71308644426215e-32,0.61,0.75
"44","35",0.68,9.34030109880689e-32,0.61,0.75
"45","30",0.69,5.99871537329545e-32,0.61,0.75
"46","25",0.69,6.07196982803087e-32,0.61,0.75
"47","20",0.68,2.15787110446904e-31,0.6,0.75
