"","Correlation_Coefficient","P_value","qval","Significance","Groups","Total_features","Feature_ids","Annotations","Functional_Theme"
"Group2901",0.321998424295504,0.000104616953217122,0.000698084902589816,"Significant","Group2901",1,"cog__COG0010","Arginase/agmatinase family enzyme","Arginine and polyamine metabolism"
"Group3130",-0.115602359543099,0.173789719457999,0.235871768015436,"Non-significant","Group3130",1,"cog__COG0290","Translation initiation factor IF-3","Translation and protein synthesis"
"Group3257",0.113749934215708,0.180835022145168,0.235871768015436,"Non-significant","Group3257",1,"cog__COG0481","Translation elongation factor EF-4, membrane-bound GTPase","Translation and protein synthesis"
"Group3332",0.00680048683874352,0.936440893542914,0.968731958837497,"Non-significant","Group3332",1,"cog__COG0576","Molecular chaperone GrpE (heat shock protein HSP-70)","Protein folding and stress response"
"Group3468",0.106243197761917,0.211535105045668,0.264418881307085,"Non-significant","Group3468",1,"cog__COG0783","DNA-binding ferritin-like chromatin protein Dps","DNA protection and oxidative stress response"
"Group3551",-0.000685867212590688,0.993583055875774,0.993583055875774,"Non-significant","Group3551",1,"cog__COG1074","3'-5' helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)","DNA replication and repair"
"Group4133",0.311897669169613,0.000175878574455196,0.000753765319093695,"Significant","Group4133",1,"cog__COG0001","Glutamate-1-semialdehyde aminotransferase","Amino acid and tetrapyrrole biosynthesis"
"Group5173",0.318711265840101,0.000124137603504814,0.000698084902589816,"Significant","Group5173",1,"cog__COG2837","Periplasmic deferrochelatase/peroxidase EfeB","Oxidative stress response and heme metabolism"
"Group5269",0.0842951932268919,0.322068655818316,0.386482386981979,"Non-significant","Group5269",1,"cog__COG1106","ATPase/GTPase, AAA15 family","ATPase and ATP-dependent functions"
"Group5508",0.244943187893479,0.00353652781034286,0.00964507584638961,"Significant","Group5508",1,"cog__COG3848","Phosphohistidine swiveling domain of PEP-utilizing enzymes","Phosphotransferase system and carbohydrate transport"
"Group6689",0.247698021305704,0.00317105357637527,0.00951316072912582,"Significant","Group6689",1,"cog__COG4922","Predicted SnoaL-like aldol condensation-catalyzing enzyme","Secondary metabolite biosynthesis"
"Group11441",0.20292737858767,0.0161894329903866,0.0346916421222569,"Significant","Group11441",6,"ec__1.8.1.4;kegg_ko__K00382;kegg_rclass__RC00583;kegg_reaction__R01698;kegg_reaction__R03815;kegg_reaction__R07618","dihydrolipoyl dehydrogenase;dihydrolipoyl dehydrogenase [EC:1.8.1.4];dihydrolipoamide:NAD+ oxidoreductase;dihydrolipoylprotein:NAD+ oxidoreductase;enzyme N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase","Energy metabolism and redox reactions"
"Group12064",0.327968251925582,7.62899449326872e-05,0.000698084902589816,"Significant","Group12064",4,"ec__5.4.3.8;kegg_ko__K01845;kegg_rclass__RC00677;kegg_reaction__R02272","glutamate-1-semialdehyde 2,1-aminomutase;glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8];(S)-4-amino-5-oxopentanoate 4,5-aminomutase","Amino acid and tetrapyrrole biosynthesis"
"Group14433",0.141640883167329,0.0950541330204762,0.158423555034127,"Non-significant","Group14433",2,"kegg_ko__K01929;kegg_reaction__R04573","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10];UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine:alanyl-D-alanine ligase (ADP-forming)","Peptidoglycan biosynthesis and remodeling"
"Group14476",0.259962944980436,0.00192311032754761,0.00641036775849204,"Significant","Group14476",1,"kegg_ko__K02337","DNA polymerase III subunit alpha [EC:2.7.7.7]","DNA replication and repair"
"Group16445",0.294534820448963,0.00041175917921347,0.00154409692205051,"Significant","Group16445",1,"kegg_ko__K07552","MFS transporter, DHA1 family, multidrug resistance protein","Multidrug transport and resistance"
"Group22150",0.188708951225632,0.0255543705268758,0.0479144447378922,"Significant","Group22150",1,"kegg_rclass__RC00209","Alkyl/prenyl-group transfer reaction class in primary and secondary metabolite biosynthesis","Cofactor and secondary metabolite biosynthesis"
"Group22963",0.0499320425976358,0.557961066027965,0.619956740031072,"Non-significant","Group22963",1,"pfam__Amidase_3","Pfam_id: PF01520 name: N-acetylmuramoyl-L-alanine amidase","Peptidoglycan biosynthesis and remodeling"
