"","Number_of_features","Correlation","P_value","CI_lower","CI_upper"
"1","250",0.68,1.62519182163935e-20,0.58,0.76
"2","245",0.67,7.08684720690461e-20,0.57,0.76
"3","240",0.68,1.34206486242981e-20,0.58,0.76
"4","235",0.67,8.58148421421567e-20,0.57,0.75
"5","230",0.66,3.54217501170344e-19,0.56,0.75
"6","225",0.69,5.46631468973329e-21,0.59,0.77
"7","220",0.69,4.89841889476917e-21,0.59,0.77
"8","215",0.66,6.68789844947453e-19,0.56,0.74
"9","210",0.68,4.98783886770362e-20,0.57,0.76
"10","205",0.68,4.69414988885351e-20,0.57,0.76
"11","200",0.68,2.23402117436157e-20,0.58,0.76
"12","195",0.69,5.73590795148994e-21,0.59,0.77
"13","190",0.69,9.78508850658162e-21,0.59,0.76
"14","185",0.69,1.01788679351952e-20,0.59,0.76
"15","180",0.68,2.16351377223698e-20,0.58,0.76
"16","175",0.69,5.40335745113618e-21,0.59,0.77
"17","170",0.69,3.72680273677736e-21,0.59,0.77
"18","165",0.7,2.64358362659398e-22,0.61,0.78
"19","160",0.69,2.65521977111672e-21,0.59,0.77
"20","155",0.7,8.91062316545346e-22,0.6,0.77
"21","150",0.69,3.97642554159509e-21,0.59,0.77
"22","145",0.7,7.92996869790776e-22,0.6,0.77
"23","140",0.71,8.38371513133281e-23,0.62,0.78
"24","135",0.71,1.28707334871104e-22,0.61,0.78
"25","130",0.7,4.67741804575867e-22,0.61,0.78
"26","125",0.7,3.65434906207058e-22,0.61,0.78
"27","120",0.71,2.12782933706309e-22,0.61,0.78
"28","115",0.69,4.05106396452268e-21,0.59,0.77
"29","110",0.71,1.89184306351966e-22,0.61,0.78
"30","105",0.7,4.19888488783936e-22,0.61,0.78
"31","100",0.71,2.37984781706963e-22,0.61,0.78
"32","95",0.7,4.55064842283695e-22,0.61,0.78
"33","90",0.71,3.79978267687514e-23,0.62,0.79
"34","85",0.71,1.49982095460634e-22,0.61,0.78
"35","80",0.7,7.62390773551354e-22,0.6,0.78
"36","75",0.7,4.59346138225369e-22,0.61,0.78
"37","70",0.7,2.72433965810893e-22,0.61,0.78
"38","65",0.72,1.7054784427732e-23,0.63,0.79
"39","60",0.72,2.33771845953526e-23,0.63,0.79
"40","55",0.71,1.73891734089886e-22,0.61,0.78
"41","50",0.71,4.15634942441063e-23,0.62,0.79
"42","45",0.71,9.63365672614833e-23,0.62,0.78
"43","40",0.71,1.80398581290936e-22,0.61,0.78
"44","35",0.73,5.79335337384375e-25,0.65,0.8
"45","30",0.74,1.13306419686268e-25,0.66,0.81
"46","25",0.72,4.31527777984123e-24,0.64,0.8
"47","20",0.71,1.16239380441222e-22,0.62,0.78
