"","Correlation_Coefficient","P_value","qval","Significance","Groups","Total_features","Feature_ids","Annotations","Functional_Theme"
"Group2921",-0.0612743872098585,0.401006457712464,0.406502175234898,"Non-significant","Group2921",1,"cog__COG0035","Uracil phosphoribosyltransferase","Pyrimidine salvage and nucleotide metabolism"
"Group2980",-0.148415252552585,0.0409935774957633,0.0683226291596055,"Non-significant","Group2980",1,"cog__COG0102","Ribosomal protein L13","Ribosome structure and translation"
"Group3079",-0.199711466038367,0.00573513466969856,0.0153427000716238,"Significant","Group3079",1,"cog__COG0227","Ribosomal protein L28","Ribosome structure and translation"
"Group3103",-0.206169266322846,0.0043197230653189,0.0153427000716238,"Significant","Group3103",1,"cog__COG0254","Ribosomal protein L31","Ribosome structure and translation"
"Group4491",0.0830674418389301,0.254527927707403,0.318159909634254,"Non-significant","Group4491",1,"cog__COG3103","Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family","Domains of unknown function"
"Group4544",0.169174810255459,0.0196287366041696,0.0392574732083392,"Significant","Group4544",1,"cog__COG3910","Predicted ATPase","ATPase and ATP-dependent functions"
"Group5593",0.179734487938775,0.0130881701670615,0.02908482259347,"Significant","Group5593",1,"cog__COG0666","Ankyrin repeat","Protein interaction and repeat domains"
"Group14316",-0.0605635792990582,0.406502175234898,0.406502175234898,"Non-significant","Group14316",1,"kegg_ko__K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]","Pyrimidine salvage and nucleotide metabolism"
"Group14540",-0.199711466038367,0.00573513466969856,0.0153427000716238,"Significant","Group14540",1,"kegg_ko__K02902","large subunit ribosomal protein L28","Ribosome structure and translation"
"Group14544",-0.202796619091829,0.00501403902942709,0.0153427000716238,"Significant","Group14544",1,"kegg_ko__K02909","large subunit ribosomal protein L31","Ribosome structure and translation"
"Group14582",-0.161442930860472,0.026063094979357,0.0473874454170126,"Significant","Group14582",1,"kegg_ko__K03075","preprotein translocase subunit SecG","Protein secretion and membrane translocation"
"Group15601",0.198139604033554,0.00613708002864951,0.0153427000716238,"Significant","Group15601",1,"kegg_ko__K03892","ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor","Metal resistance and transcriptional regulation"
"Group16273",-0.198415288042015,0.00606481419481075,0.0153427000716238,"Significant","Group16273",1,"kegg_ko__K06919","putative DNA primase/helicase","DNA replication and repair"
"Group22881",-0.217612988711698,0.00256114457210868,0.0153427000716238,"Significant","Group22881",1,"pfam__AAA_2","Pfam_id: PF07724 name: AAA domain (Cdc48 subfamily)","ATPase and ATP-dependent functions"
"Group23075",0.110666182700738,0.128502283474359,0.177554049284285,"Non-significant","Group23075",1,"pfam__CHAT","Pfam_id: PF12770 name: CHAT domain","Proteolysis and peptidase activity"
"Group23734",0.116407902962156,0.109725966629376,0.168809179429809,"Non-significant","Group23734",1,"pfam__LRR_8","Pfam_id: PF13855 name: Leucine rich repeat","Protein interaction and repeat domains"
"Group24149",-0.206169266322846,0.0043197230653189,0.0153427000716238,"Significant","Group24149",1,"pfam__Ribosomal_L31","Pfam_id: PF01197 name: Ribosomal protein L31","Ribosome structure and translation"
"Group24448",-0.0605635792990582,0.406502175234898,0.406502175234898,"Non-significant","Group24448",1,"pfam__UPRTase","Pfam_id: PF14681 name: Uracil phosphoribosyltransferase","Pyrimidine salvage and nucleotide metabolism"
"Group25695",0.109341935906769,0.133165536963214,0.177554049284285,"Non-significant","Group25695",1,"pfam__MutH","Pfam_id: PF02976 name: DNA mismatch repair enzyme MutH","DNA replication and repair"
"Group25763",0.0683990523184225,0.348402211039563,0.406502175234898,"Non-significant","Group25763",1,"pfam__zf-IS66","Pfam_id: PF13005 name: zinc-finger binding domain of transposase IS66","Mobile genetic elements and DNA recombination"
