"","Number_of_features","Correlation","P_value","CI_lower","CI_upper"
"1","250",0.6,6.62316446095625e-20,0.5,0.68
"2","245",0.59,2.18317214790151e-19,0.49,0.68
"3","240",0.59,5.25729137167975e-19,0.49,0.67
"4","235",0.6,1.20856093593717e-19,0.5,0.68
"5","230",0.59,3.55542202617861e-19,0.49,0.68
"6","225",0.6,4.87985561100785e-20,0.5,0.68
"7","220",0.6,1.25051165523175e-19,0.5,0.68
"8","215",0.6,2.53460945418375e-20,0.51,0.69
"9","210",0.59,1.48268707222783e-19,0.49,0.68
"10","205",0.6,2.82492043295409e-20,0.51,0.69
"11","200",0.59,2.67439279324641e-19,0.49,0.68
"12","195",0.6,1.24477266467532e-19,0.5,0.68
"13","190",0.6,9.46586579292239e-20,0.5,0.68
"14","185",0.59,3.555945502369e-19,0.49,0.68
"15","180",0.59,3.45991682027173e-19,0.49,0.68
"16","175",0.59,1.92046599069235e-19,0.49,0.68
"17","170",0.6,9.70021903066156e-20,0.5,0.68
"18","165",0.59,5.42755180067897e-19,0.49,0.67
"19","160",0.61,1.48356340445646e-20,0.51,0.69
"20","155",0.62,3.18473692076211e-21,0.52,0.7
"21","150",0.59,1.97645310531925e-19,0.49,0.68
"22","145",0.6,9.18505610627617e-20,0.5,0.68
"23","140",0.61,4.28610185485605e-21,0.52,0.7
"24","135",0.6,6.86657592084878e-20,0.5,0.68
"25","130",0.61,1.11738661227725e-20,0.51,0.69
"26","125",0.61,1.56354607609944e-20,0.51,0.69
"27","120",0.62,2.762981869134e-21,0.52,0.7
"28","115",0.62,8.00150181516161e-22,0.53,0.7
"29","110",0.62,7.40239753724712e-22,0.53,0.7
"30","105",0.62,1.02761854595646e-21,0.53,0.7
"31","100",0.62,2.53572568028873e-21,0.52,0.7
"32","95",0.61,5.77848755043118e-21,0.52,0.69
"33","90",0.63,8.15284208279378e-23,0.54,0.71
"34","85",0.63,1.89365932847724e-22,0.54,0.71
"35","80",0.62,6.55034128041804e-22,0.53,0.7
"36","75",0.63,1.04709109947308e-22,0.54,0.71
"37","70",0.62,9.65190225182619e-22,0.53,0.7
"38","65",0.65,9.15897289716252e-24,0.55,0.72
"39","60",0.64,3.02203169544989e-23,0.55,0.72
"40","55",0.64,2.63179895713009e-23,0.55,0.72
"41","50",0.64,3.10917052647901e-23,0.55,0.72
"42","45",0.63,2.93576059936784e-22,0.53,0.71
"43","40",0.64,6.72215667531025e-23,0.54,0.71
"44","35",0.64,4.45870110041061e-23,0.54,0.72
"45","30",0.64,2.28890671193914e-23,0.55,0.72
"46","25",0.61,1.49762453655359e-20,0.51,0.69
"47","20",0.63,3.6269526140238e-22,0.53,0.71
