"","StehlikovaZ_2019","YuG_2016_exposure","YuG_2016","BassisC_2014_exposure","BurchamZ_2020","HMP_2012","ThomasA_2014_exposure","CaselliE_2020","JulianM_2017_exposure","StewartC_2018_exposure"
"Rothia_mucilaginosa",0,1,1,1,0,1,0,1,1,0
"Fusobacterium_nucleatum",0,1,1,1,1,1,0,0,0,1
"Actinomyces_odontolyticus",1,1,1,1,0,1,0,0,0,0
"Haemophilus_parainfluenzae",1,0,0,1,0,0,1,1,1,0
"Prevotella_melaninogenica",1,0,1,1,1,0,0,0,1,0
"Streptococcus_mitis",1,0,0,0,0,1,0,1,1,1
"Rothia_dentocariosa",0,0,1,1,0,0,0,0,1,1
"Streptococcus_parasanguinis",1,1,1,0,0,1,0,0,0,0
"Porphyromonas_catoniae",0,0,0,1,1,0,0,0,1,1
"Veillonella_dispar",0,0,1,1,1,0,0,0,0,0
"Streptococcus_pneumoniae",1,0,0,0,0,0,0,0,1,1
"Streptococcus_sanguinis",1,0,0,0,1,1,0,0,0,0
"Gemella_haemolysans",1,0,0,0,0,0,0,1,0,1
"Leptotrichia_shahii",0,1,1,0,0,0,0,0,1,0
"Gemella_sanguinis",1,1,1,0,0,0,0,0,0,0
"Actinomyces_lingnae",1,1,1,0,0,0,0,0,0,0
"Oribacterium_sinus",1,0,1,0,0,0,0,0,1,0
"Megasphaera_micronuciformis",1,1,1,0,0,0,0,0,0,0
"Veillonella_atypica",1,1,1,0,0,0,0,0,0,0
"Streptococcus_thermophilus",1,1,1,0,0,0,0,0,0,0
"Aggregatibacter_segnis",0,0,0,0,1,0,0,0,1,1
"Leptotrichia_buccalis",0,0,1,0,0,0,0,0,1,0
"Prevotella_salivae",1,0,0,0,0,0,0,0,1,0
"Fusobacterium_periodonticum",1,0,0,0,0,0,0,0,1,0
"Streptococcus_oralis",0,0,0,0,1,0,0,0,0,1
"Atopobium_parvulum",1,0,1,0,0,0,0,0,0,0
"Prevotella_nanceiensis",1,0,0,0,0,0,0,0,1,0
"Solobacterium_moorei",0,0,0,0,0,0,1,0,1,0
"Corynebacterium_matruchotii",0,1,1,0,0,0,0,0,0,0
"Leptotrichia_wadei",1,0,0,0,0,0,0,0,1,0
"Prevotella_histicola",1,0,1,0,0,0,0,0,0,0
"Haemophilus_haemolyticus",1,0,0,1,0,0,0,0,0,0
"Veillonella_rogosae",1,0,0,0,0,0,0,0,0,0
"Rothia_aeria",0,0,0,0,1,0,0,0,0,0
"Capnocytophaga_leadbetteri",0,0,0,0,0,1,0,0,0,0
"Prevotella_pallens",1,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,1,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,1
"Tannerella_forsythia",0,0,0,0,0,0,0,0,0,1
"Peptostreptococcus_stomatis",1,0,0,0,0,0,0,0,0,0
"Selenomonas_sputigena",0,0,0,0,0,0,0,0,0,1
"Haemophilus_influenzae",0,0,0,0,0,0,0,0,0,1
"Veillonella_parvula",0,0,0,0,0,1,0,0,0,0
"Leptotrichia_goodfellowii",1,0,0,0,0,0,0,0,0,0
"Granulicatella_elegans",1,0,0,0,0,0,0,0,0,0
"Campylobacter_concisus",0,0,0,0,0,1,0,0,0,0
"Abiotrophia_defectiva",0,0,0,0,1,0,0,0,0,0
"Campylobacter_gracilis",0,0,0,0,0,0,0,0,1,0
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,1
"Catonella_morbi",0,0,0,0,0,0,0,0,0,1
"Neisseria_flavescens",0,0,0,0,0,0,0,1,0,0
"Leptotrichia_trevisanii",0,1,0,0,0,0,0,0,0,0
"Prevotella_oris",0,0,0,0,0,0,0,0,0,1
"Corynebacterium_durum",0,0,0,0,0,0,0,0,1,0
"Fretibacterium_fastidiosum",0,0,0,0,0,0,0,0,1,0
"Streptococcus_peroris",0,0,0,0,0,0,0,0,0,1
"Streptococcus_infantis",0,0,0,0,0,1,0,0,0,0
