"","WolfA_2017_exposure","ZhuC_2020a","ZhuC_2020b","StewartC_2018_exposure","WangX_2020","RafiqulI_2022","FanX_2018b_exposure","TakayasuL_2017","ZellerG_2014B","ClementeJ_2015","BhushanB_2019","MarotzC_2022Sab","BostanciN_2021","OnyangoS_2020","CaselliE_2020","ChenL_2022","VoigtA_2015B","FanX_2018b","GoltsmanD_2018a","GoltsmanD_2018b","NagataN_2022","BelstromD_2017","LeeY_2025","BelstromD_2021","FilippisF_2015","BritoIL_2016","LiuY_2019","YuG_2016","YeoL_2019","PushalkarS_2020","TramiceA_2022","ChaudhariD_2020","LundmarkA_2019","LaiolaM_2020","TakahashiY_2019","YeoL_2019_exposure","RussoE_2018","YuG_2016_exposure","TongY_2019","VogtmannE_2019","LokmerA_2020_exposure","YuF_2020","JulianM_2017_exposure","LiK_2022_exposure","HuangC_2022","ZiganshinaE_2020","DavidL_2014","PooleA_2019","ArmstrongA_2023a","LeeW_2017","LokmerA_2020","WangT_2018","LinM_2020","LermaA_2020","WangB_2020","MoskovitzM_2021","MarotzC_2022Saa","OzgaA_2016","RiveraV_2025","YanoY_2020","MakinenA_2023","LiK_2022","MakinenA_2023_exposure","ZhengX_2017","TakeshitaT_2014","ZhuJ_2021_Yunnan","ArmstrongA_2023b","LassalleF_2017","TianN_2017","AbdelbaryM_2022","TramiceA_2022_exposure","WangQ_2019","ColladoM_2018","SohailM_2019","AcharyaA_2017","LimM_2023","LindheimL_2016","PushalkarS_2020_exposure","HijaziK_2020","GuoS_2022","MaruyamaH_2021","DebeliusJ_2020","JeongJ_2023","CameronS_2015","WillisJ_2018","WillisJ_2022","JiangQ_2019","ZhuC_2018","MenonR_2019","NearingJ_2020","KahharovaD_2019","ZauraE_2017"
"Prevotella_salivae",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atopobium_parvulum",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Prevotella_pallens",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fusobacterium_periodonticum",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"Megasphaera_micronuciformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Prevotella_melaninogenica",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"Porphyromonas_catoniae",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"Veillonella_dispar",0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Prevotella_histicola",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Haemophilus_parainfluenzae",0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
