"","GalimanasV_2014","BelstromD_2021","LenartovaM_2021","GanesanS_2020_exposure","CaselliE_2020","GhensiP_2019","AndersonA_2013","GanesanS_2020","ShoerS_2023","MarotzC_2022Su","MonteiroM_2021"
"Rothia_dentocariosa",1,1,1,1,1,1,1,1,0,1,1
"Streptococcus_sanguinis",1,1,1,1,0,0,1,1,0,1,1
"Fusobacterium_nucleatum",1,1,1,1,0,1,0,0,1,1,1
"Actinomyces_oris",1,1,0,1,1,0,0,1,1,0,1
"Capnocytophaga_ochracea",1,0,1,1,0,0,0,0,1,1,1
"Kingella_oralis",1,1,1,0,0,0,0,0,1,1,1
"Capnocytophaga_gingivalis",1,1,1,0,0,0,0,0,1,1,1
"Capnocytophaga_leadbetteri",1,1,1,0,0,0,0,0,1,0,1
"Eubacterium_brachy",0,1,0,1,0,0,0,0,1,1,1
"Lautropia_mirabilis",1,0,1,0,0,0,1,0,0,1,1
"Capnocytophaga_granulosa",1,1,0,0,0,0,0,0,1,1,1
"Capnocytophaga_sputigena",1,1,0,0,0,0,0,0,1,1,1
"Campylobacter_gracilis",1,0,0,1,0,0,0,0,1,1,1
"Parvimonas_micra",1,0,0,1,0,0,0,0,1,1,1
"Actinomyces_massiliensis",1,1,0,0,0,0,0,0,1,1,1
"Streptococcus_mitis",0,1,1,1,1,0,0,0,0,1,0
"Porphyromonas_catoniae",1,0,1,0,0,0,0,0,1,1,1
"Corynebacterium_durum",1,1,0,0,0,0,0,0,1,1,1
"Rothia_aeria",0,0,1,0,1,0,0,0,0,1,1
"Porphyromonas_endodontalis",1,0,0,0,0,0,0,0,1,1,1
"Treponema_socranskii",1,0,0,0,0,0,0,0,1,1,1
"Selenomonas_sputigena",1,0,0,0,0,0,0,0,1,1,1
"Prevotella_maculosa",1,0,0,0,0,0,0,0,1,1,1
"Veillonella_parvula",0,0,1,1,0,0,0,0,1,0,1
"Corynebacterium_matruchotii",1,0,0,0,0,0,0,0,1,1,1
"Prevotella_saccharolytica",1,0,0,0,0,0,0,0,1,1,1
"Catonella_morbi",1,0,0,0,0,0,0,0,1,1,1
"Propionibacterium_propionicum",0,1,0,0,0,0,0,0,1,1,1
"Leptotrichia_wadei",0,1,0,0,0,0,0,0,1,1,1
"Prevotella_oris",0,0,0,1,0,0,0,0,1,1,1
"Cardiobacterium_hominis",1,1,0,0,0,0,0,0,1,1,0
"Actinomyces_naeslundii",1,0,0,0,0,0,0,0,1,1,1
"Actinomyces_odontolyticus",1,0,1,0,0,0,0,0,0,0,1
"Lachnoanaerobaculum_saburreum",0,0,0,0,0,0,0,0,1,1,1
"Streptococcus_gordonii",0,1,0,0,0,0,0,0,1,0,1
"Leptotrichia_hofstadii",0,1,0,0,0,0,0,0,1,1,0
"Tannerella_forsythia",0,0,0,0,0,0,0,0,1,1,1
"Streptococcus_oralis",0,0,0,1,1,0,0,1,0,0,0
"Actinomyces_georgiae",1,0,0,0,0,0,0,0,0,1,1
"Selenomonas_infelix",1,0,0,0,0,0,0,0,0,1,1
"Neisseria_elongata",0,1,0,0,0,0,0,0,1,1,0
"Oribacterium_sinus",1,0,0,0,0,0,0,0,0,1,1
