"","SarkarP_2021","FerrettiP_2018","CaselliE_2020","BelstromD_2021","HMP_2012","ShaiberA_2020b","TangB_2023","ShaiberA_2020a","WidyarmanA_2021","BassisC_2014_exposure","FloresG_2014","YuG_2016_exposure","LarsonP_2022","GalimanasV_2014","YuG_2016","MaruyamaH_2021","HalboubE_2020_exposure","HalboubE_2020"
"Veillonella_dispar",1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1
"Veillonella_atypica",0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"Prevotella_salivae",0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
"Actinomyces_odontolyticus",1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1
"Actinomyces_graevenitzii",0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1
"Atopobium_parvulum",0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0
"Megasphaera_micronuciformis",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
"Haemophilus_parainfluenzae",0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
"Rothia_mucilaginosa",1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
"Campylobacter_concisus",1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1
"Streptococcus_parasanguinis",1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0
"Stomatobaculum_longum",0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1
"Fusobacterium_periodonticum",0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
"Gemella_sanguinis",0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
"Prevotella_melaninogenica",0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0
"Fusobacterium_nucleatum",1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
"Streptococcus_salivarius",0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
"Prevotella_histicola",0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0
"Streptococcus_pneumoniae",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
"Eubacterium_sulci",0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"Oribacterium_sinus",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
"Neisseria_flavescens",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"Prevotella_pallens",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
"Lachnoanaerobaculum_orale",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
"Streptococcus_sanguinis",1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
"Tannerella_forsythia",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
"Gemella_haemolysans",1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
"Solobacterium_moorei",0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0
"Leptotrichia_wadei",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1
"Streptococcus_mitis",1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"Porphyromonas_catoniae",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"Capnocytophaga_leadbetteri",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"Porphyromonas_endodontalis",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
"Mogibacterium_diversum",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Prevotella_nanceiensis",1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
"Streptococcus_infantis",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rothia_dentocariosa",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"Lachnoanaerobaculum_saburreum",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Alloprevotella_rava",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
"Veillonella_parvula",0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"Capnocytophaga_sputigena",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
"Haemophilus_sputorum",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Parvimonas_micra",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Porphyromonas_somerae",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_sp_T11011_6",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_rogosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Streptococcus_gordonii",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Capnocytophaga_granulosa",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Leptotrichia_shahii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"Selenomonas_sputigena",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"Alloprevotella_tannerae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"Streptococcus_oligofermentans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Actinomyces_lingnae",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Streptococcus_australis",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Catonella_morbi",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Lachnoanaerobaculum_umeaense",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"Capnocytophaga_gingivalis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Prevotella_jejuni",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_infantium",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia_aeria",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Eubacterium_yurii",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Dialister_invisus",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella_adiacens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Planobacterium_taklimakanense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Prevotella_veroralis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Lautropia_mirabilis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filifactor_alocis",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Campylobacter_mucosalis",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_socranskii",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus_stomatis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Butyrivibrio_fibrisolvens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Neisseria_elongata",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Abiotrophia_defectiva",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gemella_morbillorum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Prevotella_nigrescens",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oris",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium_durum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Veillonella_tobetsuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Prevotella_oulorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Atopobium_rimae",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_vincentii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Leptotrichia_sp_oral_taxon_215",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_A12",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_F0442",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC034E03",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC067H01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_actinomycetemcomitans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_shahii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Peptococcus_niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Actinobacillus_rossii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bacteroides_stercoris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_hofstadii",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium_neglectum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Campylobacter_showae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Leptotrichia_hongkongensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bacillus_cereus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pleuritidis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas_maltophilia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dialister_pneumosintes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Prevotella_intermedia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_fusca",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_equinus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Prevotella_maculosa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_influenzae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_gulae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Propionibacterium_acnes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_medium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_infelix",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium_matruchotii",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eikenella_corrodens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Morococcus_cerebrosus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_meningitidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Staphylococcus_epidermidis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_propionicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leptotrichia_trevisanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eubacterium_infirmum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_pittmaniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Kingella_oralis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cardiobacterium_hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Fretibacterium_fastidiosum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_peroris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_suis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Centipeda_periodontii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Actinomyces_naeslundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Streptococcus_lactarius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_loescheii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_oral_taxon_096",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_oral_taxon_306",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tannerella_sp_oral_taxon_HOT_286",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oribacterium_asaccharolyticum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oribacterium_parvum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
