"","species","CoreAssociationScore"
"Rothia_mucilaginosa","Rothia_mucilaginosa",1
"Fusobacterium_nucleatum","Fusobacterium_nucleatum",1
"Actinomyces_odontolyticus","Actinomyces_odontolyticus",0.972850678733032
"Haemophilus_parainfluenzae","Haemophilus_parainfluenzae",0.972850678733032
"Prevotella_melaninogenica","Prevotella_melaninogenica",0.972850678733032
"Streptococcus_mitis","Streptococcus_mitis",0.972850678733032
"Rothia_dentocariosa","Rothia_dentocariosa",0.941176470588235
"Streptococcus_parasanguinis","Streptococcus_parasanguinis",0.941176470588235
"Porphyromonas_catoniae","Porphyromonas_catoniae",0.941176470588235
"Veillonella_dispar","Veillonella_dispar",0.873303167420814
"Streptococcus_pneumoniae","Streptococcus_pneumoniae",0.873303167420814
"Streptococcus_sanguinis","Streptococcus_sanguinis",0.873303167420814
"Gemella_haemolysans","Gemella_haemolysans",0.873303167420814
"Leptotrichia_shahii","Leptotrichia_shahii",0.873303167420814
"Gemella_sanguinis","Gemella_sanguinis",0.873303167420814
"Actinomyces_lingnae","Actinomyces_lingnae",0.873303167420814
"Oribacterium_sinus","Oribacterium_sinus",0.873303167420814
"Megasphaera_micronuciformis","Megasphaera_micronuciformis",0.873303167420814
"Veillonella_atypica","Veillonella_atypica",0.873303167420814
"Streptococcus_thermophilus","Streptococcus_thermophilus",0.873303167420814
"Aggregatibacter_segnis","Aggregatibacter_segnis",0.873303167420814
"Leptotrichia_buccalis","Leptotrichia_buccalis",0.769230769230769
"Prevotella_salivae","Prevotella_salivae",0.769230769230769
"Fusobacterium_periodonticum","Fusobacterium_periodonticum",0.769230769230769
"Streptococcus_oralis","Streptococcus_oralis",0.769230769230769
"Atopobium_parvulum","Atopobium_parvulum",0.769230769230769
"Prevotella_nanceiensis","Prevotella_nanceiensis",0.769230769230769
"Solobacterium_moorei","Solobacterium_moorei",0.769230769230769
"Corynebacterium_matruchotii","Corynebacterium_matruchotii",0.769230769230769
"Leptotrichia_wadei","Leptotrichia_wadei",0.769230769230769
"Prevotella_histicola","Prevotella_histicola",0.769230769230769
"Haemophilus_haemolyticus","Haemophilus_haemolyticus",0.769230769230769
"Veillonella_rogosae","Veillonella_rogosae",0.606334841628959
"Rothia_aeria","Rothia_aeria",0.606334841628959
"Capnocytophaga_leadbetteri","Capnocytophaga_leadbetteri",0.606334841628959
"Prevotella_pallens","Prevotella_pallens",0.606334841628959
"Actinomyces_oris","Actinomyces_oris",0.606334841628959
"Dialister_invisus","Dialister_invisus",0.606334841628959
"Tannerella_forsythia","Tannerella_forsythia",0.606334841628959
"Peptostreptococcus_stomatis","Peptostreptococcus_stomatis",0.606334841628959
"Selenomonas_sputigena","Selenomonas_sputigena",0.606334841628959
"Haemophilus_influenzae","Haemophilus_influenzae",0.606334841628959
"Veillonella_parvula","Veillonella_parvula",0.606334841628959
"Leptotrichia_goodfellowii","Leptotrichia_goodfellowii",0.606334841628959
"Granulicatella_elegans","Granulicatella_elegans",0.606334841628959
"Campylobacter_concisus","Campylobacter_concisus",0.606334841628959
"Abiotrophia_defectiva","Abiotrophia_defectiva",0.606334841628959
"Campylobacter_gracilis","Campylobacter_gracilis",0.606334841628959
"Parvimonas_micra","Parvimonas_micra",0.606334841628959
"Catonella_morbi","Catonella_morbi",0.606334841628959
"Neisseria_flavescens","Neisseria_flavescens",0.606334841628959
"Leptotrichia_trevisanii","Leptotrichia_trevisanii",0.606334841628959
"Prevotella_oris","Prevotella_oris",0.606334841628959
"Corynebacterium_durum","Corynebacterium_durum",0.606334841628959
"Fretibacterium_fastidiosum","Fretibacterium_fastidiosum",0.606334841628959
"Streptococcus_peroris","Streptococcus_peroris",0.606334841628959
"Streptococcus_infantis","Streptococcus_infantis",0.606334841628959
"Aggregatibacter_actinomycetemcomitans","Aggregatibacter_actinomycetemcomitans",0
"Eubacterium_saphenum","Eubacterium_saphenum",0
"Prevotella_baroniae","Prevotella_baroniae",0
"Treponema_denticola","Treponema_denticola",0
"Eubacterium_brachy","Eubacterium_brachy",0
"Porphyromonas_endodontalis","Porphyromonas_endodontalis",0
"Eubacterium_yurii","Eubacterium_yurii",0
"Prevotella_shahii","Prevotella_shahii",0
"Prevotella_denticola","Prevotella_denticola",0
"Granulicatella_adiacens","Granulicatella_adiacens",0
