"","BassisC_2014_exposure","BurchamZ_2020","JulianM_2017_exposure","StehlikovaZ_2019","StewartC_2018_exposure","ThomasA_2014_exposure","YuG_2016_exposure","YuG_2016","CaselliE_2020","HMP_2012"
"Veillonella_rogosae",0,0,0,1,0,0,0,0,0,0
"Rothia_aeria",0,1,0,0,0,0,0,0,0,0
"Aggregatibacter_actinomycetemcomitans",0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",1,1,0,0,0,0,0,1,0,0
"Eubacterium_saphenum",0,0,0,0,0,0,0,0,0,0
"Leptotrichia_buccalis",0,0,1,0,0,0,0,1,0,0
"Actinomyces_odontolyticus",1,0,0,1,0,0,1,1,0,1
"Prevotella_baroniae",0,0,0,0,0,0,0,0,0,0
"Capnocytophaga_leadbetteri",0,0,0,0,0,0,0,0,0,1
"Prevotella_pallens",0,0,0,1,0,0,0,0,0,0
"Treponema_denticola",0,0,0,0,0,0,0,0,0,0
"Eubacterium_brachy",0,0,0,0,0,0,0,0,0,0
"Porphyromonas_endodontalis",0,0,0,0,0,0,0,0,0,0
"Eubacterium_yurii",0,0,0,0,0,0,0,0,0,0
"Prevotella_shahii",0,0,0,0,0,0,0,0,0,0
"Prevotella_denticola",0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,1
"Dialister_invisus",0,0,0,0,1,0,0,0,0,0
"Granulicatella_adiacens",0,0,0,0,0,0,0,0,0,0
"Prevotella_enoeca",0,0,0,0,0,0,0,0,0,0
"Streptococcus_cristatus",0,0,0,0,0,0,0,0,0,0
"Lachnoanaerobaculum_orale",0,0,0,0,0,0,0,0,0,0
"Actinomyces_meyeri",0,0,0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,1,1,0,0,0,0,0,0
"Actinobaculum_massiliense",0,0,0,0,0,0,0,0,0,0
"Eubacterium_nodatum",0,0,0,0,0,0,0,0,0,0
"Planobacterium_taklimakanense",0,0,0,0,0,0,0,0,0,0
"Anaeroglobus_geminatus",0,0,0,0,0,0,0,0,0,0
"Olsenella_uli",0,0,0,0,0,0,0,0,0,0
"Prevotella_veroralis",0,0,0,0,0,0,0,0,0,0
"Rothia_dentocariosa",1,0,1,0,1,0,0,1,0,0
"Peptococcus_niger",0,0,0,0,0,0,0,0,0,0
"Streptococcus_pneumoniae",0,0,1,1,1,0,0,0,0,0
"Schwartzia_succinivorans",0,0,0,0,0,0,0,0,0,0
"Lautropia_mirabilis",0,0,0,0,0,0,0,0,0,0
"Actinobacillus_rossii",0,0,0,0,0,0,0,0,0,0
"Actinomyces_gerencseriae",0,0,0,0,0,0,0,0,0,0
"Neisseria_shayeganii",0,0,0,0,0,0,0,0,0,0
"Selenomonas_noxia",0,0,0,0,0,0,0,0,0,0
"Haemophilus_parainfluenzae",1,0,1,1,0,1,0,0,1,0
"Porphyromonas_gingivalis",0,0,0,0,0,0,0,0,0,0
"Filifactor_alocis",0,0,0,0,0,0,0,0,0,0
"Rothia_mucilaginosa",1,0,1,0,0,0,1,1,1,1
"Lachnoanaerobaculum_saburreum",0,0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0,0,0,0,0,0,0
"Leptotrichia_hofstadii",0,0,0,0,0,0,0,0,0,0
"Streptococcus_sanguinis",0,1,0,1,0,0,0,0,0,1
"Fusobacterium_periodonticum",0,0,1,1,0,0,0,0,0,0
"Campylobacter_showae",0,0,0,0,0,0,0,0,0,0
"Tannerella_forsythia",0,0,0,0,1,0,0,0,0,0
"Capnocytophaga_granulosa",0,0,0,0,0,0,0,0,0,0
"Neisseria_oralis",0,0,0,0,0,0,0,0,0,0
"Leptotrichia_hongkongensis",0,0,0,0,0,0,0,0,0,0
"Gemella_haemolysans",0,0,0,1,1,0,0,0,1,0
"Actinomyces_viscosus",0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,1,0,0,1,0,0,0,0,0
"Cardiobacterium_valvarum",0,0,0,0,0,0,0,0,0,0
"Prevotella_pleuritidis",0,0,0,0,0,0,0,0,0,0
"Eubacterium_sulci",0,0,0,0,0,0,0,0,0,0
"Streptococcus_parasanguinis",0,0,0,1,0,0,1,1,0,1
"Prevotella_oralis",0,0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0
"Alloprevotella_rava",0,0,0,0,0,0,0,0,0,0
