"","BassisC_2014_exposure","FloresG_2014","GalimanasV_2014","HalboubE_2020_exposure","HalboubE_2020","MaruyamaH_2021","SarkarP_2021","ShaiberA_2020a","YuG_2016","YuG_2016_exposure","WidyarmanA_2021","TangB_2023","CaselliE_2020","FerrettiP_2018","HMP_2012","ShaiberA_2020b","BelstromD_2021","LarsonP_2022"
"Veillonella_rogosae",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia_aeria",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Aggregatibacter_actinomycetemcomitans",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_hungatei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
"Acinetobacter_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_saphenum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_buccalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_odontolyticus",1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0
"Neisseria_cinerea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_sicca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_baroniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga_leadbetteri",0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"Prevotella_pallens",0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"Treponema_denticola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_brachy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
