,species,CoreAssociationScore,CoreAssociationScore_16s,CoreAssociationScore_16s_exposure,CoreAssociationScore_WGS
Prevotella_salivae,Prevotella_salivae,1,1,0.995192307692308,0.929919137466307
Atopobium_parvulum,Atopobium_parvulum,0.997260273972603,1,0.988782051282051,0.929919137466307
Prevotella_pallens,Prevotella_pallens,0.994520547945206,0.995695839311334,0.951923076923077,0.929919137466307
Fusobacterium_periodonticum,Fusobacterium_periodonticum,0.991780821917808,0.982783357245337,0.995192307692308,0.956873315363881
Megasphaera_micronuciformis,Megasphaera_micronuciformis,0.989041095890411,0.989956958393113,0.951923076923077,0.897574123989218
Prevotella_melaninogenica,Prevotella_melaninogenica,0.984931506849315,0.989956958393113,0.860576923076923,0.897574123989218
Porphyromonas_catoniae,Porphyromonas_catoniae,0.984931506849315,0.989956958393113,1,0
Veillonella_dispar,Veillonella_dispar,0.980821917808219,0.977044476327116,0.951923076923077,0.956873315363881
Prevotella_histicola,Prevotella_histicola,0.978082191780822,0.982783357245337,0.979166666666667,0.849056603773585
Haemophilus_parainfluenzae,Haemophilus_parainfluenzae,0.975342465753425,0.959827833572453,0.860576923076923,0.994609164420485
Fusobacterium_nucleatum,Fusobacterium_nucleatum,0.972602739726027,0.977044476327116,0.911858974358974,0.849056603773585
Streptococcus_thermophilus,Streptococcus_thermophilus,0.96986301369863,0.972740315638451,0.951923076923077,0
Actinomyces_graevenitzii,Actinomyces_graevenitzii,0.965753424657534,0.93687230989957,0.979166666666667,0.929919137466307
Campylobacter_concisus,Campylobacter_concisus,0.965753424657534,0.965566714490674,0.719551282051282,0.897574123989218
Actinomyces_odontolyticus,Actinomyces_odontolyticus,0.958904109589041,0.965566714490674,0.793269230769231,0.849056603773585
Rothia_mucilaginosa,Rothia_mucilaginosa,0.958904109589041,0.919655667144907,0.911858974358974,0.986522911051213
Prevotella_nanceiensis,Prevotella_nanceiensis,0.958904109589041,0.96987087517934,0.951923076923077,NA
Streptococcus_sanguinis,Streptococcus_sanguinis,0.947945205479452,0.945480631276901,0.860576923076923,0.873315363881402
Tannerella_forsythia,Tannerella_forsythia,0.947945205479452,0.945480631276901,0.951923076923077,0.78167115902965
Peptostreptococcus_stomatis,Peptostreptococcus_stomatis,0.947945205479452,0.954088952654232,0.951923076923077,0.676549865229111
Veillonella_atypica,Veillonella_atypica,0.947945205479452,0.919655667144907,0.793269230769231,0.975741239892183
Stomatobaculum_longum,Stomatobaculum_longum,0.947945205479452,0.954088952654232,0.911858974358974,0.78167115902965
Actinomyces_lingnae,Actinomyces_lingnae,0.938356164383562,0.959827833572453,0.911858974358974,NA
Leptotrichia_wadei,Leptotrichia_wadei,0.938356164383562,0.93687230989957,0.951923076923077,0.78167115902965
Solobacterium_moorei,Solobacterium_moorei,0.932876712328767,0.945480631276901,0.951923076923077,0.566037735849057
Parvimonas_micra,Parvimonas_micra,0.932876712328767,0.945480631276901,0.911858974358974,0.676549865229111
Capnocytophaga_gingivalis,Capnocytophaga_gingivalis,0.928767123287671,0.926829268292683,0.951923076923077,0.78167115902965
Streptococcus_parasanguinis,Streptococcus_parasanguinis,0.923287671232877,0.890961262553802,0.860576923076923,0.975741239892183
Neisseria_flavescens,Neisseria_flavescens,0.923287671232877,0.882352941176471,0.719551282051282,1
Lachnoanaerobaculum_umeaense,Lachnoanaerobaculum_umeaense,0.923287671232877,0.926829268292683,0.988782051282051,0
Prevotella_veroralis,Prevotella_veroralis,0.916438356164384,0.932568149210904,0.860576923076923,0.676549865229111
Oribacterium_sinus,Oribacterium_sinus,0.916438356164384,0.926829268292683,0.860576923076923,0.78167115902965
Gemella_sanguinis,Gemella_sanguinis,0.912328767123288,0.875179340028694,0.911858974358974,0.929919137466307
Lautropia_mirabilis,Lautropia_mirabilis,0.908219178082192,0.913916786226686,0.793269230769231,0.676549865229111
Gemella_haemolysans,Gemella_haemolysans,0.908219178082192,0.898134863701578,0.793269230769231,0.873315363881402
Rothia_aeria,Rothia_aeria,0.901369863013699,0.913916786226686,0.61698717948718,0.78167115902965
Capnocytophaga_leadbetteri,Capnocytophaga_leadbetteri,0.901369863013699,0.908177905308465,0.793269230769231,0.676549865229111
Capnocytophaga_sputigena,Capnocytophaga_sputigena,0.901369863013699,0.902439024390244,0.860576923076923,0.676549865229111
Eubacterium_sulci,Eubacterium_sulci,0.894520547945206,0.890961262553802,0.793269230769231,0.849056603773585
Prevotella_oulorum,Prevotella_oulorum,0.894520547945206,0.902439024390244,0.911858974358974,0
Rothia_dentocariosa,Rothia_dentocariosa,0.887671232876712,0.847919655667145,0.911858974358974,0.929919137466307
Capnocytophaga_ochracea,Capnocytophaga_ochracea,0.887671232876712,0.908177905308465,0.719551282051282,0.566037735849057
Prevotella_oris,Prevotella_oris,0.887671232876712,0.882352941176471,0.860576923076923,0.78167115902965
Selenomonas_sputigena,Selenomonas_sputigena,0.882191780821918,0.875179340028694,0.979166666666667,0
Veillonella_parvula,Veillonella_parvula,0.878082191780822,0.835007173601148,0.951923076923077,0.897574123989218
Catonella_morbi,Catonella_morbi,0.878082191780822,0.890961262553802,0.860576923076923,0
Leptotrichia_buccalis,Leptotrichia_buccalis,0.872602739726027,0.868005738880918,0.911858974358974,0.566037735849057
Corynebacterium_matruchotii,Corynebacterium_matruchotii,0.872602739726027,0.847919655667145,0.951923076923077,0.78167115902965
Streptococcus_mitis,Streptococcus_mitis,0.865753424657534,0.823529411764706,0.719551282051282,0.967654986522911
Aggregatibacter_segnis,Aggregatibacter_segnis,0.865753424657534,0.890961262553802,0.61698717948718,0.566037735849057
Prevotella_loescheii,Prevotella_loescheii,0.865753424657534,0.875179340028694,0.860576923076923,0
Dialister_invisus,Dialister_invisus,0.857534246575342,0.847919655667145,0.979166666666667,0
Campylobacter_gracilis,Campylobacter_gracilis,0.857534246575342,0.857962697274032,0.951923076923077,0
Streptococcus_salivarius,Streptococcus_salivarius,0.857534246575342,0.823529411764706,0.793269230769231,0.929919137466307
Alloprevotella_rava,Alloprevotella_rava,0.850684931506849,0.857962697274032,0.860576923076923,0.566037735849057
Corynebacterium_durum,Corynebacterium_durum,0.850684931506849,0.863701578192252,0.860576923076923,0
Lachnoanaerobaculum_orale,Lachnoanaerobaculum_orale,0.845205479452055,0.857962697274032,0.860576923076923,NA
Lachnoanaerobaculum_saburreum,Lachnoanaerobaculum_saburreum,0.845205479452055,0.839311334289814,0.860576923076923,0.676549865229111
Gemella_morbillorum,Gemella_morbillorum,0.841095890410959,0.868005738880918,0.61698717948718,0
Porphyromonas_endodontalis,Porphyromonas_endodontalis,0.836986301369863,0.809182209469154,0.860576923076923,0.78167115902965
Streptococcus_oralis,Streptococcus_oralis,0.836986301369863,0.773314203730273,0.719551282051282,0.956873315363881
Veillonella_rogosae,Veillonella_rogosae,0.83013698630137,0.847919655667145,0.719551282051282,0
Treponema_medium,Treponema_medium,0.83013698630137,0.823529411764706,0.860576923076923,0.566037735849057
Prevotella_nigrescens,Prevotella_nigrescens,0.83013698630137,0.773314203730273,0.911858974358974,0.849056603773585
Prevotella_denticola,Prevotella_denticola,0.821917808219178,0.823529411764706,0.719551282051282,0.676549865229111
Kingella_oralis,Kingella_oralis,0.821917808219178,0.823529411764706,0.793269230769231,0.566037735849057
Cardiobacterium_hominis,Cardiobacterium_hominis,0.821917808219178,0.839311334289814,0.61698717948718,0.566037735849057
Prevotella_shahii,Prevotella_shahii,0.80958904109589,0.809182209469154,0.719551282051282,0.566037735849057
Selenomonas_noxia,Selenomonas_noxia,0.80958904109589,0.78909612625538,0.911858974358974,0
Leptotrichia_hongkongensis,Leptotrichia_hongkongensis,0.80958904109589,0.823529411764706,0.719551282051282,NA
Alloprevotella_tannerae,Alloprevotella_tannerae,0.80958904109589,0.773314203730273,0.793269230769231,0.78167115902965
Neisseria_elongata,Neisseria_elongata,0.80958904109589,0.78909612625538,0.719551282051282,0.78167115902965
Fretibacterium_fastidiosum,Fretibacterium_fastidiosum,0.80958904109589,0.823529411764706,0.719551282051282,0
Streptococcus_gordonii,Streptococcus_gordonii,0.797260273972603,0.78909612625538,0.793269230769231,0.566037735849057
Treponema_socranskii,Treponema_socranskii,0.797260273972603,0.800573888091822,0.793269230769231,0
Eikenella_corrodens,Eikenella_corrodens,0.797260273972603,0.773314203730273,0.860576923076923,0.566037735849057
Aggregatibacter_aphrophilus,Aggregatibacter_aphrophilus,0.79041095890411,0.809182209469154,0.61698717948718,0
Atopobium_rimae,Atopobium_rimae,0.79041095890411,0.75609756097561,0.911858974358974,0.566037735849057
Filifactor_alocis,Filifactor_alocis,0.782191780821918,0.741750358680057,0.793269230769231,0.78167115902965
Capnocytophaga_granulosa,Capnocytophaga_granulosa,0.782191780821918,0.773314203730273,0.793269230769231,0
Abiotrophia_defectiva,Abiotrophia_defectiva,0.782191780821918,0.800573888091822,0.61698717948718,0
Leptotrichia_trevisanii,Leptotrichia_trevisanii,0.782191780821918,0.773314203730273,0.793269230769231,NA
Eubacterium_yurii,Eubacterium_yurii,0.76986301369863,0.800573888091822,0,0
Leptotrichia_shahii,Leptotrichia_shahii,0.76986301369863,0.763271162123386,0.793269230769231,NA
Prevotella_maculosa,Prevotella_maculosa,0.76986301369863,0.75609756097561,0.860576923076923,0
Selenomonas_infelix,Selenomonas_infelix,0.76986301369863,0.78909612625538,0.61698717948718,0
Leptotrichia_goodfellowii,Leptotrichia_goodfellowii,0.76986301369863,0.78909612625538,0.61698717948718,0
Treponema_denticola,Treponema_denticola,0.757534246575343,0.741750358680057,0.719551282051282,0.676549865229111
Streptococcus_pneumoniae,Streptococcus_pneumoniae,0.757534246575343,0.741750358680057,0.860576923076923,0
Campylobacter_showae,Campylobacter_showae,0.757534246575343,0.75609756097561,0.61698717948718,0.676549865229111
Granulicatella_elegans,Granulicatella_elegans,0.757534246575343,0.75609756097561,0.719551282051282,0.566037735849057
Leptotrichia_hofstadii,Leptotrichia_hofstadii,0.749315068493151,0.727403156384505,0.719551282051282,0.676549865229111
Streptococcus_infantis,Streptococcus_infantis,0.749315068493151,0.634146341463415,0,0.986522911051213
Eubacterium_brachy,Eubacterium_brachy,0.741095890410959,0.717360114777618,0.61698717948718,0.78167115902965
Prevotella_intermedia,Prevotella_intermedia,0.741095890410959,0.704447632711621,0.719551282051282,0.78167115902965
Haemophilus_influenzae,Haemophilus_influenzae,0.741095890410959,0.741750358680057,0.719551282051282,0
Selenomonas_artemidis,Selenomonas_artemidis,0.741095890410959,0.717360114777618,0.860576923076923,0
