"","Supragingival","Subgingival","Tongue_Tonsil","Saliva","Buccal_Palate"
"Porphyromonas_endodontalis",0,0.842443729903537,0.834158415841584,0,0
"Lachnoanaerobaculum_saburreum",0,0.736334405144695,0.794554455445545,0,0
"Streptococcus_gordonii",0,0.736334405144695,0.737623762376238,0,0
"Actinomyces_oris",0,0.980707395498392,0,0,0.606334841628959
"Atopobium_rimae",0,0.736334405144695,0,0,0
"Leptotrichia_hofstadii",0,0.736334405144695,0,0,0
"Fretibacterium_fastidiosum",0,0.736334405144695,0,0,0
"Eubacterium_brachy",0,0.922829581993569,0,0,0
"Prevotella_saccharolytica",0,0.842443729903537,0,0,0
"Propionibacterium_propionicum",0,0.842443729903537,0,0,0
"Abiotrophia_defectiva",0,0,0,0,0.606334841628959
"Granulicatella_elegans",0,0,0,0,0.606334841628959
"Haemophilus_influenzae",0,0,0,0,0.606334841628959
"Leptotrichia_goodfellowii",0,0,0,0,0.606334841628959
"Leptotrichia_shahii",0,0,0,0,0.873303167420814
"Haemophilus_haemolyticus",0,0,0,0,0.769230769230769
"Veillonella_rogosae",0,0,0.737623762376238,0,0.606334841628959
"Mogibacterium_diversum",0,0,0.834158415841584,0,0
"Streptococcus_infantis",0,0,0.834158415841584,0,0
"Veillonella_sp_T11011_6",0,0,0.794554455445545,0,0
"Porphyromonas_somerae",0,0,0.794554455445545,0,0
"Alloprevotella_rava",0,0,0.794554455445545,0,0
"Haemophilus_sputorum",0,0,0.794554455445545,0,0
"Streptococcus_salivarius",0,0,0.930693069306931,0,0
"Lachnoanaerobaculum_orale",0,0,0.873762376237624,0,0
"Solobacterium_moorei",0,0.736334405144695,0.873762376237624,0.932876712328767,0.769230769230769
"Parvimonas_micra",0,0.922829581993569,0.794554455445545,0.932876712328767,0.606334841628959
"Neisseria_flavescens",0,0,0.905940594059406,0.923287671232877,0
"Eubacterium_sulci",0,0,0.905940594059406,0.894520547945206,0
"Actinomyces_graevenitzii",0,0,0.98019801980198,0.965753424657534,0
"Stomatobaculum_longum",0,0,0.95049504950495,0.947945205479452,0
"Prevotella_pallens",0,0,0.873762376237624,0.994520547945206,0.606334841628959
"Gemella_sanguinis",0,0,0.930693069306931,0.912328767123288,0.873303167420814
"Gemella_haemolysans",0,0,0.873762376237624,0.908219178082192,0.873303167420814
"Streptococcus_parasanguinis",0,0,0.95049504950495,0.923287671232877,0.941176470588235
"Megasphaera_micronuciformis",0,0,0.98019801980198,0.989041095890411,0.873303167420814
"Veillonella_atypica",0,0,1,0.947945205479452,0.873303167420814
"Prevotella_salivae",0,0,0.992574257425743,1,0.769230769230769
"Fusobacterium_periodonticum",0,0,0.930693069306931,0.991780821917808,0.769230769230769
"Prevotella_histicola",0,0,0.930693069306931,0.978082191780822,0.769230769230769
"Streptococcus_thermophilus",0,0,0.834158415841584,0.96986301369863,0.873303167420814
"Prevotella_nanceiensis",0,0,0.834158415841584,0.958904109589041,0.769230769230769
"Lachnoanaerobaculum_umeaense",0,0,0,0.923287671232877,0
"Prevotella_veroralis",0,0,0,0.916438356164384,0
"Peptostreptococcus_stomatis",0,0,0,0.947945205479452,0.606334841628959
"Actinomyces_lingnae",0,0,0,0.938356164383562,0.873303167420814
"Prevotella_oulorum",0.876957494407159,0,0,0.894520547945206,0
"Leptotrichia_buccalis",0.876957494407159,0,0,0.872602739726027,0.769230769230769
"Aggregatibacter_segnis",0.825503355704698,0,0,0.865753424657534,0.873303167420814
"Streptococcus_oralis",0.914988814317673,0.736334405144695,0.834158415841584,0,0.769230769230769
"Streptococcus_pneumoniae",0.785234899328859,0,0.905940594059406,0,0.873303167420814
"Rothia_mucilaginosa",0.825503355704698,0,0.962871287128713,0.958904109589041,1
"Prevotella_melaninogenica",0.914988814317673,0,0.930693069306931,0.984931506849315,0.972850678733032
"Haemophilus_parainfluenzae",0.876957494407159,0,0.962871287128713,0.975342465753425,0.972850678733032
"Atopobium_parvulum",0.825503355704698,0,0.98019801980198,0.997260273972603,0.769230769230769
"Veillonella_dispar",0.785234899328859,0,1,0.980821917808219,0.873303167420814
"Campylobacter_concisus",0.876957494407159,0.736334405144695,0.962871287128713,0.965753424657534,0.606334841628959
"Tannerella_forsythia",0.914988814317673,0.736334405144695,0.873762376237624,0.947945205479452,0.606334841628959
"Leptotrichia_wadei",0.876957494407159,0.842443729903537,0.873762376237624,0.938356164383562,0.769230769230769
"Capnocytophaga_leadbetteri",0.825503355704698,0.922829581993569,0.834158415841584,0.901369863013699,0.606334841628959
"Veillonella_parvula",0.825503355704698,0.842443729903537,0.794554455445545,0.878082191780822,0.606334841628959
"Actinomyces_odontolyticus",0.914988814317673,0.736334405144695,0.98019801980198,0.958904109589041,0.972850678733032
"Oribacterium_sinus",0.825503355704698,0.736334405144695,0.905940594059406,0.916438356164384,0.873303167420814
"Rothia_dentocariosa",0.991051454138702,1,0.794554455445545,0.887671232876712,0.941176470588235
"Streptococcus_mitis",0.914988814317673,0.922829581993569,0.873762376237624,0.865753424657534,0.972850678733032
"Fusobacterium_nucleatum",0.995525727069351,0.990353697749196,0.930693069306931,0.972602739726027,1
"Porphyromonas_catoniae",0.979865771812081,0.922829581993569,0.873762376237624,0.984931506849315,0.941176470588235
"Streptococcus_sanguinis",1,0.990353697749196,0.873762376237624,0.947945205479452,0.873303167420814
"Dialister_invisus",0.876957494407159,0,0,0,0.606334841628959
"Selenomonas_noxia",0.914988814317673,0,0,0,0
"Cardiobacterium_valvarum",0.785234899328859,0,0,0,0
"Campylobacter_gracilis",0.955257270693512,0.922829581993569,0,0,0.606334841628959
"Actinomyces_naeslundii",0.825503355704698,0.842443729903537,0,0,0
"Treponema_socranskii",0.914988814317673,0.842443729903537,0,0,0
"Prevotella_maculosa",0.876957494407159,0.842443729903537,0,0,0
"Cardiobacterium_hominis",0.979865771812081,0.842443729903537,0,0,0
"Kingella_oralis",0.935123042505593,0.967845659163987,0,0,0
"Actinomyces_massiliensis",0.955257270693512,0.922829581993569,0,0,0
"Corynebacterium_durum",0.955257270693512,0.922829581993569,0,0,0
"Actinomyces_georgiae",0.785234899328859,0.736334405144695,0,0,0
"Prevotella_nigrescens",0.825503355704698,0.736334405144695,0,0,0
"Selenomonas_infelix",0.825503355704698,0.736334405144695,0,0,0
"Gemella_morbillorum",0.825503355704698,0.736334405144695,0,0,0
"Prevotella_loescheii",0.876957494407159,0.736334405144695,0,0,0
"Neisseria_elongata",0.955257270693512,0.736334405144695,0,0,0
"Eikenella_corrodens",0.955257270693512,0.736334405144695,0,0,0
"Prevotella_oris",0.825503355704698,0.842443729903537,0,0.887671232876712,0
"Capnocytophaga_gingivalis",0.979865771812081,0.967845659163987,0,0.928767123287671,0
"Lautropia_mirabilis",0.876957494407159,0.922829581993569,0,0.908219178082192,0
"Capnocytophaga_ochracea",0.876957494407159,0.967845659163987,0,0.887671232876712,0
"Corynebacterium_matruchotii",0.825503355704698,0.842443729903537,0,0.872602739726027,0.769230769230769
"Catonella_morbi",0.825503355704698,0.842443729903537,0,0.878082191780822,0.606334841628959
"Rothia_aeria",0.979865771812081,0.842443729903537,0,0.901369863013699,0.606334841628959
"Selenomonas_sputigena",0.955257270693512,0.842443729903537,0,0.882191780821918,0.606334841628959
"Capnocytophaga_sputigena",0.955257270693512,0.922829581993569,0.794554455445545,0.901369863013699,0
"Capnocytophaga_granulosa",0.935123042505593,0.922829581993569,0.737623762376238,0,0
