"","JulianM_2017","StehlikovaZ_2019"
"Prevotella_shahii",3,3
"Prevotella_aurantiaca",0,3
"Eubacterium_yurii",0,3
"Lachnoanaerobaculum_orale",0,3
"Prevotella_saccharolytica",0,2
"Selenomonas_dianae",0,2
"Haemophilus_haemolyticus",-3,0
"Neisseria_flavescens",-3,0
"Eikenella_corrodens",-3,0
"Aggregatibacter_actinomycetemcomitans",-3,0
"Neisseria_elongata",-3,0
"Lautropia_mirabilis",-2,0
"Leptotrichia_goodfellowii",-2,0
"Actinomyces_naeslundii",-2,-3
"Capnocytophaga_gingivalis",-3,-3
"Capnocytophaga_sputigena",-3,-3
"Capnocytophaga_leadbetteri",-3,-3
"Streptococcus_sanguinis",-3,-3
"Corynebacterium_durum",3,0
"Actinomyces_massiliensis",3,0
"Oribacterium_sinus",3,0
"Haemophilus_influenzae",3,0
"Streptococcus_oligofermentans",3,0
"Actinomyces_georgiae",3,0
"Prevotella_enoeca",3,0
"Peptococcus_niger",3,0
"Prevotella_micans",2,0
"Streptococcus_thermophilus",2,0
"Prevotella_maculosa",2,0
"Streptococcus_oralis",2,0
"Eubacterium_sulci",2,0
"Prevotella_loescheii",0,-3
"Aggregatibacter_segnis",0,-3
"Selenomonas_artemidis",0,-3
"Cardiobacterium_hominis",0,-3
"Leptotrichia_wadei",0,-3
"Leptotrichia_trevisanii",0,-3
"Streptococcus_mutans",0,-3
"Mogibacterium_timidum",0,-3
"Prevotella_buccae",0,-3
"Scardovia_wiggsiae",0,-3
"Corynebacterium_matruchotii",0,-3
"Veillonella_atypica",0,-3
"Haemophilus_sputorum",0,-3
"Abiotrophia_defectiva",0,-3
"Selenomonas_infelix",0,-3
"Veillonella_parvula",0,-3
"Alloprevotella_tannerae",0,-3
"Selenomonas_sputigena",0,-3
"Prevotella_intermedia",0,-3
"Capnocytophaga_ochracea",0,-3
"Leptotrichia_shahii",0,-3
"Dialister_pneumosintes",0,-3
"Treponema_socranskii",0,-3
"Treponema_lecithinolyticum",0,-3
"Cardiobacterium_valvarum",0,-3
"Actinomyces_viscosus",0,-3
"Leptotrichia_hongkongensis",0,-3
"Capnocytophaga_granulosa",0,-3
"Tannerella_forsythia",0,-3
"Campylobacter_showae",0,-3
"Streptococcus_gordonii",0,-3
"Lachnoanaerobaculum_saburreum",0,-3
"Porphyromonas_gingivalis",0,-3
"Selenomonas_noxia",0,-3
"Prevotella_salivae",0,-3
"Granulicatella_adiacens",0,-3
"Dialister_invisus",0,-3
"Actinomyces_oris",0,-3
"Prevotella_denticola",0,-3
"Leptotrichia_buccalis",0,-3
"Prevotella_baroniae",0,-3
"Fretibacterium_fastidiosum",0,-2
"Neisseria_bacilliformis",0,-2
"Aggregatibacter_aphrophilus",0,-2
"Megasphaera_micronuciformis",0,-2
"Campylobacter_concisus",0,-2
"Treponema_medium",0,-2
"Bulleidia_extructa",0,-2
"Eubacterium_nodatum",0,-2
"Prevotella_veroralis",0,-2
"Eubacterium_brachy",3,-2
"Anaeroglobus_geminatus",2,-2
"Prevotella_oris",2,-3
"Leptotrichia_hofstadii",2,-3
"Gemella_morbillorum",2,-3
"Prevotella_oulorum",3,-3
"Fusobacterium_nucleatum",3,-3
"Streptococcus_anginosus",3,-3
