"","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score"
"Veillonella_rogosae",3,0,0.119999600001333,4,0,0.159999600001,4,0,0.159999600001,2,0,0.079999600002,5,0,0.1999996000008,5,0,0.1999996000008,3,0,0.119999600001333,4,0,0.159999600001,3,0,0.119999600001333,3,0,0.119999600001333
"Rothia_aeria",4,0,0.159999600001,6,0,0.239999600000667,4,1,0.0899997750005625,2,1,0.0199999000005,4,1,0.0899997750005625,4,0,0.159999600001,3,1,0.0533331555561481,3,1,0.0533331555561481,5,0,0.1999996000008,6,1,0.166666388889352
"Aggregatibacter_actinomycetemcomitans",3,0,0.119999600001333,4,0,0.159999600001,3,1,0.0533331555561481,3,1,0.0533331555561481,2,0,0.079999600002,3,1,0.0533331555561481,2,1,0.0199999000005,3,1,0.0533331555561481,4,1,0.0899997750005625,2,1,0.0199999000005
"Butyrivibrio_hungatei",2,1,0.0199999000005,2,0,0.079999600002,3,2,0.013333288889037,3,2,0.013333288889037,3,0,0.119999600001333,1,2,-0.0199999000005,2,1,0.0199999000005,3,2,0.013333288889037,3,1,0.0533331555561481,4,2,0.03999990000025
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",4,3,0.0099999750000625,1,5,-0.127999744000512,3,5,-0.031999936000128,2,4,-0.03999990000025,1,4,-0.0899997750005625,2,4,-0.03999990000025,0,3,-0.119999600001333,2,5,-0.071999856000288,2,5,-0.071999856000288,3,3,0
"Acinetobacter_johnsonii",1,1,0,1,1,0,0,1,-0.039999600004,1,0,0.039999600004,0,1,-0.039999600004,1,0,0.039999600004,0,1,-0.039999600004,0,0,0,1,0,0.039999600004,1,1,0
"Eubacterium_saphenum",1,4,-0.0899997750005625,1,4,-0.0899997750005625,2,5,-0.071999856000288,0,3,-0.119999600001333,1,4,-0.0899997750005625,0,4,-0.159999600001,0,3,-0.119999600001333,2,2,0,1,3,-0.0533331555561481,1,2,-0.0199999000005
"Leptotrichia_buccalis",4,1,0.0899997750005625,5,2,0.071999856000288,4,2,0.03999990000025,1,2,-0.0199999000005,5,3,0.031999936000128,4,1,0.0899997750005625,3,2,0.013333288889037,6,2,0.106666488889185,5,1,0.127999744000512,3,2,0.013333288889037
"Clostridium_ruminantium",1,3,-0.0533331555561481,2,2,0,1,2,-0.0199999000005,1,2,-0.0199999000005,1,0,0.039999600004,2,3,-0.013333288889037,2,2,0,2,1,0.0199999000005,2,2,0,1,2,-0.0199999000005
"Actinomyces_odontolyticus",2,1,0.0199999000005,2,0,0.079999600002,1,1,0,3,1,0.0533331555561481,2,0,0.079999600002,3,1,0.0533331555561481,1,0,0.039999600004,2,1,0.0199999000005,2,0,0.079999600002,2,1,0.0199999000005
"Bradyrhizobium_elkanii",1,1,0,1,1,0,2,1,0.0199999000005,2,1,0.0199999000005,1,1,0,0,1,-0.039999600004,1,1,0,1,1,0,1,1,0,2,1,0.0199999000005
"Neisseria_cinerea",1,1,0,1,0,0.039999600004,1,1,0,0,0,0,1,0,0.039999600004,0,0,0,1,0,0.039999600004,1,1,0,1,0,0.039999600004,1,0,0.039999600004
"Neisseria_sicca",4,0,0.159999600001,2,0,0.079999600002,4,0,0.159999600001,2,1,0.0199999000005,2,0,0.079999600002,3,1,0.0533331555561481,1,1,0,3,1,0.0533331555561481,3,1,0.0533331555561481,4,1,0.0899997750005625
"Prevotella_baroniae",0,2,-0.079999600002,2,2,0,1,2,-0.0199999000005,1,2,-0.0199999000005,2,2,0,1,3,-0.0533331555561481,1,1,0,2,0,0.079999600002,2,3,-0.013333288889037,1,1,0
"Capnocytophaga_leadbetteri",1,0,0.039999600004,2,0,0.079999600002,1,0,0.039999600004,0,0,0,2,0,0.079999600002,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,0,0,0,1,0,0.039999600004
"Prevotella_pallens",4,3,0.0099999750000625,4,1,0.0899997750005625,6,1,0.166666388889352,5,3,0.031999936000128,6,2,0.106666488889185,5,3,0.031999936000128,4,2,0.03999990000025,5,3,0.031999936000128,6,2,0.106666488889185,6,2,0.106666488889185
"Treponema_denticola",3,5,-0.031999936000128,6,4,0.0266666222222963,5,5,0,5,3,0.031999936000128,6,4,0.0266666222222963,5,3,0.031999936000128,5,3,0.031999936000128,6,2,0.106666488889185,6,3,0.0599999000001667,4,3,0.0099999750000625
"Eubacterium_brachy",4,3,0.0099999750000625,6,3,0.0599999000001667,5,4,0.007999984000032,4,3,0.0099999750000625,5,3,0.031999936000128,5,3,0.031999936000128,5,3,0.031999936000128,4,2,0.03999990000025,6,2,0.106666488889185,4,3,0.0099999750000625
"Porphyromonas_endodontalis",0,2,-0.079999600002,3,2,0.013333288889037,2,2,0,1,3,-0.0533331555561481,3,2,0.013333288889037,2,2,0,2,2,0,3,1,0.0533331555561481,3,2,0.013333288889037,2,2,0
"Eubacterium_yurii",3,0,0.119999600001333,6,0,0.239999600000667,6,0,0.239999600000667,3,0,0.119999600001333,6,0,0.239999600000667,6,0,0.239999600000667,6,0,0.239999600000667,6,0,0.239999600000667,3,0,0.119999600001333,6,0,0.239999600000667
"Prevotella_shahii",5,1,0.127999744000512,6,2,0.106666488889185,5,2,0.071999856000288,4,1,0.0899997750005625,4,2,0.03999990000025,5,1,0.127999744000512,4,0,0.159999600001,5,2,0.071999856000288,3,2,0.013333288889037,4,1,0.0899997750005625
"Actinomyces_howellii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_denticola",3,4,-0.0099999750000625,3,4,-0.0099999750000625,5,3,0.031999936000128,1,3,-0.0533331555561481,4,2,0.03999990000025,2,3,-0.013333288889037,4,3,0.0099999750000625,2,2,0,3,4,-0.0099999750000625,5,2,0.071999856000288
"Actinobacillus_minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_haemoglobinophilus",4,0,0.159999600001,4,0,0.159999600001,4,0,0.159999600001,5,0,0.1999996000008,4,0,0.159999600001,5,0,0.1999996000008,4,0,0.159999600001,5,0,0.1999996000008,3,0,0.119999600001333,6,0,0.239999600000667
"Prevotella_scopos",3,1,0.0533331555561481,4,1,0.0899997750005625,5,1,0.127999744000512,2,0,0.079999600002,2,1,0.0199999000005,2,0,0.079999600002,3,1,0.0533331555561481,5,0,0.1999996000008,2,0,0.079999600002,3,1,0.0533331555561481
"Actinomyces_oris",1,1,0,0,2,-0.079999600002,1,2,-0.0199999000005,0,0,0,0,2,-0.079999600002,0,1,-0.039999600004,0,1,-0.039999600004,1,1,0,0,1,-0.039999600004,0,2,-0.079999600002
