"","HealthAssociationScore"
"Veillonella_rogosae",0.954500312809025
"Rothia_aeria",0.902957861597142
"Aggregatibacter_actinomycetemcomitans",0.823794777098343
"Butyrivibrio_hungatei",0.682146071724082
"Streptococcus_vestibularis",0.432126495933483
"Veillonella_dispar",0.177238804464088
"Acinetobacter_johnsonii",0.441572016710056
"Eubacterium_saphenum",0.0907080583641097
"Leptotrichia_buccalis",0.742367762507316
"Clostridium_ruminantium",0.374133216282214
"Actinomyces_odontolyticus",0.73572864321608
"Bradyrhizobium_elkanii",0.465330366692902
"Neisseria_cinerea",0.589656414603136
"Neisseria_sicca",0.811615103630603
"Prevotella_baroniae",0.347384815644487
"Capnocytophaga_leadbetteri",0.706367580876269
"Prevotella_pallens",0.817064640471433
"Treponema_denticola",0.640433997295715
"Eubacterium_brachy",0.691732053843515
"Porphyromonas_endodontalis",0.444754293556134
"Eubacterium_yurii",0.981215918952191
"Prevotella_shahii",0.861951423785595
"Actinomyces_howellii",0.432126495933483
"Prevotella_denticola",0.456750216948195
"Actinobacillus_minor",0.432126495933483
"Haemophilus_haemoglobinophilus",0.975387176848096
"Prevotella_scopos",0.858949466206535
"Actinomyces_oris",0.225887166757482
"Megasphaera_elsdenii",0.350813000746705
"Dialister_invisus",0.551573328489839
"Granulicatella_adiacens",0.0417757462008839
"Prevotella_enoeca",0.589867005711287
"Streptococcus_cristatus",0.504608181469597
"Veillonella_montpellierensis",0.645824100421788
"Moraxella_lacunata",0.7443349276503
"Lachnoanaerobaculum_orale",0.213770156000888
"Bacillus_pumilus",0.668691247401667
"Orientia_tsutsugamushi",0.956406631551331
"Terrahaemophilus_aromaticivorans",0.271581804605356
"Propionigenium_maris",0.432126495933483
"Mogibacterium_diversum",0.523223446550019
"Actinomyces_meyeri",0.656641541038526
"Bergeyella_zoohelcum",0.606995217049101
"Actinomyces_bowdenii",0.323238279752175
"Prevotella_salivae",0.629500615527436
"Actinobaculum_massiliense",0.351173639280741
"Mannheimia_granulomatis",0.749585578494884
"Eubacterium_nodatum",0.633081370708967
"Planobacterium_taklimakanense",0.552100260337834
"Ornatilinea_apprima",0.563333938770156
"Neisseria_pharyngis",0.717707917095518
"Anaeroglobus_geminatus",0.551405017053137
"Olsenella_uli",0.510680208270267
"Lactobacillus_johnsonii",0.0800320881516014
"Prevotella_veroralis",0.813351799156425
"Dialister_propionicifaciens",0.750691106133075
"Rothia_dentocariosa",0.512043147464229
"Mycoplasma_faucium",0.488877015600089
"Mycoplasma_hyosynoviae",0.432126495933483
"Azospira_oryzae",0.432126495933483
"Alysiella_crassa",0.762018627272911
"Prevotella_dentalis",0.571905208774798
"Acidithiobacillus_thiooxidans",0.69674688704567
"Corynebacterium_jeikeium",0.459335331274848
"Peptococcus_niger",0.658801638715667
"Acinetobacter_baumannii",0.45333938770156
"Treponema_refringens",0.756075053984783
"Treponema_pedis",0.760590906338924
"Campylobacter_curvus",0.760863252002987
"Prevotella_bivia",0.0341570301305725
"Mycoplasma_feliminutum",0.432126495933483
"Streptococcus_pneumoniae",0.104546830538233
"Schwartzia_succinivorans",0.22211156182519
"Actinomyces_hyovaginalis",0.351173639280741
"Prevotella_marshii",0.255919456721358
"Treponema_parvum",0.189473572682691
"Lautropia_mirabilis",0.427791366470909
"Barnesiella_intestinihominis",0.428092268571775
"Actinobacillus_rossii",0.853108918084398
"Actinomyces_gerencseriae",0.524816451736595
"Bacteroides_stercoris",0.535458719299308
"Neisseria_shayeganii",0.751955056406531
"Selenomonas_noxia",0.389660249036346
"Bifidobacterium_dentium",0.0391647999031301
"Gemmatimonas_aurantiaca",0.609427660390305
"Haemophilus_parainfluenzae",0.998191257492281
"Porphyromonas_gingivalis",0.623742003188634
"Streptococcus_sobrinus",0.666076365764566
"Pseudomonas_stutzeri",0.215351254263284
"Acinetobacter_junii",0.680479405057416
"Bacteroides_acidifaciens",0.680479405057416
"Prevotella_amnii",0.845387479566507
"Streptococcus_agalactiae",0.153949466206535
"Treponema_bryantii",0.295103630602813
"Bacteroides_intestinalis",0.640354382353535
"Filifactor_alocis",0.366305422695808
"Prevotella_copri",0.666522875421283
"Odoribacter_denticanis",0.778687715686868
"Bacteroides_heparinolyticus",0.570862949284575
"Rothia_mucilaginosa",0.648956428729995
"Lachnoanaerobaculum_saburreum",0.895327844039475
"Acinetobacter_lwoffii",0.281751528727977
"Brachymonas_denitrificans",0.525975056002906
"Prevotella_paludivivens",0.680596859801013
"Streptococcus_gordonii",0.321693911323687
"Leptotrichia_hofstadii",0.864482956953442
"Bacteroides_zoogleoformans",0.794604851567072
"Natranaerovirga_hydrolytica",0.621082420132792
"Mogibacterium_neglectum",0.432126495933483
"Campylobacter_mucosalis",0.655081330346512
"Peptoniphilus_lacrimalis",0.449066719137858
"Streptococcus_sanguinis",0.903559564892737
"Eubacterium_rectale",0.147711852434865
"Fusobacterium_periodonticum",0.983127787532038
"Eubacterium_minutum",0.277329720893625
"Sporanaerobacter_acetigenes",0.621082420132792
"Desulfomicrobium_orale",0.944049766906823
"Campylobacter_showae",0.879862868559666
"Tannerella_forsythia",0.407582692579363
