"","BelstromD_2017","RiveraV_2025","TongY_2019","WangB_2020","LindheimL_2016","WolfA_2017","KumpitschC_2020","NagataN_2022","RussoE_2018","TakahashiY_2019","JulianM_2017","YuF_2020","LundmarkA_2019","ZhuC_2018","LiuY_2019","TianN_2017","RafiqulI_2022","ZellerG_2014B","JiangQ_2019","ZhengX_2017","ZiganshinaE_2020","WangK_2016","LeeW_2017","MoskovitzM_2021","LeeY_2025","ArmstrongA_2023b","MakinenA_2023","BelstromD_2021","HuangC_2022","WangX_2020","AbdelbaryM_2022","LinM_2020","WangQ_2019","ArmstrongA_2023a","WangT_2018","DebeliusJ_2020","GuptaA_2022","FanX_2018b"
"Veillonella_rogosae",-1,NA,3,NA,-1,1,-1,3,-1,-1,-1,NA,3,-1,1,1,3,-2,2,NA,-1,NA,1,1,2,1,NA,1,-1,-1,3,-1,-1,-1,3,-2,NA,1
"Rothia_aeria",-1,1,2,1,-1,-1,-3,3,3,-2,-1,-1,-1,-1,-1,-1,3,1,1,1,1,1,3,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,3,3,NA,-1
"Aggregatibacter_actinomycetemcomitans",-1,-1,1,1,-1,3,-1,1,1,-1,2,3,-1,1,1,-1,3,-2,1,1,1,1,-1,-1,-1,-1,1,-1,3,1,1,1,-1,-1,1,1,NA,-3
"Butyrivibrio_hungatei",NA,1,-1,-3,NA,1,3,NA,-1,-1,-1,-1,1,-1,1,1,-1,NA,1,NA,-1,1,3,3,-1,NA,1,NA,-1,1,-1,-1,-1,1,-1,3,NA,-3
"Streptococcus_vestibularis",2,NA,NA,NA,-1,NA,2,1,NA,1,NA,NA,1,NA,1,-1,NA,1,NA,-1,NA,NA,NA,NA,1,1,NA,-1,NA,-1,NA,NA,NA,NA,1,-2,NA,-1
"Veillonella_dispar",1,3,-3,3,-1,-3,-1,-1,-2,1,-1,-3,1,1,1,-1,-3,3,-1,NA,-1,1,3,-1,1,-1,1,-1,-1,-1,-1,-1,1,-3,1,-3,NA,-1
"Acinetobacter_johnsonii",NA,NA,-1,1,NA,-1,-1,NA,-1,1,NA,1,-1,-1,-1,NA,1,NA,-1,-1,NA,-1,3,NA,-1,NA,NA,NA,-1,1,1,-1,1,2,-3,-2,NA,-1
"Eubacterium_saphenum",-3,1,-1,-1,-1,-1,1,-1,-1,1,2,2,-3,1,-3,-1,NA,3,-1,1,1,1,-1,NA,-3,1,1,-3,1,-1,1,1,1,1,-1,3,NA,1
"Leptotrichia_buccalis",1,1,-1,-1,-1,1,-3,-1,-1,-1,1,3,1,3,-2,-1,3,3,-3,1,-1,-1,-1,-1,-1,-3,1,1,1,3,3,-1,-1,-1,-1,3,NA,1
"Clostridium_ruminantium",NA,1,-3,-1,NA,NA,-1,NA,-3,2,NA,-1,-1,NA,1,NA,3,NA,NA,NA,NA,-1,-3,NA,NA,NA,NA,NA,3,1,1,-1,NA,-1,1,-1,NA,NA
"Actinomyces_odontolyticus",1,1,-1,-3,1,-1,1,-1,1,-1,3,1,2,-1,-2,-1,-1,3,-1,1,-1,-1,3,-1,1,-1,1,-1,-1,-1,1,-1,-1,3,1,-1,NA,2
"Bradyrhizobium_elkanii",NA,NA,-2,-1,NA,3,3,NA,NA,-1,NA,2,-2,NA,NA,1,-1,NA,NA,NA,NA,1,NA,NA,-1,NA,-3,NA,NA,-1,NA,-1,NA,NA,NA,-1,NA,-1
"Neisseria_cinerea",-1,NA,1,-1,1,-1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,-3,-1,NA,NA,-1,-1,NA,NA,3,NA,-1,1,1,1,NA,1,NA,-1,1,NA,1
"Neisseria_sicca",-1,3,1,3,1,1,-1,2,-1,1,1,-1,-1,-1,1,1,3,3,-1,NA,1,-3,3,NA,-1,-2,-1,1,-1,-1,-1,-1,-1,-1,-1,1,NA,-1
"Prevotella_baroniae",1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,-3,-1,1,-1,-1,2,-1,-1,-3,-1,2,1,-1,-1,1,-1,-1,-1,-1,3,-1,3,NA,1
"Capnocytophaga_leadbetteri",-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-2,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-2,-1,-1,-1,3,1,-1,-1,3,-1,NA,1
"Prevotella_pallens",2,1,-3,1,1,-1,3,-3,1,1,-1,-1,3,-1,-1,1,3,-1,1,-3,1,-1,3,3,1,1,3,3,2,1,-1,-1,-1,-1,-1,-1,NA,2
"Treponema_denticola",-3,-3,-1,1,-1,-1,-1,-1,-1,1,1,3,1,-1,-3,3,3,1,1,1,-1,-1,-2,3,-3,-1,-1,-3,3,-1,-1,1,1,3,2,3,NA,-1
"Eubacterium_brachy",-3,-1,-1,-1,-1,-1,-3,-1,3,1,2,2,-3,1,3,1,3,-2,3,1,1,-1,-3,3,-3,-1,-1,-2,3,-1,-1,1,-1,-1,-1,3,NA,-1
"Porphyromonas_endodontalis",-1,-1,1,1,-2,-1,-3,-1,2,1,1,1,1,1,-3,1,3,-1,1,1,1,-1,-3,1,-1,-1,-1,-1,1,1,-1,1,1,3,-1,3,NA,-1
"Eubacterium_yurii",-1,-1,3,-1,1,-1,3,-1,3,1,1,-1,-1,-1,-1,3,3,NA,1,1,1,1,-1,1,2,-1,-1,-1,-1,-2,3,3,1,1,1,3,NA,-1
"Prevotella_shahii",3,-1,3,-1,-1,1,2,1,1,1,1,-3,1,-1,1,1,3,-1,2,-1,2,-1,3,-1,1,1,1,3,1,2,3,2,1,-1,3,-3,NA,1
"Actinomyces_howellii",NA,1,NA,-1,NA,-1,-1,NA,-1,-1,1,NA,2,1,NA,-1,-1,NA,-1,NA,1,-1,-1,NA,-1,NA,1,NA,-1,1,NA,-1,NA,1,NA,-1,NA,-1
"Prevotella_denticola",-2,3,-3,1,-1,1,3,1,3,1,1,1,-1,-3,-3,-1,3,-1,-1,1,1,-1,-3,-1,-1,-2,-1,-1,1,-1,-1,1,1,-1,3,-3,NA,1
"Actinobacillus_minor",NA,NA,-1,NA,-1,-1,-1,NA,-1,-1,NA,-1,-1,-1,1,NA,1,NA,NA,NA,-1,NA,1,NA,NA,NA,-1,NA,NA,NA,NA,-1,-1,NA,-1,-1,NA,NA
"Haemophilus_haemoglobinophilus",NA,NA,NA,3,NA,3,3,NA,1,-2,3,-1,-1,-1,1,NA,3,NA,1,NA,1,1,1,NA,-1,NA,1,NA,3,1,-1,3,1,2,-1,-1,NA,NA
"Prevotella_scopos",3,NA,-1,NA,3,-1,NA,-2,2,1,NA,NA,1,1,-1,-1,3,3,1,1,1,-1,2,NA,-1,1,1,1,-1,2,-1,-1,1,-1,-3,3,NA,-1
"Actinomyces_oris",-1,-1,1,1,-1,-1,-1,-1,-1,-1,-2,-1,1,-1,-1,1,1,3,-1,1,-1,1,2,NA,-3,-1,2,-2,1,-1,-2,-1,-1,-1,-1,-3,NA,-1
"Megasphaera_elsdenii",NA,1,-1,1,-3,-2,-1,NA,-1,1,-1,-1,1,NA,NA,NA,3,NA,-3,NA,-1,NA,-1,NA,NA,NA,1,NA,-1,NA,-1,-1,1,-1,1,-1,NA,1
"Dialister_invisus",-1,3,-3,1,-1,-1,-2,-3,2,1,3,3,1,1,-3,-1,3,1,-1,1,-1,1,-1,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,-1,3,3,NA,1
"Granulicatella_adiacens",-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-3,2,-3,1,-1,3,-1,-1,-1,1,1,-1,1,-1,-3,1,1,-3,1,1,-1,1,1,-3,NA,-1
"Prevotella_enoeca",NA,1,1,-1,-1,-1,3,-1,1,1,1,-1,-2,1,-1,1,3,-1,-1,1,-1,-3,1,NA,-1,-1,-1,NA,1,-1,-1,2,1,-1,-3,3,NA,1
"Streptococcus_cristatus",1,-1,1,-3,-1,-1,2,1,-1,1,-1,-1,-1,-1,-2,1,-1,2,-1,1,-1,1,-1,1,-3,1,1,3,-1,1,-1,1,1,3,-1,2,NA,-1
"Veillonella_montpellierensis",NA,NA,NA,-1,NA,-1,-1,NA,-1,3,3,-1,-1,-1,1,NA,1,NA,-1,NA,1,NA,1,NA,NA,NA,-1,NA,1,NA,-1,-1,3,-1,1,-3,NA,1
"Moraxella_lacunata",NA,-1,2,NA,NA,1,2,NA,NA,-2,NA,NA,NA,1,-1,NA,1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,1,1,NA,3,1,1,3,1,NA,1
