"","LeeW_2017","YuF_2020","WangT_2018","TongY_2019","ArmstrongA_2023a","LundmarkA_2019","MakinenA_2023","BelstromD_2021","WangX_2020","JulianM_2017","ZhuC_2018","MoskovitzM_2021","GuptaA_2022","BelstromD_2017","ArmstrongA_2023b","ZiganshinaE_2020","FanX_2018b","WangB_2020","HuangC_2022","WangQ_2019","ZhengX_2017","WangK_2016","RussoE_2018","ZellerG_2014B","LindheimL_2016","AbdelbaryM_2022","NagataN_2022","LinM_2020","TianN_2017","JiangQ_2019","LiuY_2019","WolfA_2017","LeeY_2025","RiveraV_2025","TakahashiY_2019","RafiqulI_2022","KumpitschC_2020","DebeliusJ_2020"
"Haemophilus_parainfluenzae",3,-1,3,3,3,-1,3,2,1,-1,-1,-1,0,2,-1,1,1,3,3,3,1,1,1,3,1,3,1,1,3,3,1,3,1,2,-3,3,-2,-1
"Actinomyces_massiliensis",3,3,3,1,2,1,3,1,1,3,1,-1,0,-1,2,3,1,1,2,-1,1,1,2,3,-1,-1,3,-1,1,1,-1,1,-1,1,-3,3,3,3
"Fusobacterium_periodonticum",3,-1,-3,2,3,-1,1,3,1,-1,-1,3,0,-1,1,1,1,1,-1,3,-1,-1,1,3,-1,3,1,1,-1,1,-1,1,1,-2,-1,3,3,3
"Cardiobacterium_hominis",3,3,3,1,3,1,-1,-1,1,1,1,-1,0,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,3,3,3
"Eubacterium_yurii",-1,-1,1,3,1,-1,-1,-1,-2,1,-1,1,0,-1,-1,1,-1,-1,-1,1,1,1,3,0,1,3,-1,3,3,1,-1,-1,2,-1,1,3,3,3
"Haemophilus_sputorum",0,0,3,3,1,1,0,1,1,0,-3,0,0,1,1,-1,1,0,1,1,3,-1,3,-1,-1,3,1,3,3,1,1,1,1,0,1,3,2,3
"Haemophilus_haemoglobinophilus",1,-1,-1,0,2,-1,1,0,1,3,-1,0,0,0,0,1,0,3,3,1,0,1,1,0,0,-1,0,3,0,1,1,3,-1,0,-2,3,3,-1
"Capnocytophaga_haemolytica",3,-1,-2,-2,-1,1,1,0,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1,1,3,3,-1,-1,-1,1,-1,-1,1,1,-1,-1,3,3,3,3
"Streptococcus_lactarius",-1,0,-1,3,1,-1,0,0,-1,3,1,0,0,0,0,-1,1,0,-1,1,1,1,-1,0,-1,1,0,1,1,1,3,3,-1,3,-1,3,3,-1
"Corynebacterium_durum",3,1,-1,-1,3,1,3,2,-1,3,-1,-1,0,-1,2,1,2,1,1,-1,1,1,1,2,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,3,3,-1
"Orientia_tsutsugamushi",3,-1,-1,0,-1,2,-1,0,-1,3,-1,0,0,0,0,-1,0,-1,-1,-1,0,-2,1,0,0,1,0,3,0,1,-1,-1,-1,1,-2,3,3,3
"Veillonella_rogosae",1,0,3,3,-1,3,0,1,-1,-1,-1,1,0,-1,1,-1,1,0,-1,-1,0,0,-1,-2,-1,3,3,-1,1,2,1,1,2,0,-1,3,-1,-2
"Neisseria_subflava",3,0,-1,3,-1,1,0,3,1,0,-1,0,0,-1,1,-1,1,1,3,-1,-1,-1,1,3,-1,3,-1,-1,-1,1,1,-1,-1,1,-3,3,1,3
"Aggregatibacter_segnis",-3,3,2,-1,2,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-2,3,3,3,3,1,-1,-3,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,3,-1,3
"Lachnoanaerobaculum_umeaense",2,1,-2,-1,1,-1,1,3,1,1,3,-1,0,1,1,1,3,-3,-2,1,1,-1,3,1,1,1,-1,1,-1,1,2,1,1,-1,1,3,3,3
