"","HealthAssociationScore"
"Haemophilus_parainfluenzae",0.998191257492281
"Actinomyces_massiliensis",0.994674375895542
"Fusobacterium_periodonticum",0.983127787532038
"Cardiobacterium_hominis",0.981718835139553
"Eubacterium_yurii",0.981215918952191
"Haemophilus_sputorum",0.979807269278117
"Haemophilus_haemoglobinophilus",0.975387176848096
"Capnocytophaga_haemolytica",0.974584468527376
"Streptococcus_lactarius",0.97207069483966
"Corynebacterium_durum",0.96565145002119
"Orientia_tsutsugamushi",0.956406631551331
"Veillonella_rogosae",0.954500312809025
"Neisseria_subflava",0.953080260741458
"Aggregatibacter_segnis",0.950189299913221
"Lachnoanaerobaculum_umeaense",0.947371193315977
"Campylobacter_concisus",0.946760206655769
"Neisseria_flavescens",0.945751448003068
"Desulfomicrobium_orale",0.944049766906823
"Prevotella_aurantiaca",0.942235777279974
"Prevotella_fusca",0.922543742810438
"Neisseria_meningitidis",0.917543238279752
"Neisseria_elongata",0.915321486952836
"Actinomyces_graevenitzii",0.913006296542956
"Clostridium_aminobutyricum",0.909718270065185
"Veillonella_caviae",0.908580351556982
"Streptococcus_australis",0.903754212831224
"Streptococcus_sanguinis",0.903559564892737
"Rothia_aeria",0.902957861597142
"Treponema_lecithinolyticum",0.901161530544288
"Lachnospiraceae_bacterium_oral_taxon_096",0.899729773364816
"Lachnoanaerobaculum_saburreum",0.895327844039475
"Neisseria_mucosa",0.888998809307582
"Haemophilus_pittmaniae",0.887581178987306
"Campylobacter_showae",0.879862868559666
"Porphyromonas_catoniae",0.878976004520595
"Kingella_denitrificans",0.87504924219491
"Alloprevotella_rava",0.872211055276382
"Cardiobacterium_valvarum",0.871311678876309
"Simonsiella_muelleri",0.869310508365119
"Leptotrichia_hofstadii",0.864482956953442
"Streptobacillus_moniliformis",0.862795705434805
"Prevotella_shahii",0.861951423785595
"Prevotella_scopos",0.858949466206535
"Butyrivibrio_fibrisolvens",0.858649875885451
"Moryella_indoligenes",0.855840043591451
"Actinobacillus_rossii",0.853108918084398
"Olsenella_profusa",0.852407014994652
"Prevotella_amnii",0.845387479566507
"Prevotella_pleuritidis",0.838305281427216
"Kingella_potus",0.835152166454764
"Selenomonas_artemidis",0.170283949869831
"Bacteroides_caccae",0.165991907327804
"Corynebacterium_kroppenstedtii",0.164343807390365
"Lactobacillus_casei",0.164343807390365
"Actinomyces_radicidentis",0.164343807390365
"Bacteroides_plebeius",0.164268935036629
"Parasutterella_excrementihominis",0.159150572137797
"Lactobacillus_gasseri",0.157788238380658
"Clostridium_bartlettii",0.15400587273718
"Streptococcus_agalactiae",0.153949466206535
"Lactobacillus_oris",0.149270448628686
"Eubacterium_rectale",0.147711852434865
"Anaerostipes_hadrus",0.147711852434865
"Bacteroides_fragilis",0.146405521583823
"Fusobacterium_necrophorum",0.143520413311538
"Actinomyces_timonensis",0.143042017315493
"Prevotella_intermedia",0.140135113317592
"Alistipes_finegoldii",0.138526770398176
"Prevotella_multisaccharivorax",0.137223365825109
"Prevotella_oris",0.135013824140784
"Akkermansia_muciniphila",0.133710217755444
"Lactobacillus_reuteri",0.133704466105629
"Eubacterium_hallii",0.129115456802083
"Clostridium_lactatifermentans",0.127991160622389
"Parabacteroides_goldsteinii",0.127991160622389
"Actinomyces_viscosus",0.116718027890456
"Lactobacillus_animata",0.113942200964663
"Finegoldia_magna",0.112701963633428
"Lactobacillus_crispatus",0.112695102016105
"Streptococcus_pneumoniae",0.104546830538233
"Bacteroides_coprocola",0.104193860870618
"Bacteroides_thetaiotaomicron",0.0995707452927287
"Veillonella_atypica",0.0915222699844604
"Eubacterium_saphenum",0.0907080583641097
"Selenomonas_sputigena",0.0893065730257714
"Lactobacillus_johnsonii",0.0800320881516014
"Actinomyces_israelii",0.0717164133922625
"Alloscardovia_omnicolens",0.0702288551189683
"Selenomonas_flueggei",0.0638824645314928
"Ruminococcus_bromii",0.0595791205021089
"Howardella_ureilytica",0.05607202680067
"Lactobacillus_salivarius",0.0502365239853888
"Phocaeicola_abscessus",0.044688906379286
"Granulicatella_adiacens",0.0417757462008839
"Bifidobacterium_dentium",0.0391647999031301
"Prevotella_bivia",0.0341570301305725
"Scardovia_wiggsiae",0.0330469617162116
"Streptococcus_constellatus",0.0279227462614276
"Streptococcus_anginosus",0.0236135496760913
"Lactobacillus_fermentum",0.00612449799196787
