"","HealthAssociationScore","species","CoreAssociationScore","quadrant"
"Rothia_aeria",0.981407015668314,"Rothia_aeria",0.842443729903537,"Q1"
"Aggregatibacter_actinomycetemcomitans",0.199827954671379,"Aggregatibacter_actinomycetemcomitans",0,"Q3"
"Streptococcus_vestibularis",0.311226551984862,"Streptococcus_vestibularis",0,"Q3"
"Veillonella_dispar",0.872246478473774,"Veillonella_dispar",0.591639871382637,"Q4"
"Eubacterium_saphenum",0.0366151825560846,"Eubacterium_saphenum",0,"Q3"
"Leptotrichia_buccalis",0.939056609752132,"Leptotrichia_buccalis",0.382636655948553,"Q4"
"Actinomyces_odontolyticus",0.591442782854185,"Actinomyces_odontolyticus",0.736334405144695,"Q2"
"Neisseria_sicca",0.78956497134206,"Neisseria_sicca",0,"Q4"
"Prevotella_baroniae",0.199827954671379,"Prevotella_baroniae",0,"Q3"
"Capnocytophaga_leadbetteri",0.979473307637857,"Capnocytophaga_leadbetteri",0.922829581993569,"Q1"
"Prevotella_pallens",0.311226551984862,"Prevotella_pallens",0,"Q3"
"Treponema_denticola",0.0266114778656467,"Treponema_denticola",0.591639871382637,"Q3"
"Eubacterium_brachy",0.0807664983044597,"Eubacterium_brachy",0.922829581993569,"Q2"
"Porphyromonas_endodontalis",0.0807664983044597,"Porphyromonas_endodontalis",0.842443729903537,"Q2"
"Eubacterium_yurii",0.497122692774849,"Eubacterium_yurii",0.591639871382637,"Q3"
"Prevotella_shahii",0.483145216685931,"Prevotella_shahii",0.382636655948553,"Q3"
"Prevotella_denticola",0.164891677909256,"Prevotella_denticola",0.591639871382637,"Q3"
"Prevotella_scopos",0.648811388372762,"Prevotella_scopos",0,"Q3"
"Actinomyces_oris",0.593573357402768,"Actinomyces_oris",0.980707395498392,"Q2"
"Dialister_invisus",0.0994146560427113,"Dialister_invisus",0.591639871382637,"Q3"
"Granulicatella_adiacens",0.872246478473774,"Granulicatella_adiacens",0.591639871382637,"Q4"
"Prevotella_enoeca",0.0994146560427113,"Prevotella_enoeca",0,"Q3"
"Streptococcus_cristatus",0.664878580761438,"Streptococcus_cristatus",0.591639871382637,"Q3"
"Mogibacterium_diversum",0.177927472836462,"Mogibacterium_diversum",0,"Q3"
"Actinomyces_meyeri",0.334672126423359,"Actinomyces_meyeri",0,"Q3"
"Prevotella_salivae",0.476296425672049,"Prevotella_salivae",0.382636655948553,"Q3"
"Eubacterium_nodatum",0.0266114778656467,"Eubacterium_nodatum",0,"Q3"
"Anaeroglobus_geminatus",0.199827954671379,"Anaeroglobus_geminatus",0.382636655948553,"Q3"
"Olsenella_uli",0.164891677909256,"Olsenella_uli",0,"Q3"
"Prevotella_veroralis",0.311226551984862,"Prevotella_veroralis",0.382636655948553,"Q3"
"Rothia_dentocariosa",0.701920471861013,"Rothia_dentocariosa",1,"Q1"
"Prevotella_dentalis",0.0807664983044597,"Prevotella_dentalis",0,"Q3"
"Campylobacter_curvus",0.476296425672049,"Campylobacter_curvus",0,"Q3"
"Prevotella_marshii",0.199827954671379,"Prevotella_marshii",0,"Q3"
"Lautropia_mirabilis",0.946910581707563,"Lautropia_mirabilis",0.922829581993569,"Q1"
"Actinomyces_gerencseriae",0.476296425672049,"Actinomyces_gerencseriae",0,"Q3"
"Selenomonas_noxia",0.782363567259548,"Selenomonas_noxia",0.382636655948553,"Q4"
"Bifidobacterium_dentium",0.311226551984862,"Bifidobacterium_dentium",0,"Q3"
"Haemophilus_parainfluenzae",0.872246478473774,"Haemophilus_parainfluenzae",0.591639871382637,"Q4"
"Porphyromonas_gingivalis",0.0366151825560846,"Porphyromonas_gingivalis",0.382636655948553,"Q3"
"Streptococcus_sobrinus",0.334672126423359,"Streptococcus_sobrinus",0,"Q3"
