"","GalimanasV_2014","GhensiP_2019","BelstromD_2021","MonteiroM_2021","LenartovaM_2021","MarotzC_2022Su","AndersonA_2013"
"Rothia_aeria",2,3,3,3,3,3,-1
"Aggregatibacter_actinomycetemcomitans",-1,-1,-2,-1,-3,-3,1
"Streptococcus_vestibularis",NA,1,1,-1,NA,-3,-1
"Veillonella_dispar",-1,3,1,-1,3,3,NA
"Eubacterium_saphenum",-3,-1,-3,-2,-3,-3,1
"Leptotrichia_buccalis",3,3,3,-1,-1,3,-1
"Actinomyces_odontolyticus",-1,-3,-1,-1,3,3,-1
"Neisseria_sicca",1,3,3,-1,1,2,NA
"Prevotella_baroniae",-1,-1,-1,-1,-3,-3,-1
"Capnocytophaga_leadbetteri",3,3,3,1,3,3,-1
"Prevotella_pallens",-1,-1,1,-1,1,-3,-1
"Treponema_denticola",-1,-3,-3,1,-3,-3,-1
"Eubacterium_brachy",1,-1,-3,-1,-3,-3,-2
"Porphyromonas_endodontalis",-1,-1,-3,1,-3,-3,-1
"Eubacterium_yurii",-1,-1,-1,-1,-3,3,1
"Prevotella_shahii",1,1,NA,-3,1,3,NA
"Prevotella_denticola",1,1,-3,-1,-2,-3,1
"Prevotella_scopos",-1,1,NA,-1,NA,3,NA
"Actinomyces_oris",1,3,-2,3,2,-3,-1
"Dialister_invisus",-1,2,-1,-1,-3,-3,-3
"Granulicatella_adiacens",-1,3,1,-2,3,3,2
"Prevotella_enoeca",1,NA,-1,-1,-3,-3,-3
"Streptococcus_cristatus",-1,-1,3,-2,1,1,2
"Mogibacterium_diversum",NA,-3,-1,-1,NA,-3,NA
"Actinomyces_meyeri",1,-1,-1,-1,-3,-1,NA
"Prevotella_salivae",1,-1,1,-1,1,-1,-1
"Eubacterium_nodatum",-1,-3,-3,-1,-3,-3,-1
"Anaeroglobus_geminatus",-1,-1,-1,-1,-3,-3,-1
"Olsenella_uli",-2,1,-3,-1,-2,-3,-1
"Prevotella_veroralis",-1,1,1,-1,1,-3,1
"Rothia_dentocariosa",1,-3,-1,3,3,3,1
"Prevotella_dentalis",-1,-1,-3,1,-3,-3,1
"Campylobacter_curvus",-1,1,-1,1,-1,1,NA
"Prevotella_marshii",1,-1,1,-1,-3,-3,1
"Lautropia_mirabilis",-1,3,3,1,3,3,-1
"Actinomyces_gerencseriae",-1,NA,NA,-2,1,-1,1
"Selenomonas_noxia",1,3,-1,-1,1,3,-1
"Bifidobacterium_dentium",1,1,-1,-1,NA,-3,-1
"Haemophilus_parainfluenzae",-1,3,-1,1,3,3,1
"Porphyromonas_gingivalis",-3,-1,-3,2,-3,-3,-1
"Streptococcus_sobrinus",1,1,1,-1,-3,1,1
"Filifactor_alocis",-3,-2,-3,-1,-3,-3,-3
"Rothia_mucilaginosa",-1,1,1,1,3,-3,1
"Lachnoanaerobaculum_saburreum",-1,1,-1,-1,1,1,-3
"Streptococcus_gordonii",-1,3,-1,1,1,-1,-1
"Leptotrichia_hofstadii",1,-3,3,-1,-1,3,1
"Streptococcus_sanguinis",-1,3,1,1,3,3,1
"Fusobacterium_periodonticum",-1,1,3,1,3,3,1
"Campylobacter_showae",1,-1,3,1,1,3,-1
"Tannerella_forsythia",-3,-1,-3,1,-3,-3,-1
"Capnocytophaga_granulosa",1,3,3,3,1,3,NA
"Neisseria_oralis",1,NA,NA,-1,3,-2,1
"Gemella_haemolysans",-1,1,-1,1,3,-1,1
"Slackia_exigua",1,-1,-1,-1,-3,-3,1
"Actinomyces_viscosus",-1,1,-1,3,3,3,-1
"Streptococcus_oralis",-1,3,-1,2,3,3,1
"Cardiobacterium_valvarum",-1,3,3,1,-1,3,-1
"Prevotella_pleuritidis",1,-1,-2,3,-3,-3,NA
"Propionibacterium_acidifaciens",-1,-2,1,-3,1,-1,1
"Streptococcus_parasanguinis",-1,3,1,1,-1,-1,-1
"Prevotella_oralis",-1,1,-1,-1,-3,-3,1
"Actinomyces_graevenitzii",-1,3,-1,-1,2,-3,1
"Alloprevotella_rava",-1,1,-2,1,-3,1,1
"Atopobium_parvulum",1,-1,1,-1,1,-3,-1
"Shuttleworthia_satelles",-1,-1,-1,-1,1,-3,-1
"Treponema_lecithinolyticum",1,-1,-2,-1,-3,-3,NA
"Neisseria_macacae",NA,-3,NA,1,NA,-3,NA
"Streptococcus_intermedius",-1,NA,NA,-1,1,3,1
"Treponema_socranskii",-1,-1,-1,-1,-3,-3,-1
"Dialister_pneumosintes",-1,1,-2,2,-3,-3,-1
"Selenomonas_flueggei",1,3,1,-1,-1,-3,NA
"Peptostreptococcus_stomatis",-1,-1,-1,-1,-3,-3,1
"Leptotrichia_shahii",1,NA,NA,-1,3,3,-1
"Capnocytophaga_ochracea",2,1,1,3,3,3,1
"Gemella_sanguinis",1,1,-1,1,NA,-3,NA
"Prevotella_intermedia",-1,-1,-3,-1,-3,-1,-1
"Prevotella_fusca",NA,-1,-1,1,-3,-3,NA
"Selenomonas_sputigena",-1,1,1,-1,-3,-3,1
"Veillonella_rodentium",-1,1,1,1,3,1,NA
"Bulleidia_extructa",-1,NA,-3,1,NA,-3,1
"Haemophilus_parahaemolyticus",NA,NA,NA,-1,3,-3,NA
"Alloprevotella_tannerae",-1,1,1,1,-3,-3,-1
"Actinomyces_georgiae",1,-3,1,-1,-1,3,NA
"Prevotella_maculosa",1,-1,1,-1,1,-3,1
"Capnocytophaga_haemolytica",1,-1,1,1,3,3,1
"Veillonella_parvula",-1,3,-1,-1,3,3,-1
"Capnocytophaga_sputigena",3,3,3,3,3,3,1
"Propionibacterium_acnes",2,1,NA,3,3,3,-1
"Treponema_medium",-1,-1,-1,-1,-3,-3,-1
"Selenomonas_infelix",1,1,-1,-1,-2,2,1
"Leptotrichia_goodfellowii",1,-1,-1,-1,1,3,-1
"Neisseria_elongata",1,3,3,3,3,3,1
"Oribacterium_sinus",1,-1,-1,-1,1,-3,-3
"Solobacterium_moorei",-1,1,1,-1,1,-3,-1
"Eggerthia_catenaformis",-1,-3,-1,-1,-2,-3,-1
"Granulicatella_elegans",-1,NA,1,1,3,-2,-1
