"","HealthAssociationScore","species","CoreAssociationScore","quadrant"
"Veillonella_rogosae",0.639805270063874,"Veillonella_rogosae",0.592841163310962,"Q3"
"Rothia_aeria",0.733178421033334,"Rothia_aeria",0.979865771812081,"Q1"
"Aggregatibacter_actinomycetemcomitans",0.46414753091919,"Aggregatibacter_actinomycetemcomitans",0.592841163310962,"Q3"
"Streptococcus_vestibularis",0.594781775124078,"Streptococcus_vestibularis",0,"Q3"
"Veillonella_dispar",0.389664974054212,"Veillonella_dispar",0.785234899328859,"Q2"
"Acinetobacter_johnsonii",0.785729231136841,"Acinetobacter_johnsonii",0,"Q4"
"Eubacterium_saphenum",0.418283492651145,"Eubacterium_saphenum",0.438478747203579,"Q3"
"Leptotrichia_buccalis",0.675383000300487,"Leptotrichia_buccalis",0.876957494407159,"Q2"
"Actinomyces_odontolyticus",0.748158041006249,"Actinomyces_odontolyticus",0.914988814317673,"Q1"
"Neisseria_sicca",0.782945741125186,"Neisseria_sicca",0,"Q4"
"Prevotella_baroniae",0.0326374631124118,"Prevotella_baroniae",0,"Q3"
"Capnocytophaga_leadbetteri",0.782945741125186,"Capnocytophaga_leadbetteri",0.825503355704698,"Q1"
"Prevotella_pallens",0.448945343997986,"Prevotella_pallens",0.438478747203579,"Q3"
"Cloacibacterium_normanense",0.639805270063874,"Cloacibacterium_normanense",0,"Q3"
"Treponema_denticola",0.169650970670166,"Treponema_denticola",0.592841163310962,"Q3"
"Eubacterium_brachy",0.168192670316586,"Eubacterium_brachy",0.592841163310962,"Q3"
"Porphyromonas_endodontalis",0.288412855551129,"Porphyromonas_endodontalis",0.749440715883669,"Q2"
"Eubacterium_yurii",0.539577804629189,"Eubacterium_yurii",0.592841163310962,"Q3"
"Prevotella_shahii",0.594781775124078,"Prevotella_shahii",0.438478747203579,"Q3"
"Actinomyces_howellii",0.355380417918596,"Actinomyces_howellii",0,"Q3"
"Prevotella_denticola",0.0260793293088788,"Prevotella_denticola",0.438478747203579,"Q3"
"Haemophilus_haemoglobinophilus",0.672274368392739,"Haemophilus_haemoglobinophilus",0,"Q3"
"Prevotella_scopos",0.594781775124078,"Prevotella_scopos",0,"Q3"
"Actinomyces_oris",0.448945343997986,"Actinomyces_oris",0.68903803131991,"Q3"
"Megasphaera_elsdenii",0.448945343997986,"Megasphaera_elsdenii",0,"Q3"
"Dialister_invisus",0.218613378229896,"Dialister_invisus",0.876957494407159,"Q2"
"Granulicatella_adiacens",0.767751321392141,"Granulicatella_adiacens",0.68903803131991,"Q4"
"Prevotella_enoeca",0.539577804629189,"Prevotella_enoeca",0,"Q3"
"Streptococcus_cristatus",0.594781775124078,"Streptococcus_cristatus",0.592841163310962,"Q3"
"Veillonella_montpellierensis",0.325080257656976,"Veillonella_montpellierensis",0,"Q3"
"Lachnoanaerobaculum_orale",0.448945343997986,"Lachnoanaerobaculum_orale",0,"Q3"
"Bacillus_pumilus",0.672274368392739,"Bacillus_pumilus",0,"Q3"
"Terrahaemophilus_aromaticivorans",0.448945343997986,"Terrahaemophilus_aromaticivorans",0,"Q3"
"Actinomyces_meyeri",0.75490418220942,"Actinomyces_meyeri",0,"Q4"
"Bergeyella_zoohelcum",0.325080257656976,"Bergeyella_zoohelcum",0,"Q3"
"Actinomyces_bowdenii",0.782572349693948,"Actinomyces_bowdenii",0,"Q4"
"Prevotella_salivae",0.0602695795808466,"Prevotella_salivae",0.68903803131991,"Q3"
"Actinobaculum_massiliense",0.594781775124078,"Actinobaculum_massiliense",0,"Q3"
"Mannheimia_granulomatis",0.409677905907998,"Mannheimia_granulomatis",0,"Q3"
"Eubacterium_nodatum",0.14981715575958,"Eubacterium_nodatum",0.438478747203579,"Q3"
"Planobacterium_taklimakanense",0.904319825191693,"Planobacterium_taklimakanense",0.592841163310962,"Q4"
"Neisseria_pharyngis",0.448945343997986,"Neisseria_pharyngis",0,"Q3"
"Anaeroglobus_geminatus",0.22045707125021,"Anaeroglobus_geminatus",0.438478747203579,"Q3"
"Olsenella_uli",0.389325939825246,"Olsenella_uli",0.438478747203579,"Q3"
"Lactobacillus_johnsonii",0.325080257656976,"Lactobacillus_johnsonii",0,"Q3"
"Prevotella_veroralis",0.409677905907998,"Prevotella_veroralis",0,"Q3"
"Dialister_propionicifaciens",0.639805270063874,"Dialister_propionicifaciens",0,"Q3"
"Rothia_dentocariosa",0.460647100137199,"Rothia_dentocariosa",0.991051454138702,"Q2"
"Mycoplasma_faucium",0.108853675048559,"Mycoplasma_faucium",0,"Q3"
"Azospira_oryzae",0.594781775124078,"Azospira_oryzae",0,"Q3"
"Prevotella_dentalis",0.594781775124078,"Prevotella_dentalis",0,"Q3"
"Corynebacterium_jeikeium",0.782572349693948,"Corynebacterium_jeikeium",0,"Q4"
"Peptococcus_niger",0.35106850299391,"Peptococcus_niger",0.68903803131991,"Q3"
"Treponema_pedis",0.345291331307672,"Treponema_pedis",0,"Q3"
"Campylobacter_curvus",0.594781775124078,"Campylobacter_curvus",0,"Q3"
"Streptococcus_pneumoniae",0.592941624828623,"Streptococcus_pneumoniae",0.785234899328859,"Q2"
"Schwartzia_succinivorans",0.255385038536896,"Schwartzia_succinivorans",0.438478747203579,"Q3"
"Actinomyces_hyovaginalis",0.594781775124078,"Actinomyces_hyovaginalis",0,"Q3"
"Prevotella_marshii",0.488556949875977,"Prevotella_marshii",0.438478747203579,"Q3"
"Treponema_parvum",0.112510212410342,"Treponema_parvum",0,"Q3"
"Lautropia_mirabilis",0.970551718567605,"Lautropia_mirabilis",0.876957494407159,"Q1"
"Actinobacillus_rossii",0.594781775124078,"Actinobacillus_rossii",0,"Q3"
"Actinomyces_gerencseriae",0.782572349693948,"Actinomyces_gerencseriae",0.592841163310962,"Q4"
"Neisseria_shayeganii",0.75490418220942,"Neisseria_shayeganii",0,"Q4"
"Selenomonas_noxia",0.602740288775176,"Selenomonas_noxia",0.914988814317673,"Q2"
"Bifidobacterium_dentium",0.063107083274458,"Bifidobacterium_dentium",0,"Q3"
"Haemophilus_parainfluenzae",0.715300733597193,"Haemophilus_parainfluenzae",0.876957494407159,"Q1"
"Porphyromonas_gingivalis",0.388573480666818,"Porphyromonas_gingivalis",0.438478747203579,"Q3"
"Streptococcus_sobrinus",0.325080257656976,"Streptococcus_sobrinus",0,"Q3"
"Pseudomonas_stutzeri",0.638949096106179,"Pseudomonas_stutzeri",0,"Q3"
"Bacteroides_acidifaciens",0.594781775124078,"Bacteroides_acidifaciens",0,"Q3"
"Bacteroides_intestinalis",0.389325939825246,"Bacteroides_intestinalis",0,"Q3"
"Filifactor_alocis",0.185877258906943,"Filifactor_alocis",0.592841163310962,"Q3"
"Prevotella_copri",0.594781775124078,"Prevotella_copri",0,"Q3"
"Odoribacter_denticanis",0.2272034166529,"Odoribacter_denticanis",0,"Q3"
"Bacteroides_heparinolyticus",0.672274368392739,"Bacteroides_heparinolyticus",0,"Q3"
"Rothia_mucilaginosa",0.387745866762972,"Rothia_mucilaginosa",0.825503355704698,"Q2"
"Lachnoanaerobaculum_saburreum",0.75490418220942,"Lachnoanaerobaculum_saburreum",0.68903803131991,"Q4"
"Brachymonas_denitrificans",0.782572349693948,"Brachymonas_denitrificans",0,"Q4"
"Prevotella_paludivivens",0.255385038536896,"Prevotella_paludivivens",0,"Q3"
"Streptococcus_gordonii",0.536513752213988,"Streptococcus_gordonii",0.68903803131991,"Q3"
"Leptotrichia_hofstadii",0.682861502244514,"Leptotrichia_hofstadii",0.592841163310962,"Q3"
"Campylobacter_mucosalis",0.594781775124078,"Campylobacter_mucosalis",0,"Q3"
"Streptococcus_sanguinis",0.970551718567605,"Streptococcus_sanguinis",1,"Q1"
"Fusobacterium_periodonticum",0.750856691557456,"Fusobacterium_periodonticum",0.68903803131991,"Q4"
"Eubacterium_minutum",0.522201392461026,"Eubacterium_minutum",0,"Q3"
"Campylobacter_showae",0.782945741125186,"Campylobacter_showae",0.749440715883669,"Q1"
"Tannerella_forsythia",0.204310749442794,"Tannerella_forsythia",0.914988814317673,"Q2"
"Kingella_potus",0.75490418220942,"Kingella_potus",0,"Q4"
"Capnocytophaga_granulosa",0.782945741125186,"Capnocytophaga_granulosa",0.935123042505593,"Q1"
"Neisseria_oralis",0.913063231179201,"Neisseria_oralis",0.438478747203579,"Q4"
"Helicobacter_pylori",0.594781775124078,"Helicobacter_pylori",0,"Q3"
"Leptotrichia_hongkongensis",0.536513752213988,"Leptotrichia_hongkongensis",0.749440715883669,"Q2"
"Gemella_haemolysans",0.594781775124078,"Gemella_haemolysans",0.749440715883669,"Q2"
"Slackia_exigua",0.174566726471303,"Slackia_exigua",0.438478747203579,"Q3"
"Actinomyces_viscosus",0.782572349693948,"Actinomyces_viscosus",0.592841163310962,"Q4"
"Streptococcus_oralis",0.528130314511881,"Streptococcus_oralis",0.914988814317673,"Q2"
"Desulfovibrio_fairfieldensis",0.325080257656976,"Desulfovibrio_fairfieldensis",0,"Q3"
"Streptococcus_sinensis",0.594781775124078,"Streptococcus_sinensis",0,"Q3"
"Desulfobulbus_propionicus",0.1897368447696,"Desulfobulbus_propionicus",0,"Q3"
"Cardiobacterium_valvarum",0.782945741125186,"Cardiobacterium_valvarum",0.785234899328859,"Q1"
"Prevotella_pleuritidis",0.0442268017411568,"Prevotella_pleuritidis",0,"Q3"
"Howardella_ureilytica",0.174020783420183,"Howardella_ureilytica",0,"Q3"
"Propionibacterium_acidifaciens",0.218901420621354,"Propionibacterium_acidifaciens",0.438478747203579,"Q3"
"Gardnerella_vaginalis",0.639805270063874,"Gardnerella_vaginalis",0,"Q3"
"Parascardovia_denticolens",0.063107083274458,"Parascardovia_denticolens",0,"Q3"
"Streptobacillus_moniliformis",0.35106850299391,"Streptobacillus_moniliformis",0,"Q3"
"Selenomonas_ruminantium",0.448945343997986,"Selenomonas_ruminantium",0,"Q3"
