"","ChenC_2018","JesusV_2021","ZhengH_2015","ZhangX_2015","XiaoC_2016","HavsedK_2021","PangL_2021","GalimanasV_2014","JulianM_2017","NajmanovaL_2021","ProctorD_2018","SantosA_2021"
"Veillonella_rogosae",NA,NA,NA,-1,NA,1,1,-1,3,NA,1,-1
"Rothia_aeria",-3,NA,1,1,-1,1,3,1,1,3,3,-1
"Aggregatibacter_actinomycetemcomitans",3,NA,1,3,-1,-1,-1,1,-3,-3,1,-1
"Streptococcus_vestibularis",NA,NA,1,-1,1,NA,-1,NA,NA,NA,3,NA
"Veillonella_dispar",3,NA,1,-3,1,-3,-1,-1,-1,3,-3,1
"Acinetobacter_johnsonii",3,NA,1,NA,-1,NA,NA,NA,3,1,1,NA
"Eubacterium_saphenum",-3,NA,-1,3,1,-1,NA,-2,3,-3,1,1
"Leptotrichia_buccalis",-1,NA,1,3,1,-3,3,1,1,-1,2,-1
"Actinomyces_odontolyticus",3,NA,-1,-1,3,-1,-1,1,-3,1,3,-1
"Neisseria_sicca",1,NA,NA,3,NA,-1,1,NA,-1,1,3,-1
"Prevotella_baroniae",-3,NA,1,-1,-1,-3,-1,-1,-1,-3,-3,1
"Capnocytophaga_leadbetteri",1,NA,-1,3,-1,1,1,1,1,1,3,1
"Prevotella_pallens",2,NA,-1,-1,2,-1,-1,1,1,1,1,-1
"Cloacibacterium_normanense",NA,NA,1,NA,NA,NA,NA,1,3,1,1,1
"Treponema_denticola",-3,NA,-1,3,1,-3,-3,1,1,-3,3,-1
"Eubacterium_brachy",-1,NA,-1,1,1,-1,-1,-1,-1,-3,-3,-1
"Porphyromonas_endodontalis",-3,NA,-1,3,-1,-3,1,-2,-1,-3,3,-1
"Eubacterium_yurii",1,NA,-2,3,1,1,1,-1,-1,-3,3,-1
"Prevotella_shahii",2,NA,-1,-1,1,-1,1,1,1,1,3,-1
"Actinomyces_howellii",3,NA,NA,NA,NA,2,NA,NA,-1,NA,-3,-3
"Prevotella_denticola",-1,NA,-1,-1,-1,-3,-3,1,-1,-3,-3,-1
"Haemophilus_haemoglobinophilus",3,NA,NA,NA,NA,-1,NA,NA,-1,1,1,1
"Prevotella_scopos",NA,NA,-1,-1,-1,-1,-1,-1,NA,NA,3,1
"Actinomyces_oris",1,NA,1,-1,1,-1,-1,-1,-1,1,2,1
"Megasphaera_elsdenii",-1,NA,NA,1,NA,-2,NA,NA,1,NA,-1,-1
"Dialister_invisus",1,NA,-1,2,2,-2,-1,-3,-1,-3,3,-1
"Granulicatella_adiacens",1,NA,1,-1,-1,1,-1,3,-1,1,3,1
"Prevotella_enoeca",-1,NA,-1,3,-1,-2,NA,NA,-1,-3,3,-1
"Streptococcus_cristatus",1,NA,-1,-1,-1,-1,1,-1,-1,NA,3,1
"Veillonella_montpellierensis",NA,NA,NA,NA,NA,-1,NA,NA,-1,1,-3,-1
"Lachnoanaerobaculum_orale",NA,NA,-1,NA,-1,1,NA,NA,-1,1,1,-1
"Bacillus_pumilus",3,NA,NA,NA,NA,1,NA,NA,NA,NA,-1,-1
"Terrahaemophilus_aromaticivorans",NA,NA,1,NA,-1,1,NA,NA,NA,2,1,1
"Actinomyces_meyeri",1,NA,1,-1,-1,-1,NA,-1,3,-1,3,-1
"Bergeyella_zoohelcum",NA,NA,-1,NA,1,-1,NA,NA,-1,NA,-3,1
"Actinomyces_bowdenii",3,NA,1,NA,-1,-1,NA,1,1,1,3,-1
"Prevotella_salivae",-1,NA,1,-3,-1,1,-3,1,1,1,-3,1
"Actinobaculum_massiliense",-1,NA,NA,NA,NA,-1,NA,NA,-1,NA,3,1
"Mannheimia_granulomatis",1,NA,NA,NA,NA,-3,NA,NA,1,2,3,2
"Eubacterium_nodatum",-3,NA,-1,3,-1,-2,NA,-3,-1,-3,-3,-1
"Planobacterium_taklimakanense",3,NA,NA,NA,NA,1,NA,NA,-1,3,3,-1
"Neisseria_pharyngis",NA,NA,NA,NA,NA,-1,NA,1,NA,NA,1,-1
"Anaeroglobus_geminatus",-3,NA,1,-1,2,1,-1,1,1,-3,3,-1
"Olsenella_uli",-3,NA,-1,1,1,-2,1,-1,-1,-1,3,-1
"Lactobacillus_johnsonii",-1,NA,NA,NA,-1,-2,NA,NA,-1,NA,-3,-1
"Prevotella_veroralis",1,NA,1,1,1,-3,-1,1,1,1,3,-1
"Dialister_propionicifaciens",-1,NA,NA,NA,NA,-1,NA,-1,3,-1,1,1
"Rothia_dentocariosa",3,NA,1,-1,-1,3,-3,1,-1,1,-3,1
"Mycoplasma_faucium",NA,NA,1,NA,-1,-1,NA,-3,NA,-3,NA,2
"Azospira_oryzae",NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,3,-1
"Prevotella_dentalis",-1,NA,1,-1,1,-1,NA,-1,-1,-1,3,1
"Corynebacterium_jeikeium",3,NA,-1,NA,NA,1,NA,NA,2,1,3,1
"Peptococcus_niger",1,NA,-1,NA,1,1,NA,1,-1,-3,3,-1
"Treponema_pedis",-3,NA,NA,NA,NA,-1,NA,NA,3,-3,3,-1
"Campylobacter_curvus",-2,NA,-1,1,-1,-1,-1,1,1,-1,3,-1
"Streptococcus_pneumoniae",1,NA,1,-1,2,1,NA,-1,-3,3,3,1
"Schwartzia_succinivorans",-3,NA,-1,NA,1,-1,NA,-1,-1,-1,1,-1
"Actinomyces_hyovaginalis",NA,NA,-1,NA,NA,-1,NA,1,-1,-1,3,1
"Prevotella_marshii",-1,NA,2,-2,1,-2,-3,1,3,-1,3,-1
"Treponema_parvum",-3,NA,-1,NA,-1,-2,NA,-1,-1,-3,1,1
"Lautropia_mirabilis",3,NA,-1,3,-1,1,1,-1,-1,3,3,-1
"Actinobacillus_rossii",NA,NA,NA,NA,NA,1,NA,NA,-1,1,3,2
"Actinomyces_gerencseriae",3,NA,-1,NA,1,-2,NA,1,1,1,3,-2
"Neisseria_shayeganii",-1,NA,-1,NA,-1,1,NA,NA,3,-1,3,1
"Selenomonas_noxia",3,NA,-3,-1,1,1,1,3,3,-1,-3,-1
"Bifidobacterium_dentium",-1,NA,1,-1,-1,-3,-3,1,-1,NA,-3,1
"Haemophilus_parainfluenzae",1,NA,-1,3,1,1,1,1,-3,3,3,1
"Porphyromonas_gingivalis",-1,NA,1,3,3,-3,1,-3,3,-3,-3,1
"Streptococcus_sobrinus",1,NA,1,-1,-1,-1,-1,NA,-1,NA,-3,-1
"Pseudomonas_stutzeri",3,NA,1,NA,-2,NA,NA,NA,3,1,-3,NA
"Bacteroides_acidifaciens",-1,NA,NA,NA,NA,-2,NA,NA,1,2,3,-1
"Bacteroides_intestinalis",-3,NA,NA,NA,-1,-1,NA,NA,-1,1,3,1
"Filifactor_alocis",-3,NA,-1,3,2,-3,NA,-3,-1,-3,3,1
"Prevotella_copri",1,NA,-1,-1,NA,1,1,NA,-1,NA,3,1
"Odoribacter_denticanis",-1,NA,NA,NA,1,NA,NA,NA,-1,-3,NA,-1
"Bacteroides_heparinolyticus",3,NA,-1,1,-1,NA,NA,NA,-1,-1,NA,-1
"Rothia_mucilaginosa",3,NA,-1,-1,-1,1,1,1,-3,1,-3,1
"Lachnoanaerobaculum_saburreum",2,NA,-1,1,1,1,1,-1,3,1,3,-1
"Brachymonas_denitrificans",3,NA,1,NA,1,-1,NA,1,1,-1,3,-1
"Prevotella_paludivivens",-3,NA,-1,NA,-1,1,NA,NA,1,NA,1,1
"Streptococcus_gordonii",3,NA,-1,-1,2,-1,-1,-1,-1,1,-3,-1
"Leptotrichia_hofstadii",3,NA,1,3,-1,-1,1,-1,1,1,-3,1
"Campylobacter_mucosalis",1,NA,NA,NA,NA,-1,NA,NA,-1,1,3,-1
"Streptococcus_sanguinis",3,NA,-1,3,1,1,1,-1,-1,3,3,-1
"Fusobacterium_periodonticum",3,NA,-3,3,1,-1,1,1,-3,3,3,-1
