"","TangB_2023","SarkarP_2021","BelstromD_2021","GalimanasV_2014"
"Veillonella_rogosae",3,1,-1,1
"Rothia_aeria",3,-1,1,2
"Aggregatibacter_actinomycetemcomitans",1,-1,-1,1
"Butyrivibrio_hungatei",1,-1,NA,-1
"Streptococcus_vestibularis",NA,NA,-1,NA
"Veillonella_dispar",1,-3,-3,-1
"Acinetobacter_johnsonii",3,1,NA,1
"Eubacterium_saphenum",1,-1,-2,-1
"Leptotrichia_buccalis",2,1,-1,1
"Actinomyces_odontolyticus",1,-3,-1,-1
"Neisseria_cinerea",1,-1,NA,NA
"Neisseria_sicca",-1,1,-1,NA
"Prevotella_baroniae",1,1,-1,-2
"Capnocytophaga_leadbetteri",-1,1,-1,1
"Prevotella_pallens",-2,1,2,1
"Treponema_denticola",2,1,-2,-2
"Eubacterium_brachy",1,-1,-3,1
"Porphyromonas_endodontalis",1,-1,-3,3
"Eubacterium_yurii",-1,1,NA,-1
"Prevotella_shahii",-1,1,2,2
"Prevotella_denticola",1,-1,-1,-1
"Prevotella_scopos",2,-1,1,-1
"Actinomyces_oris",3,-3,-1,NA
"Dialister_invisus",2,-1,-1,-1
"Granulicatella_adiacens",-3,1,1,-1
"Prevotella_enoeca",3,1,NA,NA
"Streptococcus_cristatus",-1,-2,1,-3
"Lachnoanaerobaculum_orale",1,1,NA,NA
"Terrahaemophilus_aromaticivorans",-1,1,NA,NA
"Propionigenium_maris",NA,-1,NA,1
"Mogibacterium_diversum",3,-1,3,NA
"Actinomyces_meyeri",-3,-3,-2,-1
"Bergeyella_zoohelcum",2,3,NA,NA
"Prevotella_salivae",1,-1,-1,1
"Eubacterium_nodatum",1,-1,-2,-2
"Planobacterium_taklimakanense",3,1,NA,NA
"Neisseria_pharyngis",NA,-1,NA,1
"Anaeroglobus_geminatus",1,-1,NA,1
"Olsenella_uli",1,1,-1,-1
"Prevotella_veroralis",2,-1,1,-1
"Rothia_dentocariosa",3,-1,-1,1
"Mycoplasma_faucium",3,1,NA,-3
"Peptococcus_niger",1,-1,NA,1
"Treponema_refringens",-1,1,NA,NA
"Treponema_pedis",1,-1,NA,NA
"Campylobacter_curvus",1,3,NA,NA
"Prevotella_bivia",-1,1,NA,1
"Streptococcus_pneumoniae",-3,-3,NA,-1
"Schwartzia_succinivorans",2,1,NA,NA
"Actinomyces_hyovaginalis",NA,-1,NA,-1
"Prevotella_marshii",3,-1,NA,1
"Lautropia_mirabilis",3,-1,-1,-1
"Actinobacillus_rossii",2,-1,NA,NA
"Actinomyces_gerencseriae",3,-3,NA,-1
"Bacteroides_stercoris",3,-3,NA,NA
"Selenomonas_noxia",2,-1,-1,1
"Bifidobacterium_dentium",-1,-1,1,1
"Haemophilus_parainfluenzae",1,1,1,1
"Porphyromonas_gingivalis",1,-1,-3,-3
"Streptococcus_sobrinus",NA,1,-1,NA
"Streptococcus_agalactiae",2,-2,NA,NA
"Bacteroides_intestinalis",-1,1,NA,NA
"Filifactor_alocis",1,1,-3,-3
"Rothia_mucilaginosa",3,-1,1,-1
"Lachnoanaerobaculum_saburreum",3,-1,1,NA
"Streptococcus_gordonii",-3,-3,-1,1
"Leptotrichia_hofstadii",1,-1,1,1
"Mogibacterium_neglectum",1,1,NA,NA
"Campylobacter_mucosalis",3,1,NA,NA
"Streptococcus_sanguinis",3,-3,-1,-1
"Fusobacterium_periodonticum",-3,1,-1,1
"Campylobacter_showae",-1,-1,-1,1
"Tannerella_forsythia",-1,-1,-3,-3
"Capnocytophaga_granulosa",1,1,1,-1
"Neisseria_oralis",3,-1,NA,1
"Helicobacter_pylori",3,-3,NA,1
"Soonwooa_buanensis",NA,-1,NA,-1
"Leptotrichia_hongkongensis",1,1,NA,NA
"Gemella_haemolysans",-1,-1,-1,-3
"Gemella_palaticanis",-3,-1,NA,-3
"Bacillus_cereus",NA,-3,NA,NA
"Slackia_exigua",-1,1,1,1
"Actinomyces_viscosus",NA,-3,1,1
"Streptococcus_oralis",1,-3,-1,-1
"Streptococcus_sinensis",2,-3,NA,NA
"Cardiobacterium_valvarum",1,-1,NA,-1
"Prevotella_pleuritidis",1,-2,-2,1
"Corynebacterium_argentoratense",-1,-1,NA,-1
"Howardella_ureilytica",1,1,NA,-1
"Parascardovia_denticolens",NA,-1,-1,1
"Streptobacillus_moniliformis",1,1,NA,1
"Selenomonas_ruminantium",3,-1,NA,-1
"Eubacterium_sulci",-3,2,3,1
"Streptococcus_parasanguinis",1,-1,-3,-1
"Prevotella_oralis",1,1,NA,1
"Actinomyces_graevenitzii",1,-1,1,-1
"Alloprevotella_rava",-1,-2,3,-1
"Pseudomonas_aeruginosa",NA,2,NA,1
"Atopobium_parvulum",1,1,-1,-1
"Stenotrophomonas_maltophilia",2,-1,NA,-1
"Treponema_amylovorum",1,1,NA,-3
"Prevotella_nanceiensis",-1,1,NA,1
"Shuttleworthia_satelles",1,-1,NA,1
"Treponema_lecithinolyticum",1,1,-1,-1
"Neisseria_macacae",NA,1,-1,NA
"Streptococcus_intermedius",3,1,NA,-1
"Treponema_socranskii",2,1,NA,1
"Dialister_pneumosintes",1,-1,NA,1
"Selenomonas_flueggei",1,-3,1,1
"Peptostreptococcus_stomatis",-3,1,-2,-1
"Lactobacillus_reuteri",2,2,NA,1
"Butyrivibrio_fibrisolvens",1,-3,NA,-1
"Mycoplasma_salivarium",2,1,NA,-1
"Mobiluncus_curtisii",2,-1,NA,NA
"Simonsiella_muelleri",1,1,1,-1
"Prevotella_aurantiaca",-1,1,NA,-1
"Leptotrichia_shahii",-1,1,NA,NA
"Capnocytophaga_ochracea",-1,1,-1,-1
"Gemella_sanguinis",NA,-1,1,-1
"Prevotella_intermedia",1,1,-3,-1
"Prevotella_fusca",1,2,-1,NA
"Selenomonas_sputigena",1,1,1,1
"Veillonella_rodentium",3,-1,NA,-1
"Bulleidia_extructa",NA,1,-1,-1
"Haemophilus_parahaemolyticus",1,-1,NA,NA
"Alloprevotella_tannerae",-1,1,-1,1
"Actinomyces_georgiae",3,1,-1,-1
"Streptococcus_oligofermentans",-1,-3,NA,-2
"Actinomyces_lingnae",-1,-1,NA,-1
"Streptococcus_equinus",3,-1,NA,-1
"Lactobacillus_salivarius",1,1,-1,1
"Prevotella_maculosa",3,-1,NA,-1
"Haemophilus_influenzae",3,-1,NA,-1
