"","HealthAssociationScore","species","CoreAssociationScore","quadrant"
"Veillonella_rogosae",0.690993093420574,"Veillonella_rogosae",0.737623762376238,"Q2"
"Rothia_aeria",0.690993093420574,"Rothia_aeria",0.628712871287129,"Q3"
"Aggregatibacter_actinomycetemcomitans",0.515125408942203,"Aggregatibacter_actinomycetemcomitans",0.433168316831683,"Q3"
"Butyrivibrio_hungatei",0.515125408942203,"Butyrivibrio_hungatei",0,"Q3"
"Streptococcus_vestibularis",0.515125408942203,"Streptococcus_vestibularis",0,"Q3"
"Veillonella_dispar",0.00514285714285714,"Veillonella_dispar",1,"Q2"
"Acinetobacter_johnsonii",0.690993093420574,"Acinetobacter_johnsonii",0,"Q3"
"Eubacterium_saphenum",0.515125408942203,"Eubacterium_saphenum",0,"Q3"
"Leptotrichia_buccalis",0.515125408942203,"Leptotrichia_buccalis",0,"Q3"
"Actinomyces_odontolyticus",0.118897491821156,"Actinomyces_odontolyticus",0.98019801980198,"Q2"
"Neisseria_cinerea",0.515125408942203,"Neisseria_cinerea",0,"Q3"
"Neisseria_sicca",0.515125408942203,"Neisseria_sicca",0,"Q3"
"Prevotella_baroniae",0.515125408942203,"Prevotella_baroniae",0,"Q3"
"Capnocytophaga_leadbetteri",0.515125408942203,"Capnocytophaga_leadbetteri",0.834158415841584,"Q2"
"Prevotella_pallens",0.515125408942203,"Prevotella_pallens",0.873762376237624,"Q2"
"Treponema_denticola",0.515125408942203,"Treponema_denticola",0,"Q3"
"Eubacterium_brachy",0.0788974918211559,"Eubacterium_brachy",0,"Q3"
"Porphyromonas_endodontalis",0.395468920392585,"Porphyromonas_endodontalis",0.834158415841584,"Q2"
"Eubacterium_yurii",0.515125408942203,"Eubacterium_yurii",0.628712871287129,"Q3"
"Prevotella_shahii",0.515125408942203,"Prevotella_shahii",0.433168316831683,"Q3"
"Prevotella_denticola",0.515125408942203,"Prevotella_denticola",0,"Q3"
"Prevotella_scopos",0.515125408942203,"Prevotella_scopos",0,"Q3"
"Actinomyces_oris",0.283887313704108,"Actinomyces_oris",0,"Q3"
"Dialister_invisus",0.515125408942203,"Dialister_invisus",0.628712871287129,"Q3"
"Granulicatella_adiacens",0.355468920392585,"Granulicatella_adiacens",0.628712871287129,"Q3"
"Prevotella_enoeca",0.690993093420574,"Prevotella_enoeca",0,"Q3"
"Streptococcus_cristatus",0.198553980370774,"Streptococcus_cristatus",0,"Q3"
"Lachnoanaerobaculum_orale",0.515125408942203,"Lachnoanaerobaculum_orale",0.873762376237624,"Q2"
"Terrahaemophilus_aromaticivorans",0.515125408942203,"Terrahaemophilus_aromaticivorans",0,"Q3"
"Propionigenium_maris",0.515125408942203,"Propionigenium_maris",0,"Q3"
"Mogibacterium_diversum",0.979428571428571,"Mogibacterium_diversum",0.834158415841584,"Q1"
"Actinomyces_meyeri",0.0577142857142857,"Actinomyces_meyeri",0,"Q3"
"Bergeyella_zoohelcum",0.895945474372955,"Bergeyella_zoohelcum",0,"Q4"
"Prevotella_salivae",0.515125408942203,"Prevotella_salivae",0.992574257425743,"Q2"
"Eubacterium_nodatum",0.515125408942203,"Eubacterium_nodatum",0,"Q3"
"Planobacterium_taklimakanense",0.690993093420574,"Planobacterium_taklimakanense",0.628712871287129,"Q3"
"Neisseria_pharyngis",0.515125408942203,"Neisseria_pharyngis",0,"Q3"
"Anaeroglobus_geminatus",0.515125408942203,"Anaeroglobus_geminatus",0,"Q3"
"Olsenella_uli",0.515125408942203,"Olsenella_uli",0,"Q3"
"Prevotella_veroralis",0.515125408942203,"Prevotella_veroralis",0.628712871287129,"Q3"
"Rothia_dentocariosa",0.690993093420574,"Rothia_dentocariosa",0.794554455445545,"Q2"
"Mycoplasma_faucium",0.369088331515812,"Mycoplasma_faucium",0,"Q3"
"Peptococcus_niger",0.515125408942203,"Peptococcus_niger",0.433168316831683,"Q3"
"Treponema_refringens",0.515125408942203,"Treponema_refringens",0,"Q3"
"Treponema_pedis",0.515125408942203,"Treponema_pedis",0,"Q3"
"Campylobacter_curvus",0.895945474372955,"Campylobacter_curvus",0,"Q4"
"Prevotella_bivia",0.515125408942203,"Prevotella_bivia",0,"Q3"
"Streptococcus_pneumoniae",0.0577142857142857,"Streptococcus_pneumoniae",0.905940594059406,"Q2"
"Schwartzia_succinivorans",0.515125408942203,"Schwartzia_succinivorans",0,"Q3"
"Actinomyces_hyovaginalis",0.515125408942203,"Actinomyces_hyovaginalis",0,"Q3"
"Prevotella_marshii",0.690993093420574,"Prevotella_marshii",0,"Q3"
"Lautropia_mirabilis",0.690993093420574,"Lautropia_mirabilis",0.628712871287129,"Q3"
"Actinobacillus_rossii",0.515125408942203,"Actinobacillus_rossii",0.433168316831683,"Q3"
