,HealthAssociationScore,HealthAssociationScore_16s_exposure,HealthAssociationScore_16s,HealthAssociationScore_WGS
Abiotrophia_defectiva,0.293883069968315,0.217712898103995,0.48418284283278,0.662428244658055
Achromobacter_xylosoxidans,0.266910254081653,0.468601182130335,0.21391557692482,NA
Acidaminococcus_intestini,0.610480817743335,0.468601182130335,0.623223957981368,NA
Acidithiobacillus_thiooxidans,0.69674688704567,0.468601182130335,0.82196161650632,NA
Acinetobacter_baumannii,0.45333938770156,0.468601182130335,0.47882937021069,NA
Acinetobacter_calcoaceticus,0.432126495933483,0.468601182130335,0.445553280523528,NA
Acinetobacter_johnsonii,0.441572016710056,0.468601182130335,0.455153659385962,NA
Acinetobacter_junii,0.680479405057416,0.468601182130335,0.638794703438264,NA
Acinetobacter_lwoffii,0.281751528727977,0.468601182130335,0.281704034278284,NA
Actinobacillus_minor,0.432126495933483,0.468601182130335,0.445553280523528,NA
Actinobacillus_porcinus,0.294943391657081,0.738249257305579,0.30811761312775,NA
Actinobacillus_rossii,0.853108918084398,0.899650864015983,0.708808933579487,NA
Actinobacillus_succinogenes,0.64339771144881,0.468601182130335,0.766169736301792,NA
Actinobaculum_massiliense,0.351173639280741,0.69977303180252,0.295725898133151,NA
Actinobaculum_schaalii,0.432126495933483,0.468601182130335,0.445553280523528,NA
Actinomyces_bowdenii,0.323238279752175,0.69977303180252,0.445553280523528,NA
Actinomyces_cardiffensis,0.218332828802648,0.468601182130335,0.33738031610069,0.349831112328979
Actinomyces_funkei,0.432126495933483,0.468601182130335,0.445553280523528,NA
Actinomyces_georgiae,0.771372827995399,0.69977303180252,0.605357285422947,0.501262811266263
Actinomyces_gerencseriae,0.524816451736595,0.468601182130335,0.49459766855221,NA
Actinomyces_graevenitzii,0.913006296542956,0.954686518237713,0.799662817912294,0.501262811266263
Actinomyces_howellii,0.432126495933483,0.468601182130335,0.445553280523528,NA
Actinomyces_hyovaginalis,0.351173639280741,0.69977303180252,0.295725898133151,NA
Actinomyces_israelii,0.0717164133922625,0.468601182130335,0.091067701984408,NA
Actinomyces_johnsonii,0.671310468002664,NA,0.445553280523528,0.744442034371742
Actinomyces_lingnae,0.581682206211782,0.468601182130335,0.552997933312683,NA
Actinomyces_massiliensis,0.994674375895542,0.989606864494924,0.955209891579723,0.877666291292946
Actinomyces_meyeri,0.656641541038526,0.69977303180252,0.543348711566116,0.709581188059845
