"","CameronS_2015","ColladoM_2018","MenonR_2019","ArmstrongA_2023a","LaiolaM_2020","MakinenA_2023","MedeirosM_2023","ArmstrongA_2023b","BostanciN_2021","DanckertN_2024","RaychaudhuriS_2025","TakayasuL_2017","study_count"
"Eubacterium_sulci",1,1,1,1,0,1,1,0,1,1,0,1,9
"Fusobacterium_periodonticum",1,1,1,1,0,0,1,0,1,0,1,1,8
"Solobacterium_moorei",1,1,0,1,0,0,1,0,1,1,1,1,8
"Megasphaera_micronuciformis",1,1,0,1,0,0,1,0,1,1,1,1,8
"Selenomonas_sputigena",1,0,1,1,0,0,1,0,1,1,1,0,7
"Oribacterium_sinus",1,1,0,1,0,1,1,0,1,0,0,1,7
"Stomatobaculum_longum",1,1,0,1,0,1,0,1,1,0,0,1,7
"Prevotella_pallens",1,0,0,1,0,0,1,0,1,1,0,1,6
"Prevotella_shahii",1,1,1,1,0,0,1,0,1,0,0,0,6
"Prevotella_veroralis",1,0,1,1,0,0,1,0,1,1,0,0,6
"Campylobacter_showae",1,1,1,1,0,0,1,0,1,0,0,0,6
"Alloprevotella_rava",1,0,1,1,0,0,1,0,1,1,0,0,6
"Atopobium_parvulum",1,1,0,0,0,0,0,0,1,1,1,1,6
"Campylobacter_concisus",1,0,0,1,0,1,0,0,1,1,0,1,6
"Prevotella_melaninogenica",1,0,1,1,1,1,0,0,1,0,0,0,6
"Veillonella_dispar",0,1,0,0,0,0,0,0,1,1,1,1,5
"Leptotrichia_buccalis",1,0,1,1,1,0,1,0,0,0,0,0,5
"Capnocytophaga_leadbetteri",0,0,1,1,0,0,1,0,1,0,1,0,5
"Prevotella_salivae",1,0,0,1,0,0,0,0,1,0,1,1,5
"Actinomyces_graevenitzii",1,1,0,0,0,0,1,0,1,0,0,1,5
"Leptotrichia_wadei",1,1,0,1,0,0,1,0,1,0,0,0,5
"Lachnoanaerobaculum_umeaense",1,1,1,1,0,1,0,0,0,0,0,0,5
"Veillonella_tobetsuensis",1,1,0,0,0,0,0,0,1,1,0,1,5
"Prevotella_oulorum",1,0,0,1,0,0,1,0,1,1,0,0,5
"Actinomyces_odontolyticus",0,1,0,0,0,0,0,0,1,0,1,1,4
"Eubacterium_yurii",0,0,1,1,0,0,1,1,0,0,0,0,4
"Prevotella_scopos",0,1,0,0,0,0,0,0,1,1,0,1,4
"Lachnoanaerobaculum_orale",1,1,1,0,0,0,1,0,0,0,0,0,4
"Orientia_tsutsugamushi",1,1,0,1,0,0,1,0,0,0,0,0,4
"Peptostreptococcus_stomatis",0,0,1,1,0,0,1,0,0,1,0,0,4
"Alloprevotella_tannerae",1,0,1,1,0,0,1,0,0,0,0,0,4
"Leptotrichia_goodfellowii",1,0,1,1,0,0,1,0,0,0,0,0,4
"Veillonella_atypica",0,1,0,0,0,0,0,0,1,1,0,1,4
"Porphyromonas_catoniae",0,0,1,1,0,1,0,1,0,0,0,0,4
"Prevotella_sp_oral_taxon_306",0,0,0,0,0,0,0,1,1,1,0,1,4
"Veillonella_rogosae",0,1,1,0,0,0,0,0,1,0,0,0,3
"Butyrivibrio_hungatei",1,0,0,1,0,0,1,0,0,0,0,0,3
"Mogibacterium_diversum",0,0,0,0,0,0,0,0,1,1,0,1,3
"Brachymonas_denitrificans",0,1,0,1,0,0,1,0,0,0,0,0,3
"Leptotrichia_hofstadii",1,0,0,1,0,0,1,0,0,0,0,0,3
"Streptococcus_sanguinis",0,1,0,0,1,0,1,0,0,0,0,0,3
"Tannerella_forsythia",1,0,0,1,0,0,1,0,0,0,0,0,3
"Capnocytophaga_granulosa",1,0,1,1,0,0,0,0,0,0,0,0,3
"Neisseria_oralis",0,1,0,1,0,0,1,0,0,0,0,0,3
"Slackia_exigua",0,0,0,0,0,0,1,1,0,1,0,0,3
"Streptococcus_parasanguinis",0,1,0,0,0,0,0,0,1,0,0,1,3
"Treponema_lecithinolyticum",0,0,0,1,0,0,0,0,1,1,0,0,3
"Selenomonas_flueggei",0,0,0,1,0,0,1,0,1,0,0,0,3
"Prevotella_aurantiaca",1,0,0,1,0,0,1,0,0,0,0,0,3
"Leptotrichia_shahii",1,1,1,0,0,0,0,0,0,0,0,0,3
"Capnocytophaga_ochracea",0,0,1,1,0,0,1,0,0,0,0,0,3
"Prevotella_intermedia",0,0,1,0,0,0,0,1,1,0,0,0,3
"Haemophilus_parahaemolyticus",0,1,0,1,0,0,0,0,1,0,0,0,3
"Veillonella_parvula",0,1,0,1,0,0,1,0,0,0,0,0,3
"Capnocytophaga_sputigena",1,0,0,1,0,0,1,0,0,0,0,0,3
"Neisseria_elongata",0,1,1,0,1,0,0,0,0,0,0,0,3
"Prevotella_nigrescens",0,0,1,0,0,0,0,0,1,1,0,0,3
"Catonella_morbi",1,0,1,1,0,0,0,0,0,0,0,0,3
"Streptococcus_mutans",0,1,0,0,0,0,1,0,0,0,1,0,3
"Leptotrichia_trevisanii",1,0,0,1,0,0,1,0,0,0,0,0,3
"Prevotella_oris",0,1,0,0,0,0,1,0,0,1,0,0,3
"Eubacterium_infirmum",0,0,0,0,0,0,0,1,1,1,0,0,3
"Prevotella_micans",0,0,0,1,1,0,0,1,0,0,0,0,3
"Corynebacterium_durum",0,1,0,0,1,0,1,0,0,0,0,0,3
"Cardiobacterium_hominis",0,1,0,0,0,1,1,0,0,0,0,0,3
"Prevotella_histicola",1,0,0,0,0,0,0,0,1,0,0,1,3
"Centipeda_periodontii",1,0,1,1,0,0,0,0,0,0,0,0,3
"Treponema_vincentii",1,0,1,1,0,0,0,0,0,0,0,0,3
"Johnsonella_ignava",0,0,0,1,0,1,0,0,0,1,0,0,3
"Moryella_indoligenes",1,0,0,1,0,0,1,0,0,0,0,0,3
"Prevotella_jejuni",0,0,0,0,0,0,0,0,1,1,0,1,3
"Lachnospiraceae_bacterium_oral_taxon_096",0,0,0,0,0,0,0,0,1,1,0,1,3
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,0,0,0,1,1,0,1,3
"Oribacterium_parvum",0,0,0,0,0,0,0,0,1,1,0,1,3
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0,1,1,0,1,3
"Aggregatibacter_actinomycetemcomitans",0,1,0,0,0,0,0,0,0,1,0,0,2
"Porphyromonas_endodontalis",0,0,1,0,0,0,0,0,1,0,0,0,2
"Dialister_invisus",0,0,1,0,0,0,1,0,0,0,0,0,2
"Planobacterium_taklimakanense",0,1,0,0,0,0,1,0,0,0,0,0,2
"Rothia_dentocariosa",0,1,0,0,0,0,1,0,0,0,0,0,2
"Peptococcus_niger",0,1,1,0,0,0,0,0,0,0,0,0,2
"Streptococcus_pneumoniae",1,0,1,0,0,0,0,0,0,0,0,0,2
"Haemophilus_parainfluenzae",0,1,0,0,0,1,0,0,0,0,0,0,2
"Porphyromonas_gingivalis",0,0,0,1,0,0,0,0,0,0,0,1,2
"Bacteroides_intestinalis",1,0,0,1,0,0,0,0,0,0,0,0,2
"Rothia_mucilaginosa",0,1,0,0,0,0,0,0,0,0,0,1,2
"Lachnoanaerobaculum_saburreum",1,0,1,0,0,0,0,0,0,0,0,0,2
"Leptotrichia_hongkongensis",0,1,0,0,0,0,1,0,0,0,0,0,2
"Cardiobacterium_valvarum",0,0,0,0,0,0,1,1,0,0,0,0,2
"Prevotella_pleuritidis",0,0,0,0,0,0,0,0,1,1,0,0,2
"Propionibacterium_acidifaciens",1,0,0,0,1,0,0,0,0,0,0,0,2
"Streptobacillus_moniliformis",0,0,0,1,0,0,1,0,0,0,0,0,2
"Butyrivibrio_fibrisolvens",1,0,0,0,0,0,1,0,0,0,0,0,2
"Simonsiella_muelleri",0,0,0,1,0,0,0,1,0,0,0,0,2
"Gemella_sanguinis",0,1,0,0,0,0,0,0,1,0,0,0,2
"Veillonella_rodentium",0,0,1,0,0,0,0,1,0,0,0,0,2
"Alkaliphilus_crotonatoxidans",1,0,1,0,0,0,0,0,0,0,0,0,2
"Prevotella_maculosa",0,0,0,1,0,0,1,0,0,0,0,0,2
"Mobiluncus_mulieris",1,0,0,1,0,0,0,0,0,0,0,0,2
"Selenomonas_infelix",0,0,0,1,0,0,0,0,0,1,0,0,2
"Neisseria_subflava",1,0,0,0,0,0,1,0,0,0,0,0,2
"Cryptobacterium_curtum",0,1,0,0,0,0,1,0,0,0,0,0,2
"Abiotrophia_defectiva",0,0,0,1,0,0,0,0,1,0,0,0,2
"Gemella_morbillorum",0,0,1,0,1,0,0,0,0,0,0,0,2
"Campylobacter_rectus",0,0,1,1,0,0,0,0,0,0,0,0,2
"Corynebacterium_matruchotii",0,0,0,0,0,0,1,0,1,0,0,0,2
"Fusobacterium_nucleatum",0,0,0,0,0,0,1,0,0,1,0,0,2
"Prevotella_saccharolytica",0,0,0,1,0,0,0,1,0,0,0,0,2
"Moraxella_boevrei",1,0,1,0,0,0,0,0,0,0,0,0,2
"Streptococcus_salivarius",0,0,0,0,0,0,0,0,1,0,0,1,2
"Elizabethkingia_meningoseptica",0,0,0,0,1,0,1,0,0,0,0,0,2
"Neisseria_meningitidis",1,0,0,1,0,0,0,0,0,0,0,0,2
"Alloscardovia_omnicolens",1,0,1,0,0,0,0,0,0,0,0,0,2
"Streptococcus_thermophilus",0,0,0,0,0,0,1,0,1,0,0,0,2
"Propionibacterium_propionicum",0,1,0,0,0,1,0,0,0,0,0,0,2
"Fretibacterium_fastidiosum",0,0,0,1,0,0,0,0,0,1,0,0,2
"Streptococcus_infantis",0,0,0,0,0,1,0,0,0,0,0,1,2
"Aggregatibacter_segnis",0,0,0,1,0,0,1,0,0,0,0,0,2
"Neisseria_canis",1,0,0,1,0,0,0,0,0,0,0,0,2
"Streptococcus_lactarius",0,1,0,0,1,0,0,0,0,0,0,0,2
"Capnocytophaga_gingivalis",0,1,0,0,0,0,1,0,0,0,0,0,2
"Prevotella_loescheii",0,0,1,0,0,0,1,0,0,0,0,0,2
"Selenomonas_dianae",0,0,0,1,0,0,1,0,0,0,0,0,2
"Bacteroides_pyogenes",0,0,1,0,1,0,0,0,0,0,0,0,2
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,1,0,0,1,2
