"","mean_Aitchison","IQR_Aitchison","mean_BrayCurtis","IQR_BrayCurtis","MeanStabilityScore"
"Fusobacterium_periodonticum",0.9989919256098,0.00151209677419362,0.999798387096774,0,0.999395156353287
"Eubacterium_sulci",0.996767795403533,0.00200019118625916,0.994131833097168,0.00201614125092586,0.995449814250351
"Prevotella_veroralis",0.995753745018076,0.003593790595671,0.982430633384812,0.00697113789540538,0.989092189201444
"Lachnospiraceae_bacterium_oral_taxon_096",0.979395780561883,0.0104571746513633,0.99374358862282,0.00548944225482462,0.986569684592352
"Solobacterium_moorei",0.97410807346142,0.0279161873567949,0.982210728109102,0.00655140520542619,0.978159400785261
"Prevotella_shahii",0.969409597395358,0.0139934330303593,0.984417197030098,0.0104857519336344,0.976913397212728
"Oribacterium_parvum",0.966649767799889,0.0179342351857128,0.983442947442064,0.0181330159347064,0.975046357620977
"Prevotella_pallens",0.990064891310362,0.0155733883479657,0.949055342570693,0.0458102571576628,0.969560116940528
"Prevotella_sp_oral_taxon_306",0.974933048107207,0.0196266854710676,0.958396695562097,0.0544881137453039,0.966664871834652
"Veillonella_sp_T11011_6",0.967883236131031,0.0195809746919652,0.957604385868766,0.0367811708963458,0.962743810999898
"Stomatobaculum_longum",0.955336968124141,0.0206272623001136,0.963999455677842,0.020397147212559,0.959668211900991
"Oribacterium_sinus",0.961085465592472,0.0331687951259834,0.956296803077585,0.0166630718085462,0.958691134335029
"Selenomonas_sputigena",0.97842203941257,0.0199743643052063,0.92413473211302,0.0357747814304074,0.951278385762795
"Prevotella_aurantiaca",0.908853923698592,0.0549011491905038,0.97598317170161,0.0152592139196358,0.942418547700101
"Prevotella_melaninogenica",0.938694122744407,0.0343167655313134,0.941665322026506,0.0467367327392061,0.940179722385456
"Eubacterium_yurii",0.952359748011313,0.0251964606983787,0.918146325185145,0.0451058265319343,0.935253036598229
"Prevotella_oulorum",0.96445519044125,0.016062183927506,0.900174355797927,0.0495416557133305,0.932314773119588
"Megasphaera_micronuciformis",0.920274222282647,0.0427217457358113,0.939945794854351,0.0286804474776324,0.930110008568499
"Streptococcus_lactarius",0.907159652656453,0.0202572435194142,0.952095181901973,0.0136362530018822,0.929627417279213
"Gemella_sanguinis",0.919193364088213,0.0219643461389202,0.937502414384947,0.064234387159926,0.92834788923658
"Atopobium_parvulum",0.900000797030809,0.0375614705524067,0.956578400465721,0.0186007222302628,0.928289598748265
"Capnocytophaga_sputigena",0.937165404798765,0.0259536596766765,0.90347550899956,0.0525902693905731,0.920320456899162
"Prevotella_scopos",0.897328558347635,0.0259962050773355,0.942364477437322,0.0240567041773325,0.919846517892479
"Leptotrichia_buccalis",0.962297889449714,0.0190341753623225,0.877115207259013,0.0969228507262725,0.919706548354364
"Campylobacter_showae",0.936000880522464,0.0415678522445113,0.886399069120831,0.0948916634279051,0.911199974821648
"Porphyromonas_catoniae",0.930013645204883,0.0235935179429624,0.891570412239878,0.0906742436742491,0.910792028722381
"Prevotella_micans",0.934421302141322,0.0342954591246257,0.884632759022478,0.038364025974737,0.9095270305819
"Lachnoanaerobaculum_umeaense",0.888219837562194,0.0396595131574906,0.927282112257819,0.0262533143543213,0.907750974910006
