,species,StabilityScore,StabilityScore_16s,StabilityScore_WGS
Fusobacterium_periodonticum,Fusobacterium_periodonticum,0.999293530337027,0.996740528385709,0.971684658149598
Eubacterium_sulci,Eubacterium_sulci,0.995550013841472,0.989191271237861,0.927002492398094
Prevotella_veroralis,Prevotella_veroralis,0.988286548093493,0.94027234137792,0.939792339895364
Lachnospiraceae_bacterium_oral_taxon_096,Lachnospiraceae_bacterium_oral_taxon_096,0.986669053115397,NA,0.993205020987007
Solobacterium_moorei,Solobacterium_moorei,0.976038406352647,0.922222940913797,0.920237728439259
Oribacterium_parvum,Oribacterium_parvum,0.975851999543506,NA,0.965154095247877
Prevotella_shahii,Prevotella_shahii,0.974180955546584,0.964655446925224,0.751338632353858
Prevotella_pallens,Prevotella_pallens,0.968551124050972,0.873581388525255,0.94101816632371
Prevotella_sp_oral_taxon_306,Prevotella_sp_oral_taxon_306,0.967567642092025,NA,0.962489974165135
Veillonella_sp_T11011_6,Veillonella_sp_T11011_6,0.964459006421497,NA,0.961243882101073
Oribacterium_sinus,Oribacterium_sinus,0.959597185294522,0.910037108941254,0.911377121778436
Stomatobaculum_longum,Stomatobaculum_longum,0.958744367935132,0.911333552538898,0.905761645557394
Selenomonas_sputigena,Selenomonas_sputigena,0.94895437913113,0.756112478481675,0.969031709148085
Prevotella_aurantiaca,Prevotella_aurantiaca,0.944039679476739,0.914555344837821,NA
Prevotella_melaninogenica,Prevotella_melaninogenica,0.940485937799142,0.934497048947752,0.707045655451181
Streptococcus_lactarius,Streptococcus_lactarius,0.93674836551133,0.940585829782102,NA
Eubacterium_yurii,Eubacterium_yurii,0.934342997488828,0.89963776733881,0.762644595158011
Prevotella_oulorum,Prevotella_oulorum,0.931301576808862,0.829291957336026,0.845382216614276
Megasphaera_micronuciformis,Megasphaera_micronuciformis,0.929408179264573,0.782740075698452,0.92979771349832
Atopobium_parvulum,Atopobium_parvulum,0.92838633048324,0.762614686820053,0.955714573040041
Gemella_sanguinis,Gemella_sanguinis,0.925502850590598,0.798441996572196,0.863519502082806
Prevotella_scopos,Prevotella_scopos,0.919036794660782,0.67962701988153,0.997265361840939
Leptotrichia_buccalis,Leptotrichia_buccalis,0.918895035146531,0.950114427923958,0.613648508290265
Capnocytophaga_sputigena,Capnocytophaga_sputigena,0.918607129825082,0.953152587669007,0.508363502537637
Campylobacter_showae,Campylobacter_showae,0.908769614459707,0.908462700086682,0.53411915399071
Porphyromonas_catoniae,Porphyromonas_catoniae,0.908063163006729,0.94244873874331,0.442924542143352
Prevotella_micans,Prevotella_micans,0.906307685163048,0.834671422772095,0.761340854543476
Lachnoanaerobaculum_umeaense,Lachnoanaerobaculum_umeaense,0.905526149597593,0.950977250993974,0.458012858133214
Johnsonella_ignava,Johnsonella_ignava,0.905433009324434,0.91515513105292,0.697411897976126
Centipeda_periodontii,Centipeda_periodontii,0.899640974157983,0.811171328819873,0.729345053167491
Capnocytophaga_gingivalis,Capnocytophaga_gingivalis,0.898750306013062,0.894735590354413,0.778095965579597
Elizabethkingia_meningoseptica,Elizabethkingia_meningoseptica,0.898674479751519,0.916678766763248,NA
Peptostreptococcus_stomatis,Peptostreptococcus_stomatis,0.892294784793665,0.918723766040774,0.54456888604416
Veillonella_rogosae,Veillonella_rogosae,0.888058643412226,0.877783423097332,0.711928909494832
Campylobacter_concisus,Campylobacter_concisus,0.887426757778014,0.74253790500067,0.903331587982203
Prevotella_corporis,Prevotella_corporis,0.882223453619958,0.87723672814381,NA
Actinomyces_sp_oral_taxon_181,Actinomyces_sp_oral_taxon_181,0.879525482605929,NA,0.838260007189257
Tannerella_forsythia,Tannerella_forsythia,0.877870211338813,0.834165621682451,0.660928328118677
Leptotrichia_trevisanii,Leptotrichia_trevisanii,0.875412654299426,0.840856648289594,NA
Actinobacillus_porcinus,Actinobacillus_porcinus,0.874707064085421,0.841578395870996,NA
Alloprevotella_rava,Alloprevotella_rava,0.871231516550112,0.68952273966735,0.953954213723901
Prevotella_maculosa,Prevotella_maculosa,0.871203410901681,0.778832764955481,0.751933946865521
Capnocytophaga_granulosa,Capnocytophaga_granulosa,0.866946558701813,0.83238233578498,0.53416864126707
Sporanaerobacter_acetigenes,Sporanaerobacter_acetigenes,0.864530014311152,0.859225810818465,NA
Actinomyces_sp_HMSC035G02,Actinomyces_sp_HMSC035G02,0.863395539494457,NA,0.845604787091615
Prevotella_salivae,Prevotella_salivae,0.862691090220211,0.572643216576168,0.951720974291069
Leptotrichia_wadei,Leptotrichia_wadei,0.861535235820668,0.843020785116406,0.478345694454124
Orientia_tsutsugamushi,Orientia_tsutsugamushi,0.860571526272323,0.831933104515472,NA
Leptotrichia_goodfellowii,Leptotrichia_goodfellowii,0.858580426644771,0.919629371326382,0.089626669087539
Moryella_indoligenes,Moryella_indoligenes,0.855653891186718,0.818998291632344,NA
Alkaliphilus_crotonatoxidans,Alkaliphilus_crotonatoxidans,0.855653492143433,0.852374362111222,NA
Capnocytophaga_leadbetteri,Capnocytophaga_leadbetteri,0.847740955671633,0.891728311842111,0.430159789799813
Leptotrichia_hofstadii,Leptotrichia_hofstadii,0.847414838134678,0.874155824762515,0.502487201777263
Actinomyces_graevenitzii,Actinomyces_graevenitzii,0.847138018157927,0.801315099152547,0.750650716419261
Prevotella_saccharolytica,Prevotella_saccharolytica,0.842787742619985,0.79633414251949,0.754606978103332
Veillonella_atypica,Veillonella_atypica,0.842033325300461,0.601914308121163,0.894222368126648
Clostridium_ultunense,Clostridium_ultunense,0.838221600557352,0.821766434833596,NA
Catonella_morbi,Catonella_morbi,0.834348443771998,0.713649975204356,0.78446113277262
Mogibacterium_diversum,Mogibacterium_diversum,0.834319528497336,0.596953213656658,0.881714130436112
Simonsiella_muelleri,Simonsiella_muelleri,0.830453410867604,0.626653198958639,0.817744352214915
Propionigenium_maris,Propionigenium_maris,0.830405252932592,0.838687562262974,NA
Ruminococcus_albus,Ruminococcus_albus,0.829583406437067,0.809323026246297,NA
Cardiobacterium_hominis,Cardiobacterium_hominis,0.829155187367296,0.861444811087402,0.550047255916771
Moraxella_boevrei,Moraxella_boevrei,0.828102856576538,0.81155949571677,NA
Cardiobacterium_valvarum,Cardiobacterium_valvarum,0.824407781018796,0.78746328624627,0.693878494217416
Veillonella_parvula,Veillonella_parvula,0.822558704688098,0.90940476454467,0.264056648412311
Neisseria_elongata,Neisseria_elongata,0.821755441735963,0.878855964174191,0.473204794794391
Ottowia_pentelensis,Ottowia_pentelensis,0.819240934389426,0.82920244953311,NA
Leptotrichia_hongkongensis,Leptotrichia_hongkongensis,0.816447801475442,0.832962934817153,NA
Actinomyces_meyeri,Actinomyces_meyeri,0.816437718555124,0.797052653077788,0.750376564855536
Butyrivibrio_hungatei,Butyrivibrio_hungatei,0.814690076872081,0.771703465882707,NA
Prevotella_histicola,Prevotella_histicola,0.81456712170537,0.657664400897757,0.760843337771599
Streptococcus_sp_A12,Streptococcus_sp_A12,0.813636058859257,NA,0.675388057885747
Tannerella_sp_oral_taxon_HOT_286,Tannerella_sp_oral_taxon_HOT_286,0.81000848336605,NA,0.689431562673083
Klebsiella_pneumoniae,Klebsiella_pneumoniae,0.807689725546323,0.756059513649347,0.744214405535239
Prevotella_loescheii,Prevotella_loescheii,0.807616942108782,0.865267339995194,0.529243358190068
Streptococcus_mutans,Streptococcus_mutans,0.807554253846441,0.868870713226215,0.458681119763488
Prevotella_stercorea,Prevotella_stercorea,0.805539746161055,0.820842738866713,NA
Sneathia_sanguinegens,Sneathia_sanguinegens,0.803315186479379,0.777041339311486,NA
Selenomonas_infelix,Selenomonas_infelix,0.801867886787957,0.632072992669126,0.876752778806852
Neisseria_canis,Neisseria_canis,0.801852140840445,0.788282851837951,0.531861950367227
Treponema_refringens,Treponema_refringens,0.800501113462093,0.728558001986306,NA
Brachymonas_denitrificans,Brachymonas_denitrificans,0.797259212583038,0.799175608646578,NA
Mycoplasma_feliminutum,Mycoplasma_feliminutum,0.797004221299094,0.78454244326618,NA
Streptococcus_infantis,Streptococcus_infantis,0.796974808504516,0.656242316727589,0.857822718786336
Slackia_exigua,Slackia_exigua,0.794564672337108,0.595559592914767,0.936207492599833
Neisseria_meningitidis,Neisseria_meningitidis,0.791029342781191,0.737447423835326,NA
Haemophilus_parahaemolyticus,Haemophilus_parahaemolyticus,0.787348686654532,0.753558155391842,0.47177019869493
Riemerella_anatipestifer,Riemerella_anatipestifer,0.783048836412202,0.774314813273522,NA
Lachnoanaerobaculum_orale,Lachnoanaerobaculum_orale,0.781547767569737,0.722927232023893,NA
Selenomonas_flueggei,Selenomonas_flueggei,0.778428625115811,0.672660104384915,0.682569627589141
Prevotella_paludivivens,Prevotella_paludivivens,0.778283103321928,0.740248436859724,NA
Prevotella_nanceiensis,Prevotella_nanceiensis,0.777970595648209,0.722808710288085,NA
Haemophilus_quentini,Haemophilus_quentini,0.77757958607014,NA,0.553885622341473
Campylobacter_lanienae,Campylobacter_lanienae,0.777286925888628,0.775235160526643,NA
Porphyromonas_gingivalis,Porphyromonas_gingivalis,0.775701531538372,0.797684073814902,0.502965064244816
Peptococcus_niger,Peptococcus_niger,0.774189525681193,0.802295741131021,NA
Planobacterium_taklimakanense,Planobacterium_taklimakanense,0.76590995426541,0.769519591991247,NA
Selenomonas_dianae,Selenomonas_dianae,0.763313160355225,0.742817785215786,NA
Haemophilus_pittmaniae,Haemophilus_pittmaniae,0.76219607132164,0.663507289005943,0.68289227301571
Actinomyces_odontolyticus,Actinomyces_odontolyticus,0.761200684883784,0.737379511139992,0.700220308551181
Streptobacillus_moniliformis,Streptobacillus_moniliformis,0.761014437646868,0.720785110975945,NA
Propionibacterium_propionicum,Propionibacterium_propionicum,0.757619047635544,0.863074346213221,0.325271690954863
Mobiluncus_mulieris,Mobiluncus_mulieris,0.757312929497302,0.738815440121478,NA
Capnocytophaga_haemolytica,Capnocytophaga_haemolytica,0.752512447938277,0.727726524286132,0.69161523841313
Sediminibacterium_salmoneum,Sediminibacterium_salmoneum,0.752175844526922,0.743570516976046,NA
Mogibacterium_neglectum,Mogibacterium_neglectum,0.749402778476397,0.71282679866208,NA
Haemophilus_parainfluenzae,Haemophilus_parainfluenzae,0.749326496933172,0.797272469612732,0.529047074962678
Leptotrichia_sp_oral_taxon_215,Leptotrichia_sp_oral_taxon_215,0.749168511727818,NA,0.62563660994734
Alloprevotella_tannerae,Alloprevotella_tannerae,0.748461619141321,0.675076020632439,0.331773658830621
Eubacterium_minutum,Eubacterium_minutum,0.746640299127474,0.625437015919138,0.814999932753547
Lachnoanaerobaculum_saburreum,Lachnoanaerobaculum_saburreum,0.7397308540994,0.812262479063581,0.358233273667389
Prevotella_jejuni,Prevotella_jejuni,0.736526904155935,0.360790585897456,0.909441050536321
Prevotella_enoeca,Prevotella_enoeca,0.733409024020595,0.683511940310578,0.593591290728426
Prevotella_denticola,Prevotella_denticola,0.729917211412483,0.648577796309969,0.795788660291703
Actinomyces_funkei,Actinomyces_funkei,0.723243573315597,0.7151886791279,NA
Treponema_succinifaciens,Treponema_succinifaciens,0.723068196732184,0.72140775252018,NA
Prevotella_sp_oral_taxon_473,Prevotella_sp_oral_taxon_473,0.721889232363613,NA,0.550761902316579
Prevotella_intermedia,Prevotella_intermedia,0.720737616996419,0.583551672726037,0.531933292740929
Porphyromonas_gulae,Porphyromonas_gulae,0.720439384481336,0.677166735566378,NA
Abiotrophia_defectiva,Abiotrophia_defectiva,0.712354243486311,0.534164237656583,0.751525653910626
Veillonella_rodentium,Veillonella_rodentium,0.710074939674611,0.61372916982594,0.580297324080221
Veillonella_infantium,Veillonella_infantium,0.707241942537662,NA,0.678819858366743
Bacteroides_intestinalis,Bacteroides_intestinalis,0.701655951280078,0.643365878209488,NA
Neisseria_oralis,Neisseria_oralis,0.701335023207965,0.674541199703232,NA
Eubacterium_infirmum,Eubacterium_infirmum,0.695234066271452,0.303494027107741,0.972065594024602
Campylobacter_mucosalis,Campylobacter_mucosalis,0.691586959565181,0.642271182384009,NA
Ornatilinea_apprima,Ornatilinea_apprima,0.685245501815415,0.634839014440082,NA
Leptotrichia_shahii,Leptotrichia_shahii,0.683515612656499,0.711633858288535,NA
Actinomyces_massiliensis,Actinomyces_massiliensis,0.680192861325685,0.724662306415302,0.40546322413732
Akkermansia_muciniphila,Akkermansia_muciniphila,0.673064678216958,0.704628096736051,NA
Soonwooa_buanensis,Soonwooa_buanensis,0.672875367976724,0.655186124601732,NA
Porphyromonas_somerae,Porphyromonas_somerae,0.668372809065334,0.715198372369246,0.477188826207043
Neisseria_shayeganii,Neisseria_shayeganii,0.666368164675514,0.659917733361333,NA
Veillonella_tobetsuensis,Veillonella_tobetsuensis,0.664846567597666,0.538789885850974,0.812506159163797
Odoribacter_denticanis,Odoribacter_denticanis,0.664680641703659,0.64867302790279,NA
