"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","HAC_Score","HAC_Score_RankScaled","quadrant","quadrant2","quadrant3"
"Fusobacterium_periodonticum",0.991780821917808,0.983127787532038,0.999293530337027,0.986012132327295,1,"Q1","Q1","Q1"
"Lachnoanaerobaculum_umeaense",0.923287671232877,0.947371193315977,0.905526149597593,0.911446656809354,0.997991967871486,"Q1","Q1","Q1"
"Campylobacter_concisus",0.965753424657534,0.946760206655769,0.887426757778014,0.907204574070599,0.995983935742972,"Q1","Q1","Q1"
"Porphyromonas_catoniae",0.984931506849315,0.878976004520595,0.908063163006729,0.888671724015973,0.993975903614458,"Q1","Q1","Q1"
"Actinomyces_graevenitzii",0.965753424657534,0.913006296542956,0.847138018157927,0.869094110952937,0.991967871485944,"Q1","Q1","Q1"
"Prevotella_pallens",0.994520547945206,0.817064640471433,0.968551124050972,0.867560134997946,0.98995983935743,"Q1","Q1","Q1"
"Prevotella_melaninogenica",0.984931506849315,0.818661883715768,0.940485937799142,0.859269901743559,0.987951807228916,"Q1","Q1","Q1"
"Alloprevotella_rava",0.850684931506849,0.872211055276382,0.871231516550112,0.857533793187937,0.985943775100402,"Q1","Q1","Q1"
"Eubacterium_sulci",0.894520547945206,0.829147746765958,0.995550013841472,0.850938680492374,0.983935742971888,"Q1","Q1","Q1"
"Veillonella_rogosae",0.83013698630137,0.954500312809025,0.888058643412226,0.849444205338322,0.981927710843373,"Q1","Q1","Q1"
"Prevotella_veroralis",0.916438356164384,0.813351799156425,0.988286548093493,0.847713984825744,0.979919678714859,"Q1","Q1","Q1"
"Catonella_morbi",0.878082191780822,0.831847591370507,0.834348443771998,0.832681208837671,0.977911646586345,"Q1","Q1","Q1"
"Prevotella_shahii",0.80958904109589,0.861951423785595,0.974180955546584,0.827043168659125,0.975903614457831,"Q1","Q1","Q1"
"Eubacterium_yurii",0.76986301369863,0.981215918952191,0.934342997488828,0.824689674962029,0.973895582329317,"Q1","Q1","Q1"
"Haemophilus_parainfluenzae",0.975342465753425,0.998191257492281,0.749326496933172,0.82466515320659,0.971887550200803,"Q1","Q1","Q1"
"Cardiobacterium_hominis",0.821917808219178,0.981718835139553,0.829155187367296,0.824330267935217,0.969879518072289,"Q1","Q1","Q1"
"Neisseria_elongata",0.80958904109589,0.915321486952836,0.821755441735963,0.813644507975915,0.967871485943775,"Q1","Q1","Q1"
"Capnocytophaga_gingivalis",0.928767123287671,0.763404774878408,0.898750306013062,0.808519951923293,0.965863453815261,"Q1","Q1","Q1"
"Campylobacter_showae",0.757534246575343,0.879862868559666,0.908769614459707,0.79831045390345,0.963855421686747,"Q1","Q1","Q1"
"Leptotrichia_buccalis",0.872602739726027,0.742367762507316,0.918895035146531,0.78577942158022,0.961847389558233,"Q1","Q1","Q1"
"Leptotrichia_hofstadii",0.749315068493151,0.864482956953442,0.847414838134678,0.782014991706993,0.959839357429719,"Q1","Q1","Q1"
"Lachnoanaerobaculum_saburreum",0.845205479452055,0.895327844039475,0.7397308540994,0.774889062550285,0.957831325301205,"Q1","Q1","Q1"
"Streptococcus_lactarius",0.693150684931507,0.97207069483966,0.93674836551133,0.774349911791448,0.955823293172691,"Q4","Q1","Q4"
"Prevotella_aurantiaca",0.671232876712329,0.942235777279974,0.944039679476739,0.761567176901544,0.953815261044177,"Q4","Q1","Q4"
"Capnocytophaga_leadbetteri",0.901369863013699,0.706367580876269,0.847740955671633,0.75349203914139,0.951807228915663,"Q1","Q1","Q1"
"Cardiobacterium_valvarum",0.706849315068493,0.871311678876309,0.824407781018796,0.746035470385261,0.949799196787149,"Q1","Q1","Q1"
"Actinomyces_odontolyticus",0.958904109589041,0.73572864321608,0.761200684883784,0.744219323771982,0.947791164658635,"Q1","Q1","Q1"
"Haemophilus_pittmaniae",0.720547945205479,0.887581178987306,0.76219607132164,0.734430653910866,0.94578313253012,"Q1","Q1","Q1"
"Leptotrichia_wadei",0.938356164383562,0.659015862444754,0.861535235820668,0.726522320236725,0.943775100401606,"Q1","Q4","Q2"
"Oribacterium_sinus",0.916438356164384,0.627201771911768,0.959597185294522,0.72361396666264,0.941767068273092,"Q1","Q4","Q2"
"Propionibacterium_propionicum",0.706849315068493,0.749332606809146,0.757619047635544,0.721010412315378,0.939759036144578,"Q1","Q1","Q1"
"Leptotrichia_goodfellowii",0.76986301369863,0.693390446206938,0.858580426644771,0.718881302037502,0.937751004016064,"Q1","Q4","Q2"
"Prevotella_oulorum",0.894520547945206,0.619283263708099,0.931301576808862,0.711029025120468,0.93574297188755,"Q1","Q4","Q2"
"Prevotella_salivae",1,0.629500615527436,0.862691090220211,0.707230773758361,0.933734939759036,"Q1","Q4","Q2"
"Prevotella_loescheii",0.865753424657534,0.656274343605578,0.807616942108782,0.706721876439979,0.931726907630522,"Q1","Q4","Q2"
"Neisseria_meningitidis",0.66027397260274,0.917543238279752,0.791029342781191,0.703859095995557,0.929718875502008,"Q4","Q1","Q4"
"Leptotrichia_hongkongensis",0.80958904109589,0.637858973582773,0.816447801475442,0.695102329420479,0.927710843373494,"Q1","Q4","Q2"
"Eubacterium_infirmum",0.706849315068493,0.694845512704083,0.695234066271452,0.694975030559873,0.92570281124498,"Q2","Q3","Q2"
"Streptococcus_mutans",0.671232876712329,0.706955460031079,0.807554253846441,0.683140404485246,0.923694779116466,"Q4","Q1","Q4"
"Orientia_tsutsugamushi",0.591780821917808,0.956406631551331,0.860571526272323,0.681377723369313,0.921686746987952,"Q4","Q1","Q4"
"Actinomyces_massiliensis",0.683561643835616,0.994674375895542,0.680192861325685,0.681315788828996,0.919678714859438,"Q3","Q2","Q4"
"Neisseria_oralis",0.671232876712329,0.729550261346895,0.701335023207965,0.681266925544208,0.917670682730924,"Q4","Q1","Q4"
"Streptobacillus_moniliformis",0.621917808219178,0.862795705434805,0.761014437646868,0.668283351361742,0.91566265060241,"Q4","Q1","Q4"
"Neisseria_flavescens",0.923287671232877,0.945751448003068,0.540594689726743,0.668159016895454,0.913654618473896,"Q2","Q2","Q1"
"Gemella_sanguinis",0.912328767123288,0.541950515630361,0.925502850590598,0.66540993279467,0.911646586345382,"Q1","Q4","Q2"
"Corynebacterium_durum",0.850684931506849,0.96565145002119,0.57026836257984,0.663740552222177,0.909638554216867,"Q2","Q2","Q1"
"Porphyromonas_gingivalis",0.720547945205479,0.623742003188634,0.775701531538372,0.656010650527582,0.907630522088353,"Q1","Q4","Q2"
"Peptococcus_niger",0.645205479452055,0.658801638715667,0.774189525681193,0.649737532539925,0.905622489959839,"Q4","Q4","Q3"
"Actinomyces_meyeri",0.645205479452055,0.656641541038526,0.816437718555124,0.649017499980879,0.903614457831325,"Q4","Q4","Q3"
"Corynebacterium_matruchotii",0.872602739726027,0.639059453895986,0.655417637161231,0.644512181651068,0.901606425702811,"Q2","Q3","Q2"
"Haemophilus_sputorum",0.731506849315068,0.979807269278117,0.594375626871922,0.640086034352971,0.899598393574297,"Q2","Q2","Q1"
"Streptococcus_australis",0.645205479452055,0.903754212831224,0.636853294207231,0.639637355955506,0.897590361445783,"Q3","Q2","Q4"
"Leptotrichia_trevisanii",0.782191780821918,0.566865149038364,0.875412654299426,0.638640692966216,0.895582329317269,"Q1","Q4","Q2"
"Veillonella_tobetsuensis",0.621917808219178,0.736299570139856,0.664846567597666,0.636227394678674,0.893574297188755,"Q3","Q2","Q4"
"Neisseria_subflava",0.645205479452055,0.953080260741458,0.620209812542651,0.628541701512452,0.891566265060241,"Q3","Q2","Q4"
"Stomatobaculum_longum",0.947945205479452,0.465006558898912,0.958744367935132,0.625986107759092,0.889558232931727,"Q1","Q4","Q2"
"Treponema_vincentii",0.720547945205479,0.739556416621259,0.574348447266076,0.623081613245877,0.887550200803213,"Q2","Q2","Q1"
"Aggregatibacter_segnis",0.865753424657534,0.950189299913221,0.49918182372936,0.621372357372085,0.885542168674699,"Q2","Q2","Q1"
"Shuttleworthia_satelles",0.645205479452055,0.720643680248633,0.601992312378595,0.616396701403082,0.883534136546185,"Q3","Q2","Q4"
"Veillonella_sp_T11011_6",0.552054794520548,0.743716776654356,0.964459006421497,0.615942121898484,0.881526104417671,"Q4","Q1","Q4"
"Atopobium_parvulum",0.997260273972603,0.453583984177918,0.92838633048324,0.611851432946359,0.879518072289157,"Q1","Q4","Q2"
"Capnocytophaga_sputigena",0.901369863013699,0.464688200036326,0.918607129825082,0.610248754362117,0.877510040160643,"Q1","Q4","Q2"
"Kingella_oralis",0.821917808219178,0.815539545115134,0.500169606218866,0.605292919184289,0.875502008032129,"Q2","Q2","Q1"
"Prevotella_maculosa",0.76986301369863,0.520026740126334,0.871203410901681,0.603305497983766,0.873493975903614,"Q1","Q4","Q2"
"Selenomonas_dianae",0.683561643835616,0.559026558495288,0.763313160355225,0.600538253608731,0.8714859437751,"Q4","Q4","Q3"
"Solobacterium_moorei",0.932876712328767,0.429113539585478,0.976038406352647,0.597034597166574,0.869477911646586,"Q1","Q4","Q2"
"Prevotella_micans",0.591780821917808,0.592866037012371,0.906307685163048,0.592142560282663,0.867469879518072,"Q4","Q4","Q3"
"Rothia_aeria",0.901369863013699,0.902957861597142,0.435359310217974,0.590696161149882,0.865461847389558,"Q2","Q2","Q1"
"Capnocytophaga_haemolytica",0.505479452054794,0.974584468527376,0.752512447938277,0.587823784015955,0.863453815261044,"Q4","Q1","Q4"
"Neisseria_mucosa",0.706849315068493,0.888998809307582,0.521513889582708,0.583292364744636,0.86144578313253,"Q2","Q2","Q1"
"Lachnospiraceae_bacterium_oral_taxon_096",0.423287671232877,0.899729773364816,0.986669053115397,0.582101705276857,0.859437751004016,"Q4","Q1","Q4"
"Haemophilus_haemolyticus",0.698630136986301,0.691542047587334,0.520523489462774,0.577529675504294,0.857429718875502,"Q3","Q3","Q3"
"Veillonella_parvula",0.878082191780822,0.454220298278541,0.822558704688098,0.576999767081727,0.855421686746988,"Q1","Q4","Q2"
"Kingella_denitrificans",0.621917808219178,0.87504924219491,0.552333117464321,0.575528014382606,0.853413654618474,"Q3","Q2","Q4"
"Planobacterium_taklimakanense",0.621917808219178,0.552100260337834,0.76590995426541,0.575372776298282,0.85140562248996,"Q4","Q4","Q3"
"Dialister_invisus",0.857534246575342,0.551573328489839,0.621260745653002,0.574802467544226,0.849397590361446,"Q2","Q3","Q2"
"Prevotella_nigrescens",0.83013698630137,0.716249419789712,0.501158795453471,0.572855670232218,0.847389558232932,"Q2","Q2","Q1"
"Capnocytophaga_ochracea",0.887671232876712,0.534028677524167,0.645360891296053,0.571139415448129,0.845381526104418,"Q2","Q3","Q2"
"Tannerella_forsythia",0.947945205479452,0.407582692579363,0.877870211338813,0.564345198832513,0.843373493975904,"Q1","Q4","Q2"
"Treponema_amylovorum",0.683561643835616,0.709223930899477,0.490663080644954,0.554962601708508,0.84136546184739,"Q3","Q2","Q4"
"Aggregatibacter_aphrophilus",0.79041095890411,0.634293051603399,0.512867543613523,0.553342712943481,0.839357429718876,"Q2","Q3","Q2"
"Anaeroglobus_geminatus",0.706849315068493,0.551405017053137,0.556476727766052,0.553095587290775,0.837349397590361,"Q2","Q3","Q2"
"Haemophilus_parahaemolyticus",0.591780821917808,0.531754354099816,0.787348686654532,0.551763176705814,0.835341365461847,"Q4","Q4","Q3"
"Alloprevotella_tannerae",0.80958904109589,0.452441827611955,0.748461619141321,0.551115091455077,0.833333333333333,"Q1","Q4","Q2"
"Prevotella_stercorea",0.505479452054794,0.636316320558616,0.805539746161055,0.549091741556068,0.831325301204819,"Q4","Q4","Q3"
"Streptococcus_peroris",0.645205479452055,0.543676212387237,0.556782740521058,0.548045055098511,0.829317269076305,"Q3","Q3","Q3"
"Brachymonas_denitrificans",0.591780821917808,0.525975056002906,0.797259212583038,0.547910311307873,0.827309236947791,"Q4","Q4","Q3"
"Prevotella_denticola",0.821917808219178,0.456750216948195,0.729917211412483,0.547805881769624,0.825301204819277,"Q1","Q4","Q2"
"Prevotella_nanceiensis",0.958904109589041,0.430132187039616,0.777970595648209,0.54607832324248,0.823293172690763,"Q1","Q4","Q2"
"Streptococcus_sanguinis",0.947945205479452,0.903559564892737,0.366267883325681,0.5453651105147,0.821285140562249,"Q2","Q2","Q1"
"Megasphaera_micronuciformis",0.989041095890411,0.351840225222498,0.929408179264573,0.544362876569856,0.819277108433735,"Q1","Q4","Q2"
"Catenibacterium_mitsuokai",0.505479452054794,0.755636919537446,0.61603073190134,0.54232987867031,0.817269076305221,"Q3","Q2","Q4"
"Campylobacter_rectus",0.552054794520548,0.725004137151622,0.536747751029,0.541850098859516,0.815261044176707,"Q3","Q2","Q4"
"Treponema_lecithinolyticum",0.591780821917808,0.901161530544288,0.510796527626864,0.537791292390512,0.813253012048193,"Q3","Q2","Q4"
"Prevotella_enoeca",0.505479452054794,0.589867005711287,0.733409024020595,0.533608636606959,0.811244979919679,"Q4","Q4","Q3"
"Mogibacterium_diversum",0.552054794520548,0.523223446550019,0.834319528497336,0.532833895873529,0.808232931726908,"Q4","Q4","Q3"
"Veillonella_infantium",0.552054794520548,0.523223446550019,0.707241942537662,0.532833895873529,0.808232931726908,"Q4","Q4","Q3"
