Fusobacterium periodonticum
Lachnoanaerobaculum umeaense
Campylobacter concisus
Porphyromonas catoniae
Actinomyces graevenitzii
Prevotella pallens
Prevotella melaninogenica
Alloprevotella rava
Eubacterium sulci
Veillonella rogosae
Prevotella veroralis
Catonella morbi
Prevotella shahii
Eubacterium yurii
Haemophilus parainfluenzae
Cardiobacterium hominis
Neisseria elongata
Capnocytophaga gingivalis
Campylobacter showae
Leptotrichia buccalis
Leptotrichia hofstadii
Lachnoanaerobaculum saburreum
Streptococcus lactarius
Prevotella aurantiaca
Capnocytophaga leadbetteri
Cardiobacterium valvarum
Actinomyces odontolyticus
Haemophilus pittmaniae
Leptotrichia wadei
Oribacterium sinus
Propionibacterium propionicum
Leptotrichia goodfellowii
Prevotella oulorum
Prevotella salivae
Prevotella loescheii
Neisseria meningitidis
Leptotrichia hongkongensis
Eubacterium infirmum
Streptococcus mutans
Orientia tsutsugamushi
Actinomyces massiliensis
Neisseria oralis
Streptobacillus moniliformis
Neisseria flavescens
Gemella sanguinis
Corynebacterium durum
Porphyromonas gingivalis
Peptococcus niger
Actinomyces meyeri
Corynebacterium matruchotii
