"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","HAC_Score","HAC_Score_RankScaled","mean_scores","RewardGini","HAC_Score_confirm"
"Fusobacterium_periodonticum",0.991780821917808,0.983127787532038,0.999293530337027,0.986012132327295,1,0.991400713262291,0.994564679182785,0.986012132327295
"Lachnoanaerobaculum_umeaense",0.923287671232877,0.947371193315977,0.905526149597593,0.911446656809354,0.997991967871486,0.925395004715482,0.984927141561114,0.911446656809354
"Campylobacter_concisus",0.965753424657534,0.946760206655769,0.887426757778014,0.907204574070599,0.995983935742972,0.933313463030439,0.972025594835989,0.907204574070599
"Porphyromonas_catoniae",0.984931506849315,0.878976004520595,0.908063163006729,0.888671724015973,0.993975903614458,0.923990224792213,0.961776109932134,0.888671724015973
"Actinomyces_graevenitzii",0.965753424657534,0.913006296542956,0.847138018157927,0.869094110952937,0.991967871485944,0.908632579786139,0.956485746039936,0.869094110952937
"Prevotella_pallens",0.994520547945206,0.817064640471433,0.968551124050972,0.867560134997946,0.98995983935743,0.92671210415587,0.936170069547322,0.867560134997946
"Prevotella_melaninogenica",0.984931506849315,0.818661883715768,0.940485937799142,0.859269901743559,0.987951807228916,0.914693109454742,0.939407865722066,0.859269901743559
"Alloprevotella_rava",0.850684931506849,0.872211055276382,0.871231516550112,0.857533793187937,0.985943775100402,0.864709167777781,0.99170197928133,0.857533793187937
"Eubacterium_sulci",0.894520547945206,0.829147746765958,0.995550013841472,0.850938680492374,0.983935742971888,0.906406102850878,0.93880510933891,0.850938680492374
"Veillonella_rogosae",0.83013698630137,0.954500312809025,0.888058643412226,0.849444205338322,0.981927710843373,0.89089864750754,0.953468958242113,0.849444205338322
"Prevotella_veroralis",0.916438356164384,0.813351799156425,0.988286548093493,0.847713984825744,0.979919678714859,0.906025567804767,0.935640245649681,0.847713984825744
"Catonella_morbi",0.878082191780822,0.831847591370507,0.834348443771998,0.832681208837671,0.977911646586345,0.848092742307776,0.981828009247941,0.832681208837671
"Prevotella_shahii",0.80958904109589,0.861951423785595,0.974180955546584,0.827043168659125,0.975903614457831,0.88190714014269,0.937789400962682,0.827043168659125
"Eubacterium_yurii",0.76986301369863,0.981215918952191,0.934342997488828,0.824689674962029,0.973895582329317,0.895140643379883,0.921296201955657,0.824689674962029
"Haemophilus_parainfluenzae",0.975342465753425,0.998191257492281,0.749326496933172,0.82466515320659,0.971887550200803,0.907620073392959,0.908601712745005,0.82466515320659
"Cardiobacterium_hominis",0.821917808219178,0.981718835139553,0.829155187367296,0.824330267935217,0.969879518072289,0.877597276908676,0.93930358448571,0.824330267935217
"Neisseria_elongata",0.80958904109589,0.915321486952836,0.821755441735963,0.813644507975915,0.967871485943775,0.848888656594897,0.958482012516983,0.813644507975915
"Capnocytophaga_gingivalis",0.928767123287671,0.763404774878408,0.898750306013062,0.808519951923293,0.965863453815261,0.86364073472638,0.936176258730372,0.808519951923293
"Campylobacter_showae",0.757534246575343,0.879862868559666,0.908769614459707,0.79831045390345,0.963855421686747,0.848722243198238,0.940602724037464,0.79831045390345
"Leptotrichia_buccalis",0.872602739726027,0.742367762507316,0.918895035146531,0.78577942158022,0.961847389558233,0.844621845793291,0.930332817572572,0.78577942158022
"Leptotrichia_hofstadii",0.749315068493151,0.864482956953442,0.847414838134678,0.782014991706993,0.959839357429719,0.820404287860424,0.953206855788689,0.782014991706993
"Lachnoanaerobaculum_saburreum",0.845205479452055,0.895327844039475,0.7397308540994,0.774889062550285,0.957831325301205,0.826754725863643,0.937265960881955,0.774889062550285
"Streptococcus_lactarius",0.693150684931507,0.97207069483966,0.93674836551133,0.774349911791448,0.955823293172691,0.867323248427499,0.892804283979916,0.774349911791448
"Prevotella_aurantiaca",0.671232876712329,0.942235777279974,0.944039679476739,0.761567176901544,0.953815261044177,0.852502777823014,0.893331020980733,0.761567176901544
"Capnocytophaga_leadbetteri",0.901369863013699,0.706367580876269,0.847740955671633,0.75349203914139,0.951807228915663,0.818492799853867,0.920584810612773,0.75349203914139
