"","HealthAssociationScore","CoreAssociationScore","StabilityAssociationScore"
"Catenibacterium_mitsuokai",0.755636919537446,0.505479452054794,0.61603073190134
"Veillonella_tobetsuensis",0.736299570139856,0.621917808219178,0.664846567597666
"Shuttleworthia_satelles",0.720643680248633,0.645205479452055,0.601992312378595
"Orientia_tsutsugamushi",0.956406631551331,0.591780821917808,0.860571526272323
"Capnocytophaga_haemolytica",0.974584468527376,0.505479452054794,0.752512447938277
"Streptococcus_australis",0.903754212831224,0.645205479452055,0.636853294207231
"Neisseria_subflava",0.953080260741458,0.645205479452055,0.620209812542651
"Actinomyces_massiliensis",0.994674375895542,0.683561643835616,0.680192861325685
"Haemophilus_sputorum",0.979807269278117,0.731506849315068,0.594375626871922
"Leptotrichia_hofstadii",0.864482956953442,0.749315068493151,0.847414838134678
"Cardiobacterium_valvarum",0.871311678876309,0.706849315068493,0.824407781018796
"Streptobacillus_moniliformis",0.862795705434805,0.621917808219178,0.761014437646868
"Haemophilus_pittmaniae",0.887581178987306,0.720547945205479,0.76219607132164
"Neisseria_meningitidis",0.917543238279752,0.66027397260274,0.791029342781191
"Veillonella_sp_T11011_6",0.743716776654356,0.552054794520548,0.964459006421497
"Prevotella_stercorea",0.636316320558616,0.505479452054794,0.805539746161055
"Leptotrichia_goodfellowii",0.693390446206938,0.76986301369863,0.858580426644771
"Prevotella_loescheii",0.656274343605578,0.865753424657534,0.807616942108782
"Leptotrichia_hongkongensis",0.637858973582773,0.80958904109589,0.816447801475442
"Propionibacterium_propionicum",0.749332606809146,0.706849315068493,0.757619047635544
"Eubacterium_infirmum",0.694845512704083,0.706849315068493,0.695234066271452
"Neisseria_oralis",0.729550261346895,0.671232876712329,0.701335023207965
"Porphyromonas_gingivalis",0.623742003188634,0.720547945205479,0.775701531538372
"Streptococcus_mutans",0.706955460031079,0.671232876712329,0.807554253846441
"Peptococcus_niger",0.658801638715667,0.645205479452055,0.774189525681193
"Actinomyces_meyeri",0.656641541038526,0.645205479452055,0.816437718555124
"Actinomyces_odontolyticus",0.73572864321608,0.958904109589041,0.761200684883784
"Corynebacterium_matruchotii",0.639059453895986,0.872602739726027,0.655417637161231
"Capnocytophaga_leadbetteri",0.706367580876269,0.901369863013699,0.847740955671633
"Leptotrichia_wadei",0.659015862444754,0.938356164383562,0.861535235820668
"Capnocytophaga_gingivalis",0.763404774878408,0.928767123287671,0.898750306013062
"Leptotrichia_buccalis",0.742367762507316,0.872602739726027,0.918895035146531
"Oribacterium_sinus",0.627201771911768,0.916438356164384,0.959597185294522
"Prevotella_salivae",0.629500615527436,1,0.862691090220211
"Prevotella_shahii",0.861951423785595,0.80958904109589,0.974180955546584
"Campylobacter_showae",0.879862868559666,0.757534246575343,0.908769614459707
"Eubacterium_yurii",0.981215918952191,0.76986301369863,0.934342997488828
"Streptococcus_lactarius",0.97207069483966,0.693150684931507,0.93674836551133
"Prevotella_aurantiaca",0.942235777279974,0.671232876712329,0.944039679476739
"Eubacterium_sulci",0.829147746765958,0.894520547945206,0.995550013841472
"Prevotella_veroralis",0.813351799156425,0.916438356164384,0.988286548093493
"Prevotella_pallens",0.817064640471433,0.994520547945206,0.968551124050972
"Prevotella_melaninogenica",0.818661883715768,0.984931506849315,0.940485937799142
"Fusobacterium_periodonticum",0.983127787532038,0.991780821917808,0.999293530337027
"Lachnoanaerobaculum_umeaense",0.947371193315977,0.923287671232877,0.905526149597593
"Campylobacter_concisus",0.946760206655769,0.965753424657534,0.887426757778014
"Porphyromonas_catoniae",0.878976004520595,0.984931506849315,0.908063163006729
"Actinomyces_graevenitzii",0.913006296542956,0.965753424657534,0.847138018157927
"Haemophilus_parainfluenzae",0.998191257492281,0.975342465753425,0.749326496933172
"Neisseria_elongata",0.915321486952836,0.80958904109589,0.821755441735963
"Veillonella_rogosae",0.954500312809025,0.83013698630137,0.888058643412226
"Cardiobacterium_hominis",0.981718835139553,0.821917808219178,0.829155187367296
"Lachnoanaerobaculum_saburreum",0.895327844039475,0.845205479452055,0.7397308540994
"Alloprevotella_rava",0.872211055276382,0.850684931506849,0.871231516550112
"Catonella_morbi",0.831847591370507,0.878082191780822,0.834348443771998
