"","TongueTonsil","Subgingival","Supragingival"
"Prevotella_jejuni",0.981042654028436,NA,0.207171314741036
"Veillonella_infantium",0.845971563981043,NA,NA
"Veillonella_sp_T11011_6",0.845971563981043,NA,NA
"Streptococcus_australis",0.845971563981043,0,0
"Porphyromonas_somerae",0.845971563981043,0,NA
"Streptococcus_sp_A12",0.928909952606635,NA,NA
"Campylobacter_mucosalis",0.928909952606635,NA,0
"Actinomyces_sp_ICM47",0.928909952606635,NA,NA
"Mogibacterium_diversum",1,0,NA
"Alloprevotella_rava",0.995260663507109,0,0
"Leptotrichia_shahii",0.845971563981043,0.660436137071651,0.543824701195219
"Prevotella_salivae",0.845971563981043,0.598130841121495,0.434262948207171
"Stomatobaculum_longum",0.845971563981043,0.679127725856698,0.683266932270916
"Prevotella_nigrescens",0.928909952606635,0.725856697819315,0.553784860557769
"Rothia_mucilaginosa",0.964454976303318,0.679127725856698,0.585657370517928
"Selenomonas_sputigena",0.845971563981043,0.426791277258567,0.438247011952191
"Alloprevotella_tannerae",0.845971563981043,0.404984423676012,0.50398406374502
"Prevotella_oris",0.928909952606635,0.302180685358255,0.577689243027888
"Megasphaera_micronuciformis",0.845971563981043,0.258566978193146,0.533864541832669
"Lachnoanaerobaculum_saburreum",0.964454976303318,0.501557632398754,0.866533864541833
"Oribacterium_sinus",0.964454976303318,0.389408099688474,0.733067729083665
"Atopobium_parvulum",0.845971563981043,0.485981308411215,0.733067729083665
"Gemella_sanguinis",0.845971563981043,0.485981308411215,0.683266932270916
"Neisseria_flavescens",0.988151658767773,0,0.910358565737052
"Veillonella_rogosae",0.964454976303318,NA,0.824701195219124
"Planobacterium_taklimakanense",0.928909952606635,NA,0.798804780876494
"Actinomyces_graevenitzii",0.845971563981043,0,0.565737051792829
"Actinomyces_lingnae",0.845971563981043,NA,0.683266932270916
"Haemophilus_sputorum",0.845971563981043,0,0.651394422310757
"Prevotella_nanceiensis",0.845971563981043,NA,0.651394422310757
"Prevotella_histicola",0.845971563981043,0,0.430278884462151
"Eubacterium_sulci",0.988151658767773,NA,0.51394422310757
"Streptococcus_gordonii",0.372037914691943,0.850467289719626,0.733067729083665
"Streptococcus_mitis",0.402843601895735,0.903426791277259,0.756972111553785
"Streptococcus_oralis",0.421800947867299,0.88785046728972,0.721115537848606
"Leptotrichia_hofstadii",0.601895734597156,0.819314641744548,0.798804780876494
"Leptotrichia_wadei",0.483412322274882,0.825545171339564,0.932270916334661
"Propionibacterium_propionicum",0.454976303317536,0.844236760124611,0.838645418326693
"Granulicatella_adiacens",0.483412322274882,0.775700934579439,0.866533864541833
"Kingella_oralis",0.601895734597156,0.993769470404984,0.886454183266932
"Corynebacterium_matruchotii",0.601895734597156,0.94392523364486,0.852589641434263
"Porphyromonas_catoniae",0.402843601895735,0.903426791277259,0.98406374501992
"Prevotella_loescheii",0.454976303317536,0.88785046728972,0.9800796812749
"Streptococcus_sanguinis",0.464454976303318,0.956386292834891,0.99601593625498
"Cardiobacterium_hominis",0.52132701421801,0.937694704049844,1
"Centipeda_periodontii",0.601895734597156,0.697819314641745,0.910358565737052
"Campylobacter_showae",0.601895734597156,0.660436137071651,0.918326693227092
"Fusobacterium_periodonticum",0.4739336492891,0.598130841121495,0.878486055776892
"Gemella_haemolysans",0.438388625592417,0.598130841121495,0.838645418326693
"Actinomyces_odontolyticus",0.388625592417062,0.73208722741433,0.904382470119522
"Actinomyces_georgiae",0.300947867298578,0.713395638629283,0.924302788844621
"Actinomyces_massiliensis",0.300947867298578,0.919003115264797,0.928286852589641
"Campylobacter_gracilis",0.300947867298578,0.838006230529595,0.848605577689243
"Actinomyces_naeslundii",0.601895734597156,0.862928348909657,0.936254980079681
"Eikenella_corrodens",0.601895734597156,0.831775700934579,0.99203187250996
"Prevotella_oulorum",0.73696682464455,0.741433021806854,0.968127490039841
"Neisseria_elongata",0.73696682464455,0.872274143302181,0.896414342629482
"Gemella_morbillorum",0.73696682464455,0.872274143302181,0.960159362549801
"Capnocytophaga_gingivalis",0.845971563981043,1,0.701195219123506
"Rothia_dentocariosa",0.964454976303318,0.856697819314642,0.705179282868526
"Haemophilus_parainfluenzae",0.845971563981043,0.775700934579439,0.892430278884462
"Prevotella_melaninogenica",0.845971563981043,0.775700934579439,0.832669322709163
"Streptococcus_thermophilus",0.845971563981043,0.775700934579439,0.798804780876494
"Lachnoanaerobaculum_umeaense",0.845971563981043,0.775700934579439,0.798804780876494
"Rothia_aeria",0.928909952606635,0.928348909657321,0.900398406374502
"Campylobacter_concisus",0.964454976303318,0.88785046728972,0.886454183266932
"Lautropia_mirabilis",0.928909952606635,0.97196261682243,0.974103585657371
"Corynebacterium_durum",0.928909952606635,0.97196261682243,0.98804780876494
"Veillonella_parvula",0.845971563981043,0.928348909657321,0.960159362549801
"Capnocytophaga_leadbetteri",0.845971563981043,0.987538940809969,0.944223107569721
"Capnocytophaga_granulosa",0.845971563981043,0.97196261682243,0.944223107569721
"Capnocytophaga_sputigena",0.845971563981043,0.97196261682243,0.952191235059761
"Haemophilus_haemolyticus",0,0,0.866533864541833
"Veillonella_atypica",0.469194312796209,0,0.866533864541833
"Streptococcus_pneumoniae",0.372037914691943,NA,0.828685258964143
"Actinomyces_oris",0,0.813084112149533,0.693227091633466
"Actinomyces_sp_oral_taxon_448",NA,0.806853582554517,0.49203187250996
"Selenomonas_noxia",0,0.598130841121495,0.844621513944223
"Leptotrichia_buccalis",0,0.538940809968847,0.856573705179283
"Leptotrichia_goodfellowii",0,0.538940809968847,0.878486055776892
"Cardiobacterium_valvarum",0,0.775700934579439,0.944223107569721
"Aggregatibacter_segnis",0,0.775700934579439,0.960159362549801
"Capnocytophaga_ochracea",0,0.950155763239875,0.974103585657371
"Prevotella_saccharolytica",0,0.912772585669782,0.918326693227092
