"","CoreAssociationScore","HealthAssociationScore","CHC_Score","CHC_Score_RankScaled","mean_score","reward_Score"
"Capnocytophaga_gingivalis",0.967845659163987,0.981407015668314,0.967845659163987,1,0.974626337416151,0.993042791896903
"Kingella_oralis",0.967845659163987,0.934048227330488,0.934048227330488,0.993769470404984,0.950946943247237,0.982229591212476
"Capnocytophaga_leadbetteri",0.922829581993569,0.979473307637857,0.922829581993569,0.987538940809969,0.951151444815713,0.970223603216382
"Lautropia_mirabilis",0.922829581993569,0.946910581707563,0.922829581993569,0.97196261682243,0.934870081850566,0.987120670464539
"Capnocytophaga_granulosa",0.922829581993569,0.938261960578774,0.922829581993569,0.97196261682243,0.930545771286171,0.991707888498663
"Capnocytophaga_sputigena",0.922829581993569,1,0.922829581993569,0.97196261682243,0.961414790996785,0.959866220735786
"Corynebacterium_durum",0.922829581993569,0.943875335988407,0.922829581993569,0.97196261682243,0.933352458990988,0.988725719961359
"Streptococcus_sanguinis",0.990353697749196,0.872246478473774,0.872246478473774,0.956386292834891,0.931300088111485,0.936590138461748
"Capnocytophaga_ochracea",0.967845659163987,0.864600826710882,0.864600826710882,0.950155763239875,0.916223242937435,0.943657381948694
"Corynebacterium_matruchotii",0.842443729903537,0.978272411312289,0.842443729903537,0.94392523364486,0.910358070607913,0.925398210992929
"Cardiobacterium_hominis",0.842443729903537,0.946910581707563,0.842443729903537,0.937694704049844,0.89467715580555,0.941617570580548
"Rothia_aeria",0.842443729903537,0.981407015668314,0.842443729903537,0.928348909657321,0.911925372785926,0.923807753401879
"Veillonella_parvula",0.842443729903537,0.872246478473774,0.842443729903537,0.928348909657321,0.857345104188655,0.982619164427118
"Actinomyces_massiliensis",0.922829581993569,0.820021046865452,0.820021046865452,0.919003115264797,0.871425314429511,0.941011275765255
"Prevotella_saccharolytica",0.842443729903537,0.772232139337461,0.772232139337461,0.912772585669782,0.807337934620499,0.956516603794246
"Streptococcus_mitis",0.922829581993569,0.759441126642844,0.759441126642844,0.903426791277259,0.841135354318207,0.902876240719211
"Porphyromonas_catoniae",0.922829581993569,0.759441126642844,0.759441126642844,0.903426791277259,0.841135354318207,0.902876240719211
"Streptococcus_oralis",0.736334405144695,0.872246478473774,0.736334405144695,0.88785046728972,0.804290441809234,0.915508088705277
"Campylobacter_concisus",0.736334405144695,0.859614862782599,0.736334405144695,0.88785046728972,0.797974633963647,0.922754150075201
"Prevotella_loescheii",0.736334405144695,0.772232139337461,0.736334405144695,0.88785046728972,0.754283272241078,0.976204076429993
"Neisseria_elongata",0.736334405144695,0.981407015668314,0.736334405144694,0.872274143302181,0.858870710406504,0.857328578356324
"Gemella_morbillorum",0.736334405144695,0.802612537220494,0.736334405144694,0.872274143302181,0.769473471182594,0.956932802391525
"Actinomyces_naeslundii",0.842443729903537,0.726653500487691,0.726653500487691,0.862928348909657,0.784548615195614,0.92620582894855
"Rothia_dentocariosa",1,0.701920471861013,0.701920471861013,0.856697819314642,0.850960235930506,0.824856958320124
"Streptococcus_gordonii",0.736334405144695,0.648945891163032,0.648945891163032,0.850467289719626,0.692640148153863,0.936916366879263
"Propionibacterium_propionicum",0.842443729903537,0.648811388372762,0.648811388372762,0.844236760124611,0.745627559138149,0.870154784947468
