"","CoreAssociationScore","HealthAssociationScore","CHC_Score","CHC_Score_RankScaled","mean_score","reward_Score"
"Cardiobacterium_hominis",0.979865771812081,1,0.979865771812081,1,0.98993288590604,0.989830508474576
"Streptococcus_sanguinis",1,0.970551718567605,0.970551718567605,0.99601593625498,0.985275859283803,0.985055819060765
"Eikenella_corrodens",0.955257270693512,0.957155065767878,0.955257270693512,0.99203187250996,0.956206168230695,0.99900764336321
"Corynebacterium_durum",0.955257270693512,0.950632800129216,0.950632800129216,0.98804780876494,0.952945035411364,0.997573590085235
"Porphyromonas_catoniae",0.979865771812081,0.948697465677838,0.948697465677838,0.98406374501992,0.964281618744959,0.983838587437346
"Prevotella_loescheii",0.876957494407159,0.892817730848258,0.876957494407159,0.9800796812749,0.884887612627708,0.991038276378397
"Lautropia_mirabilis",0.876957494407159,0.970551718567605,0.876957494407159,0.974103585657371,0.923754606487382,0.949340320739324
"Capnocytophaga_ochracea",0.876957494407159,0.906738800195037,0.876957494407159,0.974103585657371,0.891848147301098,0.983303600574828
"Prevotella_oulorum",0.876957494407159,0.865462222770737,0.865462222770737,0.968127490039841,0.871209858588948,0.993402696535689
"Veillonella_parvula",0.825503355704698,0.904319825191693,0.825503355704698,0.960159362549801,0.864911590448195,0.954436690201971
"Gemella_morbillorum",0.825503355704698,0.916280812006276,0.825503355704698,0.960159362549801,0.870892083855487,0.947882488551451
"Aggregatibacter_segnis",0.825503355704698,0.970551718567605,0.825503355704698,0.960159362549801,0.898027537136152,0.9192405817947
"Capnocytophaga_sputigena",0.955257270693512,0.782945741125186,0.782945741125186,0.952191235059761,0.869101505909349,0.900868006558086
"Capnocytophaga_granulosa",0.935123042505593,0.782945741125186,0.782945741125186,0.944223107569721,0.859034391815389,0.911425373168813
"Capnocytophaga_leadbetteri",0.825503355704698,0.782945741125186,0.782945741125186,0.944223107569721,0.804224548414942,0.973541211429451
"Cardiobacterium_valvarum",0.785234899328859,0.782945741125186,0.782945741125186,0.944223107569721,0.784090320227023,0.998540245846288
"Actinomyces_naeslundii",0.825503355704698,0.782572349693948,0.782572349693948,0.936254980079681,0.804037852699323,0.973302870090866
"Leptotrichia_wadei",0.876957494407159,0.779629083102014,0.779629083102014,0.932270916334661,0.828293288754586,0.941247615653456
"Actinomyces_massiliensis",0.955257270693512,0.773024951078472,0.773024951078472,0.928286852589641,0.864141110885992,0.894558702670563
"Actinomyces_georgiae",0.785234899328859,0.773024951078472,0.773024951078472,0.924302788844621,0.779129925203665,0.992164369602929
"Campylobacter_showae",0.749440715883669,0.782945741125186,0.749440715883669,0.918326693227092,0.766193228504428,0.978135394574736
"Prevotella_saccharolytica",0.749440715883669,0.782945741125186,0.749440715883669,0.918326693227092,0.766193228504428,0.978135394574736
"Neisseria_flavescens",0.749440715883669,0.906738800195037,0.749440715883669,0.910358565737052,0.828089758039353,0.905023529886544
"Centipeda_periodontii",0.749440715883669,0.906738800195037,0.749440715883669,0.910358565737052,0.828089758039353,0.905023529886544
"Actinomyces_odontolyticus",0.914988814317673,0.748158041006249,0.748158041006249,0.904382470119522,0.831573427661961,0.899689691997204
"Rothia_aeria",0.979865771812081,0.733178421033334,0.733178421033334,0.900398406374502,0.856522096422707,0.855994753778657
"Neisseria_elongata",0.955257270693512,0.715300733597193,0.715300733597193,0.896414342629482,0.835279002145353,0.856361445409253
"Haemophilus_parainfluenzae",0.876957494407159,0.715300733597193,0.715300733597193,0.892430278884462,0.796129114002176,0.898473276528407
"Kingella_oralis",0.935123042505593,0.6938110364539,0.6938110364539,0.886454183266932,0.814467039479747,0.851858949254819
