"","HAC_Score_RankScaled","HACK_16s","HACK_WGS","HAC_Exposure"
"Fusobacterium_periodonticum",1,1,1,0.957746478873239
"Lachnoanaerobaculum_umeaense",0.997991967871486,0.964656964656965,0.37280701754386,0.944835680751174
"Campylobacter_concisus",0.995983935742972,0.966735966735967,0.982456140350877,0.872065727699531
"Porphyromonas_catoniae",0.993975903614458,0.995841995841996,0.355263157894737,0.872065727699531
"Actinomyces_graevenitzii",0.991967871485944,0.968814968814969,0.881578947368421,1
"Prevotella_pallens",0.98995983935743,0.958419958419958,0.956140350877193,0.983568075117371
"Prevotella_melaninogenica",0.987951807228916,0.993762993762994,0.942982456140351,0.983568075117371
"Alloprevotella_rava",0.985943775100402,0.941787941787942,0.848684210526316,0.697183098591549
"Eubacterium_sulci",0.983935742971888,0.933471933471933,0.995614035087719,0.970657276995305
"Veillonella_rogosae",0.981927710843373,0.991683991683992,0.640350877192982,0.872065727699531
"Prevotella_veroralis",0.979919678714859,0.962577962577963,0.964912280701754,0.957746478873239
"Catonella_morbi",0.977911646586345,0.95010395010395,0.543859649122807,0.697183098591549
"Prevotella_shahii",0.975903614457831,0.972972972972973,0.907894736842105,0.872065727699531
"Eubacterium_yurii",0.973895582329317,0.979209979209979,0.43859649122807,0.386150234741784
"Haemophilus_parainfluenzae",0.971887550200803,0.985446985446986,0.87719298245614,0.922535211267606
"Cardiobacterium_hominis",0.969879518072289,0.981288981288981,0.837719298245614,0.906103286384977
"Neisseria_elongata",0.967871485943775,0.977130977130977,0.81140350877193,0.872065727699531
"Capnocytophaga_gingivalis",0.965863453815261,0.983367983367983,0.890350877192982,0.805164319248826
"Campylobacter_showae",0.963855421686747,0.970893970893971,0.763157894736842,0.805164319248826
"Leptotrichia_buccalis",0.961847389558233,0.997920997920998,0.815789473684211,0.676056338028169
"Leptotrichia_hofstadii",0.959839357429719,0.937629937629938,0.868421052631579,0.929577464788732
"Lachnoanaerobaculum_saburreum",0.957831325301205,0.862785862785863,0.802631578947368,0.990610328638498
"Streptococcus_lactarius",0.955823293172691,0.960498960498961,NA,0
"Prevotella_aurantiaca",0.953815261044177,0.945945945945946,NA,0.386150234741784
"Capnocytophaga_leadbetteri",0.951807228915663,0.98960498960499,0.789473684210526,0.727699530516432
"Cardiobacterium_valvarum",0.949799196787149,0.943866943866944,0.491228070175439,0
"Actinomyces_odontolyticus",0.947791164658635,0.866943866943867,0.934210526315789,0.970657276995305
"Haemophilus_pittmaniae",0.94578313253012,0.914760914760915,0.359649122807018,0.872065727699531
"Leptotrichia_wadei",0.943775100401606,0.704781704781705,0.820175438596491,0.997652582159624
"Oribacterium_sinus",0.941767068273092,0.920997920997921,0.896929824561403,0.983568075117371
"Propionibacterium_propionicum",0.939759036144578,0.935550935550936,0.223684210526316,0
"Leptotrichia_goodfellowii",0.937751004016064,0.952182952182952,0.0043859649122807,0.892018779342723
"Prevotella_oulorum",0.93574297188755,0.883575883575884,0.144736842105263,0.992957746478873
"Prevotella_salivae",0.933734939759036,0.898128898128898,0.807017543859649,0.805164319248826
"Prevotella_loescheii",0.931726907630522,0.987525987525988,0.543859649122807,0.805164319248826
"Neisseria_meningitidis",0.929718875502008,0.918918918918919,NA,0.386150234741784
"Leptotrichia_hongkongensis",0.927710843373494,0.781704781704782,NA,0.929577464788732
"Eubacterium_infirmum",0.92570281124498,0.646569646569647,0.903508771929825,0.97887323943662
"Streptococcus_mutans",0.923694779116466,0.881496881496882,0.37719298245614,0.970657276995305
"Orientia_tsutsugamushi",0.921686746987952,0.916839916839917,NA,0
"Actinomyces_massiliensis",0.919678714859438,0.925155925155925,0.307017543859649,0
"Neisseria_oralis",0.917670682730924,0.858627858627859,NA,0
"Streptobacillus_moniliformis",0.91566265060241,0.887733887733888,NA,0.805164319248826
"Neisseria_flavescens",0.913654618473896,0.975051975051975,0.684210526315789,0.929577464788732
"Gemella_sanguinis",0.911646586345382,0.82952182952183,0.973684210526316,0.747652582159624
"Corynebacterium_durum",0.909638554216867,0.929313929313929,0.171052631578947,0.988262910798122
"Porphyromonas_gingivalis",0.907630522088353,0.93970893970894,0.675438596491228,0.872065727699531
"Peptococcus_niger",0.905622489959839,0.879417879417879,NA,0.805164319248826
"Actinomyces_meyeri",0.903614457831325,0.852390852390852,0.635964912280702,0.906103286384977
"Corynebacterium_matruchotii",0.901606425702811,0.956340956340956,0.728070175438597,0.713615023474178
"Haemophilus_sputorum",0.899598393574297,0.869022869022869,0.43859649122807,0.872065727699531
"Streptococcus_australis",0.897590361445783,0.767151767151767,0.951754385964912,0.906103286384977
"Leptotrichia_trevisanii",0.895582329317269,0.954261954261954,NA,0.944835680751174
"Veillonella_tobetsuensis",0.893574297188755,0.837837837837838,0.657894736842105,0.386150234741784
"Neisseria_subflava",0.891566265060241,0.896049896049896,0.732456140350877,0.805164319248826
"Stomatobaculum_longum",0.889558232931727,0.931392931392931,0.896929824561403,0.747652582159624
"Treponema_vincentii",0.887550200803213,0.85031185031185,0.776315789473684,0.727699530516432
"Aggregatibacter_segnis",0.885542168674699,0.908523908523909,0.614035087719298,0.711267605633803
"Shuttleworthia_satelles",0.883534136546185,0.844074844074844,0.346491228070175,0
"Veillonella_sp_T11011_6",0.881526104417671,NA,0.991228070175439,NA
"Atopobium_parvulum",0.879518072289157,0.875259875259875,0.916666666666667,0.747652582159624
"Capnocytophaga_sputigena",0.877510040160643,0.88981288981289,0.828947368421053,0.805164319248826
"Kingella_oralis",0.875502008032129,0.927234927234927,0.714912280701754,0.970657276995305
"Prevotella_maculosa",0.873493975903614,0.910602910602911,0.151315789473684,0.957746478873239
"Selenomonas_dianae",0.8714859437751,0.860706860706861,NA,0.681924882629108
"Solobacterium_moorei",0.869477911646586,0.891891891891892,0.793859649122807,0.805164319248826
"Prevotella_micans",0.867469879518072,0.871101871101871,0.157894736842105,0
"Rothia_aeria",0.865461847389558,0.948024948024948,0.692982456140351,0.707746478873239
"Capnocytophaga_haemolytica",0.863453815261044,0.854469854469854,0.603070175438597,0
"Neisseria_mucosa",0.86144578313253,0.9002079002079,0.0263157894736842,0.970657276995305
"Lachnospiraceae_bacterium_oral_taxon_096",0.859437751004016,NA,0.960526315789474,NA
"Haemophilus_haemolyticus",0.857429718875502,0.841995841995842,0.710526315789474,0.386150234741784
"Veillonella_parvula",0.855421686746988,0.923076923076923,0.706140350877193,0.944835680751174
"Kingella_denitrificans",0.853413654618474,0.825363825363825,0.385964912280702,0.386150234741784
"Planobacterium_taklimakanense",0.85140562248996,0.893970893970894,NA,0
"Dialister_invisus",0.849397590361446,0.904365904365904,0.138157894736842,0.92018779342723
"Prevotella_nigrescens",0.847389558232932,0.821205821205821,0.662280701754386,0.944835680751174
"Capnocytophaga_ochracea",0.845381526104418,0.906444906444906,0.68859649122807,0.872065727699531
"Tannerella_forsythia",0.843373493975904,0.873180873180873,0.736842105263158,0.805164319248826
"Treponema_amylovorum",0.84136546184739,0.773388773388773,NA,0.872065727699531
"Aggregatibacter_aphrophilus",0.839357429718876,0.856548856548857,0.201754385964912,0.805164319248826
"Anaeroglobus_geminatus",0.837349397590361,0.827442827442827,0.543859649122807,0.727699530516432
"Haemophilus_parahaemolyticus",0.835341365461847,0.877338877338877,0.390350877192982,0
"Alloprevotella_tannerae",0.833333333333333,0.885654885654886,0.745614035087719,0.703051643192488
"Prevotella_stercorea",0.831325301204819,0.804573804573805,NA,0.386150234741784
"Streptococcus_peroris",0.829317269076305,0.69022869022869,0.491228070175439,0.906103286384977
"Brachymonas_denitrificans",0.827309236947791,0.823284823284823,NA,0.386150234741784
"Prevotella_denticola",0.825301204819277,0.711018711018711,0.861842105263158,0.929577464788732
"Prevotella_nanceiensis",0.823293172690763,0.750519750519751,NA,0.995305164319249
"Streptococcus_sanguinis",0.821285140562249,0.902286902286902,0.697368421052632,0.805164319248826
"Megasphaera_micronuciformis",0.819277108433735,0.912681912681913,0.798245614035088,0.805164319248826
"Catenibacterium_mitsuokai",0.817269076305221,0.835758835758836,NA,0.386150234741784
"Campylobacter_rectus",0.815261044176707,0.451143451143451,0.653508771929825,0
"Treponema_lecithinolyticum",0.813253012048193,0.681912681912682,0.337719298245614,0.906103286384977
"Prevotella_enoeca",0.811244979919679,0.752598752598753,0.491228070175439,0
"Mogibacterium_diversum",0.808232931726908,0.731808731808732,0.925438596491228,0.386150234741784
"Veillonella_infantium",0.808232931726908,NA,0.929824561403509,NA
"Klebsiella_pneumoniae",0.805220883534137,0.596673596673597,0.491228070175439,0.805164319248826
"Prevotella_sp_oral_taxon_306",0.803212851405622,NA,0.947368421052632,NA
"Campylobacter_gracilis",0.801204819277108,0.812889812889813,0.197368421052632,0.805164319248826
"Treponema_socranskii",0.799196787148594,0.794178794178794,0.328947368421053,0.727699530516432
"Leptotrichia_shahii",0.79718875502008,0.806652806652807,NA,0.970657276995305
"Actinomyces_lingnae",0.795180722891566,0.833679833679834,NA,0.747652582159624
"Porphyromonas_endodontalis",0.793172690763052,0.814968814968815,0.785087719298246,0.805164319248826
"Olsenella_profusa",0.791164658634538,0.817047817047817,0.184210526315789,0.906103286384977
"Streptococcus_salivarius",0.789156626506024,0.623700623700624,0.986842105263158,0.727699530516432
"Olsenella_uli",0.78714859437751,0.677754677754678,0.609649122807018,0.805164319248826
"Capnocytophaga_granulosa",0.785140562248996,0.727650727650728,0.543859649122807,0.727699530516432
"Fretibacterium_fastidiosum",0.783132530120482,0.715176715176715,0.0833333333333333,0.872065727699531
"Aggregatibacter_sp_oral_taxon_458",0.781124497991968,NA,0.833333333333333,NA
"Soonwooa_buanensis",0.779116465863454,0.8004158004158,NA,0.386150234741784
"Neisseria_shayeganii",0.77710843373494,0.756756756756757,NA,0.386150234741784
"Prevotella_histicola",0.775100401606426,0.738045738045738,0.885964912280702,0.805164319248826
"Sneathia_sanguinegens",0.773092369477912,0.546777546777547,NA,0.805164319248826
"Treponema_pedis",0.771084337349398,0.742203742203742,NA,0.906103286384977
"Butyrivibrio_fibrisolvens",0.769076305220884,0.792099792099792,NA,0
"Oribacterium_parvum",0.767068273092369,NA,0.93859649122807,NA
"Bacteroides_intestinalis",0.765060240963855,0.798336798336798,NA,0.386150234741784
"Streptococcus_infantis",0.763052208835341,0.787941787941788,0.969298245614035,0
"Prevotella_copri",0.761044176706827,0.810810810810811,NA,0.805164319248826
"Neisseria_bacilliformis",0.759036144578313,0.671517671517671,0.276315789473684,0.386150234741784
"Neisseria_canis",0.757028112449799,0.831600831600832,0.491228070175439,0
"Johnsonella_ignava",0.755020080321285,0.77962577962578,0.412280701754386,0.386150234741784
"Actinomyces_georgiae",0.753012048192771,0.775467775467775,0.206140350877193,0
"Prevotella_pleuritidis",0.751004016064257,0.615384615384615,0.848684210526316,0.690140845070423
"Eubacterium_brachy",0.748995983935743,0.760914760914761,0.649122807017544,0.906103286384977
"Actinobacillus_rossii",0.746987951807229,0.771309771309771,NA,0
"Peptostreptococcus_stomatis",0.744979919678715,0.656964656964657,0.723684210526316,0.944835680751174
"Treponema_denticola",0.742971887550201,0.754677754677755,0.219298245614035,0.872065727699531
"Selenomonas_infelix",0.740963855421687,0.686070686070686,0.543859649122807,0.805164319248826
"Actinomyces_sp_HMSC035G02",0.738955823293173,NA,0.861842105263158,NA
"Filifactor_alocis",0.736947791164659,0.846153846153846,0.232456140350877,0.727699530516432
"Veillonella_denticariosi",0.734939759036145,0.688149688149688,0.412280701754386,0
"Selenomonas_noxia",0.732931726907631,0.864864864864865,0.236842105263158,0.678403755868545
"Eggerthia_catenaformis",0.730923694779116,0.465696465696466,0.320175438596491,0.805164319248826
"Prevotella_saccharolytica",0.728915662650602,0.796257796257796,0.0482456140350877,0.906103286384977
