"","SalivaSputum","TongueTonsil","Supragingival","Subgingival"
"Porphyromonas_catoniae",0.979166666666667,0,0.98406374501992,0.903426791277259
"Streptococcus_sanguinis",0.984375,0,0.99601593625498,0.956386292834891
"Cardiobacterium_hominis",0.958333333333333,0,1,0.937694704049844
"Rothia_aeria",0.981770833333333,0.928909952606635,0.900398406374502,0.928348909657321
"Corynebacterium_durum",0.971354166666667,0.928909952606635,0.98804780876494,0.97196261682243
"Centipeda_periodontii",0,0,0.910358565737052,0
"Actinomyces_georgiae",0,0,0.924302788844621,0
"Actinomyces_naeslundii",0,0,0.936254980079681,0
"Leptotrichia_wadei",0,0,0.932270916334661,0
"Prevotella_oulorum",0,0,0.968127490039841,0
"Gemella_morbillorum",0,0,0.960159362549801,0
"Eikenella_corrodens",0,0,0.99203187250996,0
"Prevotella_loescheii",0,0,0.9800796812749,0
"Lautropia_mirabilis",0,0.928909952606635,0.974103585657371,0.97196261682243
"Actinomyces_massiliensis",0,0,0.928286852589641,0.919003115264797
"Prevotella_saccharolytica",0,0,0.918326693227092,0.912772585669782
"Capnocytophaga_leadbetteri",0,0,0.944223107569721,0.987538940809969
"Capnocytophaga_sputigena",0,0,0.952191235059761,0.97196261682243
"Capnocytophaga_granulosa",0,0,0.944223107569721,0.97196261682243
"Capnocytophaga_ochracea",0,0,0.974103585657371,0.950155763239875
"Veillonella_parvula",0,0,0.960159362549801,0.928348909657321
"Streptococcus_sp_A12",0,0.928909952606635,0,0
"Actinomyces_sp_ICM47",0,0.928909952606635,0,0
"Prevotella_oris",0,0.928909952606635,0,0
"Planobacterium_taklimakanense",0,0.928909952606635,0,0
"Campylobacter_mucosalis",0,0.928909952606635,0,0
"Mogibacterium_diversum",0,1,0,0
"Prevotella_jejuni",0,0.981042654028436,0,0
"Rothia_dentocariosa",0,0.964454976303318,0,0
"Rothia_mucilaginosa",0,0.964454976303318,0,0
"Oribacterium_sinus",0,0.964454976303318,0,0
"Neisseria_flavescens",0.989583333333333,0.988151658767773,0.910358565737052,0
"Prevotella_nigrescens",0.908854166666667,0.928909952606635,0,0
"Alloprevotella_rava",0.973958333333333,0.995260663507109,0,0
"Eubacterium_sulci",0.9609375,0.988151658767773,0,0
"Campylobacter_concisus",0.994791666666667,0.964454976303318,0,0
"Lachnoanaerobaculum_saburreum",0.96875,0.964454976303318,0,0
"Veillonella_rogosae",0.963541666666667,0.964454976303318,0,0
"Kingella_oralis",0.950520833333333,0,0,0.993769470404984
"Capnocytophaga_gingivalis",0.932291666666667,0,0,1
"Corynebacterium_matruchotii",0,0,0,0.94392523364486
"Streptococcus_mitis",0,0,0,0.903426791277259
"Aggregatibacter_segnis",0.9765625,0,0.960159362549801,0
"Cardiobacterium_valvarum",0.90625,0,0.944223107569721,0
"Campylobacter_showae",0.927083333333333,0,0.918326693227092,0
"Actinomyces_odontolyticus",0.919270833333333,0,0.904382470119522,0
"Propionibacterium_propionicum",0.90234375,0,0,0
"Neisseria_mucosa",0.90234375,0,0,0
"Haemophilus_sputorum",0.916666666666667,0,0,0
"Haemophilus_pittmaniae",0.912760416666667,0,0,0
"Treponema_vincentii",0.912760416666667,0,0,0
"Treponema_socranskii",0.934895833333333,0,0,0
"Streptococcus_thermophilus",0.940104166666667,0,0,0
"Eubacterium_yurii",0.9375,0,0,0
"Campylobacter_gracilis",0.9296875,0,0,0
"Leptotrichia_hofstadii",0.924479166666667,0,0,0
"Leptotrichia_buccalis",0.921875,0,0,0
"Fusobacterium_periodonticum",1,0,0,0
"Haemophilus_parainfluenzae",0.997395833333333,0,0,0
"Lachnoanaerobaculum_umeaense",0.9921875,0,0,0
"Actinomyces_graevenitzii",0.986979166666667,0,0,0
"Catonella_morbi",0.966145833333333,0,0,0
"Prevotella_melaninogenica",0.955729166666667,0,0,0
"Prevotella_pallens",0.953125,0,0,0
"Prevotella_veroralis",0.947916666666667,0,0,0
"Prevotella_shahii",0.944010416666667,0,0,0
"Neisseria_elongata",0.944010416666667,0,0,0
