Porphyromonas catoniae
Cardiobacterium hominis
Campylobacter showae
Capnocytophaga leadbetteri
Cardiobacterium valvarum
Actinomyces odontolyticus
Leptotrichia wadei
Prevotella oulorum
Prevotella loescheii
Actinomyces massiliensis
Neisseria flavescens
Corynebacterium durum
Aggregatibacter segnis
Capnocytophaga sputigena
Rothia aeria
Veillonella parvula
Capnocytophaga ochracea
Streptococcus sanguinis
Eikenella corrodens
Lautropia mirabilis
Gemella morbillorum
Capnocytophaga granulosa
Actinomyces naeslundii
Actinomyces georgiae
Prevotella saccharolytica
Centipeda periodontii
