"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","Taxa"
"Fusobacterium_periodonticum",0.991780821917808,0.983127787532038,0.999293530337027,"Fusobacterium_periodonticum"
"Lachnoanaerobaculum_umeaense",0.923287671232877,0.947371193315977,0.905526149597593,"Lachnoanaerobaculum_umeaense"
"Campylobacter_concisus",0.965753424657534,0.946760206655769,0.887426757778014,"Campylobacter_concisus"
"Porphyromonas_catoniae",0.984931506849315,0.878976004520595,0.908063163006729,"Porphyromonas_catoniae"
"Actinomyces_graevenitzii",0.965753424657534,0.913006296542956,0.847138018157927,"Actinomyces_graevenitzii"
"Prevotella_pallens",0.994520547945206,0.817064640471433,0.968551124050972,"Prevotella_pallens"
"Prevotella_melaninogenica",0.984931506849315,0.818661883715768,0.940485937799142,"Prevotella_melaninogenica"
"Alloprevotella_rava",0.850684931506849,0.872211055276382,0.871231516550112,"Alloprevotella_rava"
"Eubacterium_sulci",0.894520547945206,0.829147746765958,0.995550013841472,"Eubacterium_sulci"
"Veillonella_rogosae",0.83013698630137,0.954500312809025,0.888058643412226,"Veillonella_rogosae"
"Prevotella_veroralis",0.916438356164384,0.813351799156425,0.988286548093493,"Prevotella_veroralis"
"Catonella_morbi",0.878082191780822,0.831847591370507,0.834348443771998,"Catonella_morbi"
"Prevotella_shahii",0.80958904109589,0.861951423785595,0.974180955546584,"Prevotella_shahii"
"Eubacterium_yurii",0.76986301369863,0.981215918952191,0.934342997488828,"Eubacterium_yurii"
"Haemophilus_parainfluenzae",0.975342465753425,0.998191257492281,0.749326496933172,"Haemophilus_parainfluenzae"
"Cardiobacterium_hominis",0.821917808219178,0.981718835139553,0.829155187367296,"Cardiobacterium_hominis"
"Neisseria_elongata",0.80958904109589,0.915321486952836,0.821755441735963,"Neisseria_elongata"
"Capnocytophaga_gingivalis",0.928767123287671,0.763404774878408,0.898750306013062,"Capnocytophaga_gingivalis"
"Campylobacter_showae",0.757534246575343,0.879862868559666,0.908769614459707,"Campylobacter_showae"
"Leptotrichia_buccalis",0.872602739726027,0.742367762507316,0.918895035146531,"Leptotrichia_buccalis"
