"","Node1","Node2","Weight"
"30","Rothia_aeria","Leptotrichia_buccalis",1
"49","Butyrivibrio_hungatei","Actinomyces_odontolyticus",1
"111","Veillonella_dispar","Capnocytophaga_leadbetteri",-1
"121","Veillonella_rogosae","Prevotella_pallens",1
"124","Butyrivibrio_hungatei","Prevotella_pallens",1
"151","Prevotella_baroniae","Treponema_denticola",1
"161","Eubacterium_saphenum","Eubacterium_brachy",1
"168","Prevotella_baroniae","Eubacterium_brachy",1
"179","Eubacterium_saphenum","Porphyromonas_endodontalis",1
"180","Leptotrichia_buccalis","Porphyromonas_endodontalis",1
"186","Prevotella_baroniae","Porphyromonas_endodontalis",1
"187","Capnocytophaga_leadbetteri","Porphyromonas_endodontalis",1
"189","Treponema_denticola","Porphyromonas_endodontalis",1
"190","Eubacterium_brachy","Porphyromonas_endodontalis",1
"199","Leptotrichia_buccalis","Eubacterium_yurii",1
"203","Neisseria_cinerea","Eubacterium_yurii",1
"205","Prevotella_baroniae","Eubacterium_yurii",1
"206","Capnocytophaga_leadbetteri","Eubacterium_yurii",1
"208","Treponema_denticola","Eubacterium_yurii",1
"210","Porphyromonas_endodontalis","Eubacterium_yurii",1
"226","Capnocytophaga_leadbetteri","Prevotella_shahii",1
"262","Leptotrichia_buccalis","Prevotella_denticola",1
"268","Prevotella_baroniae","Prevotella_denticola",1
"271","Treponema_denticola","Prevotella_denticola",1
"273","Porphyromonas_endodontalis","Prevotella_denticola",1
"414","Eubacterium_saphenum","Dialister_invisus",1
"415","Leptotrichia_buccalis","Dialister_invisus",1
"421","Prevotella_baroniae","Dialister_invisus",1
"424","Treponema_denticola","Dialister_invisus",1
"426","Porphyromonas_endodontalis","Dialister_invisus",1
"427","Eubacterium_yurii","Dialister_invisus",1
"430","Prevotella_denticola","Dialister_invisus",1
"473","Eubacterium_saphenum","Prevotella_enoeca",1
"480","Prevotella_baroniae","Prevotella_enoeca",1
"483","Treponema_denticola","Prevotella_enoeca",1
"485","Porphyromonas_endodontalis","Prevotella_enoeca",1
"489","Prevotella_denticola","Prevotella_enoeca",1
"601","Veillonella_dispar","Lachnoanaerobaculum_orale",1
"606","Actinomyces_odontolyticus","Lachnoanaerobaculum_orale",1
"612","Prevotella_pallens","Lachnoanaerobaculum_orale",1
"677","Actinomyces_odontolyticus","Orientia_tsutsugamushi",1
"683","Prevotella_pallens","Orientia_tsutsugamushi",1
"877","Capnocytophaga_leadbetteri","Bergeyella_zoohelcum",1
"950","Butyrivibrio_hungatei","Prevotella_salivae",1
"952","Veillonella_dispar","Prevotella_salivae",1
"963","Prevotella_pallens","Prevotella_salivae",1
"982","Lachnoanaerobaculum_orale","Prevotella_salivae",1
"984","Orientia_tsutsugamushi","Prevotella_salivae",1
"1096","Prevotella_baroniae","Eubacterium_nodatum",1
"1099","Treponema_denticola","Eubacterium_nodatum",1
"1100","Eubacterium_brachy","Eubacterium_nodatum",1
"1101","Porphyromonas_endodontalis","Eubacterium_nodatum",1
"1105","Prevotella_denticola","Eubacterium_nodatum",1
"1111","Dialister_invisus","Eubacterium_nodatum",1
"1290","Prevotella_baroniae","Anaeroglobus_geminatus",1
"1293","Treponema_denticola","Anaeroglobus_geminatus",1
"1295","Porphyromonas_endodontalis","Anaeroglobus_geminatus",1
"1299","Prevotella_denticola","Anaeroglobus_geminatus",1
"1305","Dialister_invisus","Anaeroglobus_geminatus",1
"1307","Prevotella_enoeca","Anaeroglobus_geminatus",1
"1341","Prevotella_baroniae","Olsenella_uli",1
"1344","Treponema_denticola","Olsenella_uli",1
"1345","Eubacterium_brachy","Olsenella_uli",1
"1346","Porphyromonas_endodontalis","Olsenella_uli",1
"1350","Prevotella_denticola","Olsenella_uli",1
"1356","Dialister_invisus","Olsenella_uli",1
"1374","Eubacterium_nodatum","Olsenella_uli",1
"1378","Anaeroglobus_geminatus","Olsenella_uli",1
"1402","Prevotella_denticola","Lactobacillus_johnsonii",1
"1435","Butyrivibrio_hungatei","Prevotella_veroralis",1
"1448","Prevotella_pallens","Prevotella_veroralis",1
"1455","Prevotella_denticola","Prevotella_veroralis",1
"1463","Prevotella_enoeca","Prevotella_veroralis",1
"1476","Prevotella_salivae","Prevotella_veroralis",1
"1515","Dialister_invisus","Dialister_propionicifaciens",1
"1542","Rothia_aeria","Rothia_dentocariosa",1
"1559","Eubacterium_brachy","Rothia_dentocariosa",1
"1564","Prevotella_denticola","Rothia_dentocariosa",1
"1568","Actinomyces_oris","Rothia_dentocariosa",1
"1577","Bacillus_pumilus","Rothia_dentocariosa",1
"1614","Treponema_denticola","Mycoplasma_faucium",1
"1616","Porphyromonas_endodontalis","Mycoplasma_faucium",1
"1626","Dialister_invisus","Mycoplasma_faucium",1
"1648","Anaeroglobus_geminatus","Mycoplasma_faucium",1
"1845","Prevotella_baroniae","Prevotella_dentalis",1
"1848","Treponema_denticola","Prevotella_dentalis",1
"1850","Porphyromonas_endodontalis","Prevotella_dentalis",1
"1854","Prevotella_denticola","Prevotella_dentalis",1
"1878","Eubacterium_nodatum","Prevotella_dentalis",1
"2036","Porphyromonas_endodontalis","Peptococcus_niger",1
"2037","Eubacterium_yurii","Peptococcus_niger",1
"2046","Dialister_invisus","Peptococcus_niger",1
"2167","Prevotella_shahii","Treponema_refringens",1
"2213","Rothia_aeria","Treponema_pedis",1
"2219","Eubacterium_saphenum","Treponema_pedis",1
"2220","Leptotrichia_buccalis","Treponema_pedis",1
"2226","Prevotella_baroniae","Treponema_pedis",1
"2229","Treponema_denticola","Treponema_pedis",1
"2230","Eubacterium_brachy","Treponema_pedis",1
"2231","Porphyromonas_endodontalis","Treponema_pedis",1
"2235","Prevotella_denticola","Treponema_pedis",1
"2241","Dialister_invisus","Treponema_pedis",1
"2243","Prevotella_enoeca","Treponema_pedis",1
"2259","Eubacterium_nodatum","Treponema_pedis",1
"2263","Anaeroglobus_geminatus","Treponema_pedis",1
"2264","Olsenella_uli","Treponema_pedis",1
"2269","Mycoplasma_faucium","Treponema_pedis",1
