"","species","ClusterID"
"1","Rothia_aeria",4
"2","Leptotrichia_buccalis",4
"3","Butyrivibrio_hungatei",1
"4","Actinomyces_odontolyticus",1
"5","Veillonella_dispar",2
"6","Capnocytophaga_leadbetteri",4
"7","Veillonella_rogosae",1
"8","Prevotella_pallens",1
"9","Prevotella_baroniae",6
"10","Treponema_denticola",6
"11","Eubacterium_saphenum",6
"12","Eubacterium_brachy",6
"13","Porphyromonas_endodontalis",6
"14","Eubacterium_yurii",4
"15","Neisseria_cinerea",7
"16","Prevotella_shahii",5
"17","Prevotella_denticola",6
"18","Dialister_invisus",6
"19","Prevotella_enoeca",6
"20","Lachnoanaerobaculum_orale",1
"21","Orientia_tsutsugamushi",1
"22","Bergeyella_zoohelcum",4
"23","Prevotella_salivae",1
"24","Eubacterium_nodatum",6
"25","Anaeroglobus_geminatus",6
"26","Olsenella_uli",6
"27","Lactobacillus_johnsonii",2
"28","Prevotella_veroralis",2
"29","Dialister_propionicifaciens",6
"30","Rothia_dentocariosa",2
"31","Actinomyces_oris",2
"32","Bacillus_pumilus",8
"33","Mycoplasma_faucium",6
"34","Prevotella_dentalis",6
"35","Peptococcus_niger",4
"36","Treponema_refringens",5
"37","Treponema_pedis",6
"38","Campylobacter_curvus",6
"39","Schwartzia_succinivorans",6
"40","Mycoplasma_hyosynoviae",6
"41","Prevotella_marshii",6
"42","Treponema_parvum",6
"43","Lautropia_mirabilis",4
"44","Actinobaculum_massiliense",4
"45","Actinomyces_gerencseriae",4
"46","Neisseria_shayeganii",4
"47","Selenomonas_noxia",6
"48","Bifidobacterium_dentium",2
"49","Haemophilus_parainfluenzae",5
"50","Haemophilus_haemoglobinophilus",5
"51","Porphyromonas_gingivalis",6
"52","Streptococcus_sobrinus",2
"53","Bacteroides_intestinalis",5
"54","Filifactor_alocis",6
"55","Streptococcus_pneumoniae",3
"56","Treponema_bryantii",6
"57","Odoribacter_denticanis",6
"58","Bacteroides_heparinolyticus",6
"59","Rothia_mucilaginosa",2
"60","Lachnoanaerobaculum_saburreum",6
"61","Brachymonas_denitrificans",4
"62","Planobacterium_taklimakanense",5
"63","Prevotella_paludivivens",6
"64","Neisseria_sicca",4
"65","Streptococcus_gordonii",2
"66","Leptotrichia_hofstadii",4
"67","Corynebacterium_jeikeium",4
"68","Streptococcus_sanguinis",4
"69","Fusobacterium_periodonticum",5
"70","Prevotella_amnii",9
"71","Eubacterium_minutum",6
"72","Campylobacter_showae",4
"73","Tannerella_forsythia",6
"74","Bacteroides_zoogleoformans",6
"75","Kingella_potus",4
"76","Capnocytophaga_granulosa",4
"77","Neisseria_oralis",4
"78","Leptotrichia_hongkongensis",4
"79","Gemella_haemolysans",3
"80","Soonwooa_buanensis",3
"81","Slackia_exigua",6
"82","Actinomyces_viscosus",2
"83","Streptococcus_oralis",3
"84","Desulfovibrio_fairfieldensis",6
"85","Prevotella_multisaccharivorax",6
"86","Desulfobulbus_propionicus",6
"87","Cardiobacterium_valvarum",4
"88","Prevotella_pleuritidis",6
"89","Actinomyces_meyeri",2
"90","Desulfomicrobium_orale",6
"91","Howardella_ureilytica",6
"92","Propionibacterium_acidifaciens",2
"93","Parascardovia_denticolens",2
"94","Eubacterium_sulci",1
"95","Prevotella_scopos",1
"96","Mogibacterium_neglectum",10
"97","Desulfobulbus_rhabdoformis",6
"98","Streptococcus_parasanguinis",1
"99","Prevotella_oralis",6
"100","Actinomyces_graevenitzii",1
"101","Alloprevotella_rava",2
"102","Actinobacillus_porcinus",3
"103","Atopobium_parvulum",1
"104","Anaerovorax_odorimutans",5
"105","Treponema_amylovorum",6
"106","Prevotella_nanceiensis",5
"107","Wolinella_succinogenes",6
"108","Shuttleworthia_satelles",6
"109","Treponema_lecithinolyticum",6
"110","Streptococcus_intermedius",2
"111","Treponema_socranskii",6
"112","Pyramidobacter_piscolens",6
"113","Dialister_pneumosintes",6
"114","Streptococcus_agalactiae",6
"115","Peptoniphilus_lacrimalis",6
"116","Selenomonas_flueggei",6
"117","Peptostreptococcus_stomatis",5
"118","Corynebacterium_argentoratense",1
"119","Mycoplasma_salivarium",6
"120","Mobiluncus_curtisii",1
"121","Simonsiella_muelleri",4
"122","Prevotella_aurantiaca",5
"123","Leptotrichia_shahii",4
"124","Actinomyces_bowdenii",4
"125","Capnocytophaga_ochracea",4
"126","Gemella_sanguinis",1
"127","Prevotella_intermedia",6
"128","Sporanaerobacter_acetigenes",6
"129","Streptococcus_sinensis",6
"130","Prevotella_fusca",6
"131","Selenomonas_sputigena",6
"132","Actinomyces_hyovaginalis",6
"133","Selenomonas_ruminantium",6
"134","Bulleidia_extructa",6
"135","Haemophilus_parahaemolyticus",3
"136","Alloprevotella_tannerae",6
"137","Streptobacillus_moniliformis",4
"138","Actinomyces_oricola",6
"139","Actinomyces_georgiae",4
"140","Pasteurella_pneumotropica",4
"141","Actinomyces_lingnae",1
"142","Lactobacillus_salivarius",2
"143","Lactobacillus_ruminis",2
"144","Lactobacillus_reuteri",2
"145","Lactobacillus_crispatus",2
"146","Prevotella_maculosa",4
"147","Prevotella_ruminicola",6
"148","Alkaliphilus_crotonatoxidans",11
"149","Mannheimia_granulomatis",3
"150","Haemophilus_influenzae",3
"151","Streptococcus_oligofermentans",3
"152","Porphyromonas_gulae",6
"153","Veillonella_parvula",2
"154","Actinomyces_cardiffensis",6
"155","Capnocytophaga_sputigena",4
"156","Mobiluncus_mulieris",1
"157","Lactobacillus_vaginalis",2
"158","Mycoplasma_orale",5
"159","Treponema_medium",6
"160","Alysiella_crassa",12
"161","Natranaerovirga_hydrolytica",6
"162","Clostridium_aminobutyricum",4
"163","Selenomonas_infelix",4
"164","Neisseria_macacae",4
"165","Lactobacillus_fermentum",2
"166","Neisseria_elongata",4
"167","Oribacterium_sinus",1
"168","Campylobacter_mucosalis",1
"169","Solobacterium_moorei",1
"170","Eggerthia_catenaformis",6
"171","Clostridium_ultunense",6
"172","Veillonella_montpellierensis",13
