"","HAC_Score","HAC_Score_RankScaled","HAC_group"
"Fusobacterium_periodonticum",0.961771097029821,1,"group10"
"Solobacterium_moorei",0.93409585402192,0.997991967871486,"group10"
"Eubacterium_sulci",0.913087368508042,0.995983935742972,"group10"
"Actinomyces_graevenitzii",0.887417778548831,0.993975903614458,"group10"
"Gemella_sanguinis",0.863880848443032,0.991967871485944,"group10"
"Lachnoanaerobaculum_umeaense",0.8630010423637,0.98995983935743,"group10"
"Campylobacter_concisus",0.849267620605092,0.987951807228916,"group10"
"Prevotella_oulorum",0.847264080043338,0.985943775100402,"group10"
"Veillonella_parvula",0.832945697176178,0.983935742971888,"group10"
"Veillonella_rogosae",0.831047357401757,0.981927710843373,"group10"
"Cardiobacterium_hominis",0.82584763740975,0.979919678714859,"group10"
"Capnocytophaga_gingivalis",0.817526788569253,0.977911646586345,"group10"
"Neisseria_elongata",0.814521397594179,0.975903614457831,"group10"
"Prevotella_shahii",0.812917751348353,0.973895582329317,"group10"
"Haemophilus_parainfluenzae",0.805341835934648,0.971887550200803,"group10"
"Prevotella_melaninogenica",0.804294754721427,0.969879518072289,"group10"
"Leptotrichia_goodfellowii",0.797754768728342,0.967871485943775,"group10"
"Campylobacter_showae",0.785112111167363,0.965863453815261,"group10"
"Capnocytophaga_leadbetteri",0.78067019136141,0.963855421686747,"group10"
"Prevotella_salivae",0.76849925879975,0.961847389558233,"group10"
"Streptococcus_infantis",0.766902292379959,0.959839357429719,"group10"
"Prevotella_maculosa",0.763458247304251,0.957831325301205,"group10"
"Leptotrichia_hongkongensis",0.75776585399739,0.955823293172691,"group10"
"Atopobium_parvulum",0.757634165640786,0.953815261044177,"group10"
"Leptotrichia_hofstadii",0.752962000364454,0.951807228915663,"group10"
"Porphyromonas_catoniae",0.743411013144574,0.949799196787149,"group10"
"Haemophilus_pittmaniae",0.73496931760943,0.947791164658635,"group10"
"Prevotella_pallens",0.733283987587899,0.94578313253012,"group10"
"Streptococcus_lactarius",0.728289387757501,0.943775100401606,"group10"
"Actinomyces_odontolyticus",0.727663997670894,0.941767068273092,"group10"
"Oribacterium_sinus",0.726584096349492,0.939759036144578,"group10"
"Stomatobaculum_longum",0.726204730179862,0.937751004016064,"group10"
"Propionibacterium_propionicum",0.725085533378198,0.93574297188755,"group10"
"Prevotella_loescheii",0.719450231920249,0.933734939759036,"group10"
"Prevotella_aurantiaca",0.712426438798123,0.931726907630522,"group10"
"Cardiobacterium_valvarum",0.708239891748957,0.929718875502008,"group10"
"Capnocytophaga_ochracea",0.705355557021817,0.927710843373494,"group10"
"Neisseria_meningitidis",0.703923223502485,0.92570281124498,"group10"
"Prevotella_veroralis",0.702242035555096,0.923694779116466,"group10"
"Peptostreptococcus_stomatis",0.700130604137053,0.921686746987952,"group10"
"Alloprevotella_tannerae",0.698000225274247,0.919678714859438,"group10"
"Megasphaera_micronuciformis",0.690687192688365,0.917670682730924,"group10"
"Actinomyces_massiliensis",0.68231961041167,0.91566265060241,"group10"
"Capnocytophaga_granulosa",0.670953588627351,0.913654618473896,"group10"
"Neisseria_flavescens",0.667814857439003,0.911646586345382,"group10"
"Catonella_morbi",0.666468858659644,0.909638554216867,"group10"
"Corynebacterium_durum",0.664817589891584,0.907630522088353,"group10"
"Prevotella_histicola",0.663932948636018,0.905622489959839,"group10"
"Corynebacterium_matruchotii",0.662089397981891,0.903614457831325,"group10"
"Eubacterium_yurii",0.649556619321841,0.901606425702811,"group10"
"Orientia_tsutsugamushi",0.647939169314226,0.899598393574297,"group9"
"Mogibacterium_diversum",0.642214688316659,0.897590361445783,"group9"
"Haemophilus_sputorum",0.641688479350301,0.893574297188755,"group9"
"Prevotella_saccharolytica",0.641273223330547,0.891566265060241,"group9"
"Streptococcus_australis",0.640575107708471,0.889558232931727,"group9"
"Veillonella_tobetsuensis",0.635956350203144,0.885542168674699,"group9"
"Neisseria_subflava",0.629347132944859,0.883534136546185,"group9"
"Lachnoanaerobaculum_saburreum",0.627936891833595,0.881526104417671,"group9"
"Streptobacillus_moniliformis",0.624425472342973,0.879518072289157,"group9"
"Selenomonas_dianae",0.623079518343142,0.877510040160643,"group9"
"Shuttleworthia_satelles",0.61692046201154,0.873493975903614,"group9"
"Filifactor_alocis",0.616896512821422,0.8714859437751,"group9"
"Leptotrichia_trevisanii",0.613565901030319,0.869477911646586,"group9"
"Leptotrichia_buccalis",0.610677280010684,0.867469879518072,"group9"
"Capnocytophaga_sputigena",0.600404592476194,0.863453815261044,"group9"
"Veillonella_atypica",0.596477928223894,0.86144578313253,"group9"
"Leptotrichia_wadei",0.59417816240824,0.859437751004016,"group9"
"Neisseria_oralis",0.594130731626839,0.857429718875502,"group9"
"Tannerella_forsythia",0.59343077339285,0.855421686746988,"group9"
"Treponema_vincentii",0.591095508022028,0.853413654618474,"group9"
"Capnocytophaga_haemolytica",0.587926210894962,0.85140562248996,"group9"
"Rothia_aeria",0.586262921600756,0.849397590361446,"group9"
"Porphyromonas_gingivalis",0.582208475289406,0.847389558232932,"group9"
"Aggregatibacter_segnis",0.572924326011071,0.84136546184739,"group9"
"Atopobium_rimae",0.571639949417041,0.839357429718876,"group9"
"Selenomonas_noxia",0.570970971083642,0.837349397590361,"group9"
"Haemophilus_haemolyticus",0.564938191544715,0.835341365461847,"group9"
"Selenomonas_infelix",0.563734021789299,0.833333333333333,"group9"
"Schwartzia_succinivorans",0.56163499991214,0.831325301204819,"group9"
"Streptococcus_salivarius",0.556818814110246,0.825301204819277,"group9"
"Selenomonas_sputigena",0.556468304200427,0.823293172690763,"group9"
"Planobacterium_taklimakanense",0.556229551608069,0.821285140562249,"group9"
"Treponema_amylovorum",0.55502166968753,0.819277108433735,"group9"
"Prevotella_denticola",0.549937126101845,0.815261044176707,"group9"
"Aggregatibacter_aphrophilus",0.547516262586783,0.813253012048193,"group9"
"Dialister_invisus",0.545798587525726,0.811244979919679,"group9"
"Campylobacter_rectus",0.541718240184647,0.807228915662651,"group9"
"Prevotella_enoeca",0.540810804995223,0.805220883534137,"group9"
"Treponema_lecithinolyticum",0.538873535480142,0.803212851405622,"group9"
"Porphyromonas_endodontalis",0.538376912289622,0.801204819277108,"group9"
"Eubacterium_saphenum",0.534501899127259,0.799196787148594,"group8"
"Treponema_socranskii",0.533348343497701,0.79718875502008,"group8"
"Actinomyces_meyeri",0.531805311950644,0.795180722891566,"group8"
"Streptococcus_parasanguinis",0.527402139978776,0.793172690763052,"group8"
"Campylobacter_gracilis",0.526038098038933,0.789156626506024,"group8"
"Actinomyces_lingnae",0.520428943524952,0.785140562248996,"group8"
"Olsenella_profusa",0.512778932541,0.783132530120482,"group8"
"Streptococcus_peroris",0.504767605879826,0.779116465863454,"group8"
"Peptococcus_niger",0.502494639133038,0.77710843373494,"group8"
"Centipeda_periodontii",0.501728439239475,0.775100401606426,"group8"
"Slackia_exigua",0.50163455053522,0.773092369477912,"group8"
"Neisseria_shayeganii",0.501443132022788,0.771084337349398,"group8"
"Kingella_denitrificans",0.501111009642568,0.769076305220884,"group8"
"Treponema_pedis",0.499822594921634,0.767068273092369,"group8"
"Haemophilus_parahaemolyticus",0.499289818568401,0.765060240963855,"group8"
"Butyrivibrio_fibrisolvens",0.498121571779316,0.763052208835341,"group8"
"Brachymonas_denitrificans",0.497698981864938,0.761044176706827,"group8"
"Gemella_morbillorum",0.495644522991543,0.759036144578313,"group8"
"Treponema_denticola",0.495251158715541,0.757028112449799,"group8"
"Soonwooa_buanensis",0.495119363429875,0.755020080321285,"group8"
"Treponema_medium",0.485631691478564,0.753012048192771,"group8"
"Lautropia_mirabilis",0.47790249426428,0.751004016064257,"group8"
"Bulleidia_extructa",0.473927264440371,0.748995983935743,"group8"
"Streptococcus_mutans",0.46936270042461,0.746987951807229,"group8"
"Prevotella_pleuritidis",0.468288482010612,0.744979919678715,"group8"
