"","species","ClusterID"
"1","Streptococcus_vestibularis",4
"2","Veillonella_dispar",4
"3","Rothia_aeria",2
"4","Leptotrichia_buccalis",3
"5","Butyrivibrio_hungatei",4
"6","Actinomyces_odontolyticus",4
"7","Neisseria_sicca",2
"8","Prevotella_baroniae",3
"9","Veillonella_rogosae",2
"10","Capnocytophaga_leadbetteri",2
"11","Prevotella_pallens",4
"12","Treponema_denticola",3
"13","Bradyrhizobium_elkanii",3
"14","Eubacterium_saphenum",3
"15","Eubacterium_brachy",3
"16","Porphyromonas_endodontalis",3
"17","Eubacterium_yurii",2
"18","Acinetobacter_johnsonii",3
"19","Neisseria_cinerea",2
"20","Prevotella_shahii",2
"21","Actinomyces_howellii",4
"22","Prevotella_denticola",3
"23","Haemophilus_haemoglobinophilus",2
"24","Prevotella_scopos",4
"25","Actinomyces_oris",3
"26","Clostridium_ruminantium",5
"27","Megasphaera_elsdenii",5
"28","Dialister_invisus",3
"29","Granulicatella_adiacens",2
"30","Prevotella_enoeca",3
"31","Streptococcus_cristatus",3
"32","Veillonella_montpellierensis",3
"33","Moraxella_lacunata",2
"34","Lachnoanaerobaculum_orale",4
"35","Orientia_tsutsugamushi",4
"36","Terrahaemophilus_aromaticivorans",2
"37","Propionigenium_maris",4
"38","Mogibacterium_diversum",4
"39","Actinomyces_meyeri",3
"40","Bergeyella_zoohelcum",3
"41","Actinomyces_bowdenii",3
"42","Prevotella_salivae",4
"43","Actinobaculum_massiliense",3
"44","Mannheimia_granulomatis",2
"45","Aggregatibacter_actinomycetemcomitans",2
"46","Eubacterium_nodatum",3
"47","Planobacterium_taklimakanense",2
"48","Ornatilinea_apprima",3
"49","Neisseria_pharyngis",2
"50","Anaeroglobus_geminatus",3
"51","Olsenella_uli",3
"52","Lactobacillus_johnsonii",4
"53","Prevotella_veroralis",4
"54","Dialister_propionicifaciens",3
"55","Rothia_dentocariosa",4
"56","Bacillus_pumilus",2
"57","Mycoplasma_faucium",3
"58","Mycoplasma_hyosynoviae",3
"59","Azospira_oryzae",2
"60","Alysiella_crassa",2
"61","Prevotella_dentalis",3
"62","Corynebacterium_jeikeium",4
"63","Peptococcus_niger",2
"64","Treponema_refringens",2
"65","Acidithiobacillus_thiooxidans",2
"66","Treponema_pedis",3
"67","Campylobacter_curvus",3
"68","Prevotella_bivia",3
"69","Mycoplasma_feliminutum",3
"70","Streptococcus_pneumoniae",2
"71","Actinobacillus_minor",2
"72","Schwartzia_succinivorans",3
"73","Actinomyces_hyovaginalis",3
"74","Prevotella_marshii",3
"75","Treponema_parvum",3
"76","Lautropia_mirabilis",2
"77","Actinobacillus_rossii",2
"78","Actinomyces_gerencseriae",3
"79","Acinetobacter_baumannii",3
"80","Bacteroides_stercoris",5
"81","Neisseria_shayeganii",2
"82","Selenomonas_noxia",3
"83","Bifidobacterium_dentium",3
"84","Haemophilus_parainfluenzae",2
"85","Porphyromonas_gingivalis",3
"86","Streptococcus_sobrinus",4
"87","Bacteroides_acidifaciens",2
"88","Prevotella_amnii",2
"89","Streptococcus_agalactiae",4
"90","Treponema_bryantii",3
"91","Barnesiella_intestinihominis",5
"92","Bacteroides_intestinalis",2
"93","Filifactor_alocis",3
"94","Odoribacter_denticanis",3
"95","Bacteroides_heparinolyticus",3
"96","Rothia_mucilaginosa",2
"97","Lachnoanaerobaculum_saburreum",3
