"","species","ClusterID"
"1","Rothia_aeria",2
"2","Leptotrichia_buccalis",2
"3","Butyrivibrio_hungatei",5
"4","Actinomyces_odontolyticus",5
"5","Veillonella_dispar",5
"6","Prevotella_pallens",5
"7","Prevotella_baroniae",6
"8","Treponema_denticola",6
"9","Eubacterium_saphenum",6
"10","Eubacterium_brachy",6
"11","Porphyromonas_endodontalis",6
"12","Prevotella_shahii",4
"13","Prevotella_denticola",6
"14","Prevotella_scopos",5
"15","Actinomyces_oris",2
"16","Dialister_invisus",6
"17","Eubacterium_yurii",2
"18","Prevotella_enoeca",6
"19","Lachnoanaerobaculum_orale",5
"20","Orientia_tsutsugamushi",5
"21","Mogibacterium_diversum",5
"22","Actinomyces_meyeri",6
"23","Capnocytophaga_leadbetteri",2
"24","Bergeyella_zoohelcum",2
"25","Prevotella_salivae",5
"26","Actinobaculum_massiliense",2
"27","Eubacterium_nodatum",6
"28","Anaeroglobus_geminatus",6
"29","Olsenella_uli",6
"30","Prevotella_veroralis",5
"31","Dialister_propionicifaciens",6
"32","Rothia_dentocariosa",2
"33","Mycoplasma_faucium",6
"34","Prevotella_dentalis",6
"35","Peptococcus_niger",6
"36","Treponema_refringens",4
"37","Treponema_pedis",6
"38","Campylobacter_curvus",6
"39","Streptococcus_pneumoniae",3
"40","Schwartzia_succinivorans",6
"41","Prevotella_marshii",6
"42","Treponema_parvum",6
"43","Lautropia_mirabilis",2
"44","Neisseria_sicca",2
"45","Actinomyces_gerencseriae",2
"46","Neisseria_shayeganii",2
"47","Selenomonas_noxia",6
"48","Bifidobacterium_dentium",1
"49","Veillonella_rogosae",4
"50","Haemophilus_parainfluenzae",4
"51","Planobacterium_taklimakanense",4
"52","Actinobacillus_rossii",8
"53","Porphyromonas_gingivalis",6
"54","Mycoplasma_feliminutum",9
"55","Streptococcus_sobrinus",1
"56","Bacteroides_intestinalis",3
"57","Filifactor_alocis",6
"58","Ornatilinea_apprima",6
"59","Mycoplasma_hyosynoviae",6
"60","Odoribacter_denticanis",6
"61","Bacteroides_heparinolyticus",6
"62","Bacillus_pumilus",10
"63","Rothia_mucilaginosa",7
