"","Node1","Node2","Weight"
"33","Veillonella_dispar","Actinomyces_odontolyticus",1
"63","Leptotrichia_buccalis","Capnocytophaga_leadbetteri",1
"75","Actinomyces_odontolyticus","Prevotella_pallens",1
"152","Eubacterium_brachy","Eubacterium_yurii",1
"153","Porphyromonas_endodontalis","Eubacterium_yurii",1
"240","Actinomyces_odontolyticus","Prevotella_scopos",1
"311","Prevotella_baroniae","Dialister_invisus",1
"316","Eubacterium_brachy","Dialister_invisus",1
"319","Prevotella_shahii","Dialister_invisus",1
"440","Veillonella_dispar","Lachnoanaerobaculum_orale",1
"639","Actinomyces_odontolyticus","Prevotella_salivae",1
"643","Prevotella_pallens","Prevotella_salivae",1
"651","Prevotella_denticola","Prevotella_salivae",1
"792","Capnocytophaga_leadbetteri","Planobacterium_taklimakanense",1
"876","Treponema_denticola","Anaeroglobus_geminatus",1
"878","Porphyromonas_endodontalis","Anaeroglobus_geminatus",1
"887","Dialister_invisus","Anaeroglobus_geminatus",1
"889","Prevotella_enoeca","Anaeroglobus_geminatus",1
"898","Prevotella_salivae","Anaeroglobus_geminatus",1
"946","Anaeroglobus_geminatus","Olsenella_uli",1
"955","Actinomyces_odontolyticus","Lactobacillus_johnsonii",1
"1016","Dialister_invisus","Prevotella_veroralis",1
"1083","Rothia_aeria","Rothia_dentocariosa",1
"1105","Actinomyces_oris","Rothia_dentocariosa",1
"1289","Cloacibacterium_normanense","Corynebacterium_jeikeium",1
"1561","Prevotella_denticola","Schwartzia_succinivorans",1
"1605","Actinomyces_odontolyticus","Actinomyces_hyovaginalis",1
"1668","Treponema_denticola","Prevotella_marshii",1
"1670","Porphyromonas_endodontalis","Prevotella_marshii",1
"1699","Prevotella_veroralis","Prevotella_marshii",1
"1772","Rothia_aeria","Lautropia_mirabilis",1
"1773","Aggregatibacter_actinomycetemcomitans","Lautropia_mirabilis",1
"2084","Streptococcus_vestibularis","Bifidobacterium_dentium",1
"2154","Actinomyces_odontolyticus","Haemophilus_parainfluenzae",1
"2201","Streptococcus_pneumoniae","Haemophilus_parainfluenzae",1
"2218","Eubacterium_saphenum","Porphyromonas_gingivalis",1
"2226","Treponema_denticola","Porphyromonas_gingivalis",1
"2254","Anaeroglobus_geminatus","Porphyromonas_gingivalis",1
"2271","Treponema_parvum","Porphyromonas_gingivalis",1
"2419","Streptococcus_vestibularis","Bacteroides_acidifaciens",1
"2563","Eubacterium_saphenum","Filifactor_alocis",1
"2571","Treponema_denticola","Filifactor_alocis",1
