"","species","ClusterID"
"1","Veillonella_dispar",2
"2","Actinomyces_odontolyticus",2
"3","Leptotrichia_buccalis",1
"4","Capnocytophaga_leadbetteri",1
"5","Prevotella_pallens",2
"6","Eubacterium_brachy",3
"7","Eubacterium_yurii",3
"8","Porphyromonas_endodontalis",3
"9","Prevotella_scopos",2
"10","Prevotella_baroniae",3
"11","Dialister_invisus",3
"12","Prevotella_shahii",3
"13","Lachnoanaerobaculum_orale",2
"14","Prevotella_salivae",3
"15","Prevotella_denticola",3
"16","Planobacterium_taklimakanense",1
"17","Treponema_denticola",3
"18","Anaeroglobus_geminatus",3
"19","Prevotella_enoeca",3
"20","Olsenella_uli",3
"21","Lactobacillus_johnsonii",3
"22","Prevotella_veroralis",3
"23","Rothia_aeria",1
"24","Rothia_dentocariosa",1
"25","Actinomyces_oris",1
"26","Cloacibacterium_normanense",1
"27","Corynebacterium_jeikeium",1
"28","Schwartzia_succinivorans",3
"29","Actinomyces_hyovaginalis",2
"30","Prevotella_marshii",3
"31","Lautropia_mirabilis",1
"32","Aggregatibacter_actinomycetemcomitans",1
"33","Streptococcus_vestibularis",3
"34","Bifidobacterium_dentium",3
"35","Haemophilus_parainfluenzae",2
"36","Streptococcus_pneumoniae",2
"37","Eubacterium_saphenum",3
"38","Porphyromonas_gingivalis",3
"39","Treponema_parvum",3
"40","Bacteroides_acidifaciens",3
"41","Filifactor_alocis",3
"42","Neisseria_pharyngis",2
"43","Rothia_mucilaginosa",2
"44","Lachnoanaerobaculum_saburreum",3
"45","Selenomonas_noxia",3
"46","Pseudomonas_stutzeri",4
"47","Streptococcus_gordonii",2
"48","Leptotrichia_hofstadii",1
"49","Neisseria_sicca",1
"50","Streptococcus_sanguinis",1
"51","Granulicatella_adiacens",1
"52","Veillonella_rogosae",2
"53","Fusobacterium_periodonticum",2
"54","Campylobacter_showae",1
"55","Tannerella_forsythia",3
"56","Peptococcus_niger",3
"57","Capnocytophaga_granulosa",1
"58","Slackia_exigua",3
"59","Actinomyces_viscosus",1
"60","Streptococcus_oralis",2
"61","Gemella_haemolysans",2
"62","Cardiobacterium_valvarum",1
"63","Prevotella_pleuritidis",3
"64","Eubacterium_sulci",2
"65","Streptococcus_parasanguinis",2
"66","Prevotella_oralis",3
"67","Azospira_oryzae",3
"68","Actinomyces_graevenitzii",2
"69","Alloprevotella_rava",3
"70","Atopobium_parvulum",2
"71","Pasteurella_pneumotropica",1
"72","Treponema_amylovorum",3
"73","Prevotella_nanceiensis",2
"74","Shuttleworthia_satelles",3
