"","Node1","Node2","Weight"
"387","Prevotella_baroniae","Olsenella_uli",1
"436","Rothia_aeria","Rothia_dentocariosa",1
"832","Treponema_denticola","Filifactor_alocis",1
"834","Porphyromonas_endodontalis","Filifactor_alocis",1
"860","Porphyromonas_gingivalis","Filifactor_alocis",1
"892","Rothia_dentocariosa","Rothia_mucilaginosa",1
"1066","Rothia_dentocariosa","Streptococcus_sanguinis",1
"1070","Lautropia_mirabilis","Streptococcus_sanguinis",1
"1450","Actinomyces_oris","Actinomyces_viscosus",1
"1638","Filifactor_alocis","Prevotella_pleuritidis",1
"1798","Anaeroglobus_geminatus","Prevotella_oralis",1
"2033","Prevotella_denticola","Shuttleworthia_satelles",1
"2044","Anaeroglobus_geminatus","Shuttleworthia_satelles",1
"2292","Porphyromonas_endodontalis","Treponema_socranskii",1
"3191","Rothia_dentocariosa","Haemophilus_parahaemolyticus",1
"3328","Actinomyces_odontolyticus","Actinomyces_georgiae",1
"3577","Actinomyces_odontolyticus","Veillonella_parvula",1
"3587","Prevotella_denticola","Veillonella_parvula",1
"3593","Streptococcus_cristatus","Veillonella_parvula",1
"3596","Prevotella_salivae","Veillonella_parvula",1
"3609","Haemophilus_parainfluenzae","Veillonella_parvula",1
"3615","Streptococcus_gordonii","Veillonella_parvula",1
"3626","Streptococcus_oralis","Veillonella_parvula",1
"3656","Rothia_aeria","Capnocytophaga_sputigena",1
"3663","Neisseria_sicca","Capnocytophaga_sputigena",1
"3690","Lautropia_mirabilis","Capnocytophaga_sputigena",1
"4130","Lautropia_mirabilis","Neisseria_elongata",1
"4134","Haemophilus_parainfluenzae","Neisseria_elongata",1
"4152","Cardiobacterium_valvarum","Neisseria_elongata",1
"4298","Dialister_invisus","Solobacterium_moorei",1
"4662","Leptotrichia_buccalis","Campylobacter_concisus",1
"4742","Veillonella_parvula","Campylobacter_concisus",1
"5051","Rothia_aeria","Abiotrophia_defectiva",1
"5097","Streptococcus_sanguinis","Abiotrophia_defectiva",1
"5477","Prevotella_denticola","Campylobacter_gracilis",1
"5483","Streptococcus_cristatus","Campylobacter_gracilis",1
"5565","Veillonella_atypica","Campylobacter_gracilis",1
"5957","Selenomonas_flueggei","Prevotella_nigrescens",1
"6192","Capnocytophaga_sputigena","Eikenella_corrodens",1
"6322","Campylobacter_gracilis","Parvimonas_micra",1
"6454","Eubacterium_brachy","Fusobacterium_nucleatum",1
"6456","Eubacterium_yurii","Fusobacterium_nucleatum",1
"6547","Campylobacter_gracilis","Fusobacterium_nucleatum",1
"6554","Parvimonas_micra","Fusobacterium_nucleatum",1
"6938","Lautropia_mirabilis","Actinomyces_massiliensis",1
"6946","Rothia_mucilaginosa","Actinomyces_massiliensis",1
"7157","Prevotella_denticola","Prevotella_buccae",1
"7496","Fusobacterium_nucleatum","Mogibacterium_timidum",1
"7831","Haemophilus_parahaemolyticus","Propionibacterium_propionicum",1
"7837","Capnocytophaga_sputigena","Propionibacterium_propionicum",1
"7846","Granulicatella_elegans","Propionibacterium_propionicum",1
"7885","Capnocytophaga_leadbetteri","Neisseria_flavescens",1
"8342","Veillonella_parvula","Leptotrichia_wadei",1
"8354","Campylobacter_concisus","Leptotrichia_wadei",1
"8362","Campylobacter_gracilis","Leptotrichia_wadei",1
"8424","Haemophilus_parainfluenzae","Streptococcus_mitis",1
"8432","Streptococcus_sanguinis","Streptococcus_mitis",1
"8532","Prevotella_denticola","Prevotella_oris",1
"8535","Dialister_invisus","Prevotella_oris",1
"8543","Anaeroglobus_geminatus","Prevotella_oris",1
"8569","Slackia_exigua","Prevotella_oris",1
"8580","Shuttleworthia_satelles","Prevotella_oris",1
"8585","Dialister_pneumosintes","Prevotella_oris",1
"8609","Solobacterium_moorei","Prevotella_oris",1
"8625","Prevotella_nigrescens","Prevotella_oris",1
"8630","Fusobacterium_nucleatum","Prevotella_oris",1
"9127","Alloprevotella_tannerae","Eubacterium_infirmum",1
"9139","Solobacterium_moorei","Eubacterium_infirmum",1
"9155","Prevotella_nigrescens","Eubacterium_infirmum",1
"9428","Eikenella_corrodens","Prevotella_micans",1
"9454","Rothia_aeria","Kingella_denitrificans",1
"9540","Capnocytophaga_sputigena","Kingella_denitrificans",1
"9592","Rothia_aeria","Corynebacterium_durum",1
"9622","Rothia_dentocariosa","Corynebacterium_durum",1
"9634","Rothia_mucilaginosa","Corynebacterium_durum",1
"9638","Streptococcus_sanguinis","Corynebacterium_durum",1
"9678","Capnocytophaga_sputigena","Corynebacterium_durum",1
"9683","Neisseria_elongata","Corynebacterium_durum",1
"9710","Actinomyces_massiliensis","Corynebacterium_durum",1
"9901","Rothia_dentocariosa","Kingella_oralis",1
"9956","Veillonella_parvula","Kingella_oralis",1
"9957","Capnocytophaga_sputigena","Kingella_oralis",1
"9989","Actinomyces_massiliensis","Kingella_oralis",1
"10021","Capnocytophaga_leadbetteri","Cardiobacterium_hominis",1
"10068","Cardiobacterium_valvarum","Cardiobacterium_hominis",1
"10098","Capnocytophaga_sputigena","Cardiobacterium_hominis",1
"10103","Neisseria_elongata","Cardiobacterium_hominis",1
"10122","Corynebacterium_matruchotii","Cardiobacterium_hominis",1
"10162","Prevotella_baroniae","Fretibacterium_fastidiosum",1
"10165","Treponema_denticola","Fretibacterium_fastidiosum",1
"10167","Porphyromonas_endodontalis","Fretibacterium_fastidiosum",1
"10203","Tannerella_forsythia","Fretibacterium_fastidiosum",1
"10268","Fusobacterium_nucleatum","Fretibacterium_fastidiosum",1
"10275","Pseudoramibacter_alactolyticus","Fretibacterium_fastidiosum",1
"10523","Actinomyces_georgiae","Selenomonas_artemidis",1
"10538","Campylobacter_concisus","Selenomonas_artemidis",1
"10970","Neisseria_elongata","Aggregatibacter_segnis",1
"11253","Selenomonas_sputigena","Centipeda_periodontii",1
