"","species","ClusterID"
"1","Prevotella_baroniae",1
"2","Olsenella_uli",1
"3","Rothia_aeria",3
"4","Rothia_dentocariosa",3
"5","Treponema_denticola",1
"6","Filifactor_alocis",1
"7","Porphyromonas_endodontalis",1
"8","Porphyromonas_gingivalis",1
"9","Rothia_mucilaginosa",3
"10","Streptococcus_sanguinis",3
"11","Lautropia_mirabilis",3
"12","Actinomyces_oris",5
"13","Actinomyces_viscosus",5
"14","Prevotella_pleuritidis",1
"15","Anaeroglobus_geminatus",2
"16","Prevotella_oralis",2
"17","Prevotella_denticola",2
"18","Shuttleworthia_satelles",2
"19","Treponema_socranskii",1
"20","Haemophilus_parahaemolyticus",3
"21","Actinomyces_odontolyticus",4
"22","Actinomyces_georgiae",4
"23","Veillonella_parvula",4
"24","Streptococcus_cristatus",2
"25","Prevotella_salivae",2
"26","Haemophilus_parainfluenzae",3
"27","Streptococcus_gordonii",4
"28","Streptococcus_oralis",4
"29","Capnocytophaga_sputigena",3
"30","Neisseria_sicca",3
"31","Neisseria_elongata",3
"32","Cardiobacterium_valvarum",3
"33","Dialister_invisus",2
"34","Solobacterium_moorei",2
"35","Leptotrichia_buccalis",4
"36","Campylobacter_concisus",4
"37","Abiotrophia_defectiva",3
"38","Campylobacter_gracilis",2
"39","Veillonella_atypica",2
"40","Selenomonas_flueggei",2
"41","Prevotella_nigrescens",2
"42","Eikenella_corrodens",3
"43","Parvimonas_micra",2
"44","Eubacterium_brachy",2
"45","Fusobacterium_nucleatum",2
"46","Eubacterium_yurii",2
"47","Actinomyces_massiliensis",3
"48","Prevotella_buccae",2
"49","Mogibacterium_timidum",2
"50","Propionibacterium_propionicum",3
"51","Granulicatella_elegans",3
"52","Capnocytophaga_leadbetteri",3
"53","Neisseria_flavescens",3
"54","Leptotrichia_wadei",4
"55","Streptococcus_mitis",3
"56","Prevotella_oris",2
"57","Slackia_exigua",2
"58","Dialister_pneumosintes",2
"59","Alloprevotella_tannerae",2
"60","Eubacterium_infirmum",2
"61","Prevotella_micans",3
"62","Kingella_denitrificans",3
"63","Corynebacterium_durum",3
"64","Kingella_oralis",3
"65","Cardiobacterium_hominis",3
"66","Corynebacterium_matruchotii",3
"67","Fretibacterium_fastidiosum",1
"68","Tannerella_forsythia",1
"69","Pseudoramibacter_alactolyticus",1
"70","Selenomonas_artemidis",4
"71","Aggregatibacter_segnis",3
"72","Selenomonas_sputigena",2
"73","Centipeda_periodontii",2
"74","Actinomyces_naeslundii",3
"75","Capnocytophaga_gingivalis",3
"76","Prevotella_loescheii",2
"77","Prevotella_oulorum",2
"78","Atopobium_rimae",2
"79","Bifidobacterium_dentium",2
"80","Treponema_maltophilum",1
"81","Haemophilus_haemolyticus",3
"82","Johnsonella_ignava",1
