"","Node1","Node2","Weight"
"97","Veillonella_dispar","Prevotella_pallens",1
"136","Treponema_denticola","Eubacterium_brachy",1
"149","Prevotella_baroniae","Porphyromonas_endodontalis",1
"152","Treponema_denticola","Porphyromonas_endodontalis",1
"185","Capnocytophaga_leadbetteri","Prevotella_shahii",1
"271","Porphyromonas_endodontalis","Dialister_invisus",1
"534","Veillonella_dispar","Prevotella_salivae",1
"543","Prevotella_pallens","Prevotella_salivae",1
"556","Lachnoanaerobaculum_orale","Prevotella_salivae",1
"747","Veillonella_dispar","Prevotella_veroralis",1
"756","Prevotella_pallens","Prevotella_veroralis",1
"775","Prevotella_salivae","Prevotella_veroralis",1
"782","Rothia_aeria","Rothia_dentocariosa",1
"1083","Rothia_aeria","Streptococcus_pneumoniae",1
"1122","Rothia_dentocariosa","Streptococcus_pneumoniae",1
"1598","Rothia_aeria","Haemophilus_parainfluenzae",1
"1610","Capnocytophaga_leadbetteri","Haemophilus_parainfluenzae",1
"1632","Planobacterium_taklimakanense","Haemophilus_parainfluenzae",1
"1644","Streptococcus_pneumoniae","Haemophilus_parainfluenzae",1
"1648","Lautropia_mirabilis","Haemophilus_parainfluenzae",1
"1907","Treponema_denticola","Filifactor_alocis",1
"1909","Porphyromonas_endodontalis","Filifactor_alocis",1
"1950","Porphyromonas_gingivalis","Filifactor_alocis",1
"1978","Granulicatella_adiacens","Rothia_mucilaginosa",1
"1980","Streptococcus_cristatus","Rothia_mucilaginosa",1
"1994","Rothia_dentocariosa","Rothia_mucilaginosa",1
"2011","Haemophilus_parainfluenzae","Rothia_mucilaginosa",1
"2022","Veillonella_dispar","Lachnoanaerobaculum_saburreum",1
"2025","Leptotrichia_buccalis","Lachnoanaerobaculum_saburreum",1
"2031","Prevotella_pallens","Lachnoanaerobaculum_saburreum",1
"2047","Mogibacterium_diversum","Lachnoanaerobaculum_saburreum",1
"2050","Prevotella_salivae","Lachnoanaerobaculum_saburreum",1
"2056","Prevotella_veroralis","Lachnoanaerobaculum_saburreum",1
"2147","Rothia_aeria","Leptotrichia_hofstadii",1
"2159","Capnocytophaga_leadbetteri","Leptotrichia_hofstadii",1
"2204","Porphyromonas_gingivalis","Leptotrichia_hofstadii",1
"2369","Actinomyces_oris","Streptococcus_sanguinis",1
"2387","Rothia_dentocariosa","Streptococcus_sanguinis",1
"2410","Rothia_mucilaginosa","Streptococcus_sanguinis",1
"2429","Capnocytophaga_leadbetteri","Fusobacterium_periodonticum",1
"2473","Haemophilus_parainfluenzae","Fusobacterium_periodonticum",1
"2642","Capnocytophaga_leadbetteri","Capnocytophaga_granulosa",1
"3051","Streptococcus_pneumoniae","Gemella_haemolysans",1
"3426","Actinomyces_oris","Streptococcus_oralis",1
"3444","Rothia_dentocariosa","Streptococcus_oralis",1
"3451","Streptococcus_pneumoniae","Streptococcus_oralis",1
"3461","Haemophilus_parainfluenzae","Streptococcus_oralis",1
"3482","Gemella_haemolysans","Streptococcus_oralis",1
"3584","Capnocytophaga_leadbetteri","Cardiobacterium_valvarum",1
"3628","Haemophilus_parainfluenzae","Cardiobacterium_valvarum",1
"3637","Leptotrichia_hofstadii","Cardiobacterium_valvarum",1
"3644","Capnocytophaga_granulosa","Cardiobacterium_valvarum",1
"3654","Streptococcus_oralis","Cardiobacterium_valvarum",1
"4201","Prevotella_pallens","Eubacterium_sulci",1
"4217","Mogibacterium_diversum","Eubacterium_sulci",1
"4220","Prevotella_salivae","Eubacterium_sulci",1
"4257","Fusobacterium_periodonticum","Eubacterium_sulci",1
"4471","Veillonella_dispar","Actinomyces_graevenitzii",1
"4474","Leptotrichia_buccalis","Actinomyces_graevenitzii",1
"4499","Prevotella_salivae","Actinomyces_graevenitzii",1
"4530","Lachnoanaerobaculum_saburreum","Actinomyces_graevenitzii",1
"4575","Prevotella_pallens","Alloprevotella_rava",1
"4594","Prevotella_salivae","Alloprevotella_rava",1
"4600","Prevotella_veroralis","Alloprevotella_rava",1
"4625","Lachnoanaerobaculum_saburreum","Alloprevotella_rava",1
"4759","Veillonella_dispar","Atopobium_parvulum",1
"4781","Lachnoanaerobaculum_orale","Atopobium_parvulum",1
"4787","Prevotella_salivae","Atopobium_parvulum",1
"4793","Prevotella_veroralis","Atopobium_parvulum",1
"4810","Bifidobacterium_dentium","Atopobium_parvulum",1
"4818","Lachnoanaerobaculum_saburreum","Atopobium_parvulum",1
"4835","Slackia_exigua","Atopobium_parvulum",1
"4847","Streptococcus_parasanguinis","Atopobium_parvulum",1
"4849","Actinomyces_graevenitzii","Atopobium_parvulum",1
"5581","Treponema_denticola","Treponema_socranskii",1
"5812","Prevotella_salivae","Selenomonas_flueggei",1
"5877","Atopobium_parvulum","Selenomonas_flueggei",1
"6788","Rothia_aeria","Capnocytophaga_ochracea",1
"6800","Capnocytophaga_leadbetteri","Capnocytophaga_ochracea",1
"6803","Eubacterium_brachy","Capnocytophaga_ochracea",1
"6807","Prevotella_denticola","Capnocytophaga_ochracea",1
"6809","Actinomyces_oris","Capnocytophaga_ochracea",1
"6821","Eubacterium_nodatum","Capnocytophaga_ochracea",1
"6838","Lautropia_mirabilis","Capnocytophaga_ochracea",1
"6853","Leptotrichia_hofstadii","Capnocytophaga_ochracea",1
"6856","Streptococcus_sanguinis","Capnocytophaga_ochracea",1
"6859","Tannerella_forsythia","Capnocytophaga_ochracea",1
"6860","Capnocytophaga_granulosa","Capnocytophaga_ochracea",1
"6870","Streptococcus_oralis","Capnocytophaga_ochracea",1
"6872","Cardiobacterium_valvarum","Capnocytophaga_ochracea",1
"6881","Prevotella_oralis","Capnocytophaga_ochracea",1
"6888","Prevotella_nanceiensis","Capnocytophaga_ochracea",1
"6893","Treponema_socranskii","Capnocytophaga_ochracea",1
"6904","Veillonella_rogosae","Gemella_sanguinis",1
"6928","Granulicatella_adiacens","Gemella_sanguinis",1
"6967","Rothia_mucilaginosa","Gemella_sanguinis",1
"6974","Fusobacterium_periodonticum","Gemella_sanguinis",1
"6982","Gemella_haemolysans","Gemella_sanguinis",1
"6987","Streptococcus_oralis","Gemella_sanguinis",1
"7037","Treponema_denticola","Prevotella_intermedia",1
"7108","Prevotella_pleuritidis","Prevotella_intermedia",1
"7139","Capnocytophaga_ochracea","Prevotella_intermedia",1
"7275","Prevotella_pallens","Selenomonas_sputigena",1
"7294","Prevotella_salivae","Selenomonas_sputigena",1
"7300","Prevotella_veroralis","Selenomonas_sputigena",1
"7325","Lachnoanaerobaculum_saburreum","Selenomonas_sputigena",1
"7352","Selenomonas_ruminantium","Selenomonas_sputigena",1
"7355","Prevotella_oralis","Selenomonas_sputigena",1
"7359","Atopobium_parvulum","Selenomonas_sputigena",1
"7770","Prevotella_shahii","Alloprevotella_tannerae",1
"9467","Capnocytophaga_leadbetteri","Capnocytophaga_sputigena",1
"9472","Eubacterium_yurii","Capnocytophaga_sputigena",1
"9527","Capnocytophaga_granulosa","Capnocytophaga_sputigena",1
"9560","Treponema_socranskii","Capnocytophaga_sputigena",1
"9571","Capnocytophaga_ochracea","Capnocytophaga_sputigena",1
"10027","Treponema_denticola","Treponema_medium",1
"10074","Filifactor_alocis","Treponema_medium",1
"11032","Veillonella_dispar","Solobacterium_moorei",1
"11041","Prevotella_pallens","Solobacterium_moorei",1
"11060","Prevotella_salivae","Solobacterium_moorei",1
"11091","Lachnoanaerobaculum_saburreum","Solobacterium_moorei",1
"11119","Eubacterium_sulci","Solobacterium_moorei",1
"11125","Atopobium_parvulum","Solobacterium_moorei",1
"11136","Peptostreptococcus_stomatis","Solobacterium_moorei",1
"11175","Oribacterium_sinus","Solobacterium_moorei",1
"11634","Veillonella_dispar","Campylobacter_concisus",1
"11643","Prevotella_pallens","Campylobacter_concisus",1
"11656","Lachnoanaerobaculum_orale","Campylobacter_concisus",1
"11662","Prevotella_salivae","Campylobacter_concisus",1
"11693","Lachnoanaerobaculum_saburreum","Campylobacter_concisus",1
"11702","Capnocytophaga_granulosa","Campylobacter_concisus",1
"11724","Actinomyces_graevenitzii","Campylobacter_concisus",1
"11727","Atopobium_parvulum","Campylobacter_concisus",1
"11737","Selenomonas_flueggei","Campylobacter_concisus",1
"11750","Selenomonas_sputigena","Campylobacter_concisus",1
"11777","Oribacterium_sinus","Campylobacter_concisus",1
"11787","Veillonella_dispar","Prevotella_melaninogenica",1
"11796","Prevotella_pallens","Prevotella_melaninogenica",1
"11815","Prevotella_salivae","Prevotella_melaninogenica",1
"11877","Actinomyces_graevenitzii","Prevotella_melaninogenica",1
"11880","Atopobium_parvulum","Prevotella_melaninogenica",1
"11931","Solobacterium_moorei","Prevotella_melaninogenica",1
"11935","Campylobacter_concisus","Prevotella_melaninogenica",1
"11941","Veillonella_dispar","Megasphaera_micronuciformis",1
"11944","Leptotrichia_buccalis","Megasphaera_micronuciformis",1
"11945","Actinomyces_odontolyticus","Megasphaera_micronuciformis",1
"11950","Prevotella_pallens","Megasphaera_micronuciformis",1
"11963","Lachnoanaerobaculum_orale","Megasphaera_micronuciformis",1
"11969","Prevotella_salivae","Megasphaera_micronuciformis",1
"11975","Prevotella_veroralis","Megasphaera_micronuciformis",1
"11991","Selenomonas_noxia","Megasphaera_micronuciformis",1
"12000","Lachnoanaerobaculum_saburreum","Megasphaera_micronuciformis",1
"12017","Slackia_exigua","Megasphaera_micronuciformis",1
"12028","Eubacterium_sulci","Megasphaera_micronuciformis",1
"12031","Actinomyces_graevenitzii","Megasphaera_micronuciformis",1
"12032","Alloprevotella_rava","Megasphaera_micronuciformis",1
"12034","Atopobium_parvulum","Megasphaera_micronuciformis",1
"12044","Selenomonas_flueggei","Megasphaera_micronuciformis",1
"12056","Prevotella_fusca","Megasphaera_micronuciformis",1
"12057","Selenomonas_sputigena","Megasphaera_micronuciformis",1
"12085","Solobacterium_moorei","Megasphaera_micronuciformis",1
"12090","Prevotella_melaninogenica","Megasphaera_micronuciformis",1
"12254","Eubacterium_saphenum","Abiotrophia_defectiva",1
"12269","Actinomyces_oris","Abiotrophia_defectiva",1
"12316","Streptococcus_sanguinis","Abiotrophia_defectiva",1
"12320","Capnocytophaga_granulosa","Abiotrophia_defectiva",1
"12325","Gemella_haemolysans","Abiotrophia_defectiva",1
"12330","Streptococcus_oralis","Abiotrophia_defectiva",1
"12364","Capnocytophaga_ochracea","Abiotrophia_defectiva",1
"12371","Haemophilus_parahaemolyticus","Abiotrophia_defectiva",1
"12385","Capnocytophaga_sputigena","Abiotrophia_defectiva",1
"12389","Treponema_medium","Abiotrophia_defectiva",1
"12398","Granulicatella_elegans","Abiotrophia_defectiva",1
