"","species","ClusterID"
"1","Veillonella_dispar",4
"2","Prevotella_pallens",4
"3","Treponema_denticola",5
"4","Eubacterium_brachy",5
"5","Prevotella_baroniae",5
"6","Porphyromonas_endodontalis",5
"7","Capnocytophaga_leadbetteri",1
"8","Prevotella_shahii",2
"9","Dialister_invisus",5
"10","Prevotella_salivae",4
"11","Lachnoanaerobaculum_orale",4
"12","Prevotella_veroralis",4
"13","Rothia_aeria",1
"14","Rothia_dentocariosa",1
"15","Streptococcus_pneumoniae",1
"16","Haemophilus_parainfluenzae",1
"17","Planobacterium_taklimakanense",1
"18","Lautropia_mirabilis",1
"19","Filifactor_alocis",5
"20","Porphyromonas_gingivalis",5
"21","Granulicatella_adiacens",3
"22","Rothia_mucilaginosa",3
"23","Streptococcus_cristatus",3
"24","Lachnoanaerobaculum_saburreum",4
"25","Leptotrichia_buccalis",4
"26","Mogibacterium_diversum",4
"27","Leptotrichia_hofstadii",1
"28","Actinomyces_oris",1
"29","Streptococcus_sanguinis",1
"30","Fusobacterium_periodonticum",1
"31","Capnocytophaga_granulosa",1
"32","Gemella_haemolysans",1
"33","Streptococcus_oralis",1
"34","Cardiobacterium_valvarum",1
"35","Eubacterium_sulci",4
"36","Actinomyces_graevenitzii",4
"37","Alloprevotella_rava",4
"38","Atopobium_parvulum",4
"39","Bifidobacterium_dentium",4
"40","Slackia_exigua",4
"41","Streptococcus_parasanguinis",8
"42","Treponema_socranskii",1
"43","Selenomonas_flueggei",4
"44","Capnocytophaga_ochracea",1
"45","Prevotella_denticola",5
"46","Eubacterium_nodatum",1
"47","Tannerella_forsythia",5
"48","Prevotella_oralis",1
"49","Prevotella_nanceiensis",1
"50","Veillonella_rogosae",3
"51","Gemella_sanguinis",3
"52","Prevotella_intermedia",5
"53","Prevotella_pleuritidis",5
"54","Selenomonas_sputigena",4
"55","Selenomonas_ruminantium",4
"56","Alloprevotella_tannerae",2
"57","Capnocytophaga_sputigena",1
"58","Eubacterium_yurii",2
"59","Treponema_medium",5
"60","Solobacterium_moorei",4
"61","Peptostreptococcus_stomatis",4
"62","Oribacterium_sinus",4
"63","Campylobacter_concisus",4
"64","Prevotella_melaninogenica",4
"65","Megasphaera_micronuciformis",4
"66","Actinomyces_odontolyticus",4
"67","Selenomonas_noxia",5
"68","Prevotella_fusca",4
"69","Eubacterium_saphenum",1
"70","Abiotrophia_defectiva",1
"71","Haemophilus_parahaemolyticus",1
"72","Granulicatella_elegans",1
"73","Gemella_morbillorum",1
"74","Haemophilus_sputorum",1
"75","Veillonella_atypica",4
"76","Streptococcus_australis",3
"77","Corynebacterium_matruchotii",1
"78","Olsenella_uli",1
"79","Campylobacter_showae",1
"80","Actinomyces_viscosus",1
"81","Parascardovia_denticolens",1
"82","Leptotrichia_shahii",1
"83","Actinomyces_georgiae",1
"84","Prevotella_maculosa",5
"85","Actinomyces_cardiffensis",1
"86","Campylobacter_gracilis",5
"87","Streptococcus_constellatus",5
"88","Prevotella_nigrescens",5
"89","Eikenella_corrodens",1
"90","Parvimonas_micra",1
"91","Scardovia_wiggsiae",5
"92","Fusobacterium_nucleatum",5
"93","Treponema_lecithinolyticum",5
"94","Dialister_pneumosintes",7
"95","Selenomonas_infelix",5
"96","Campylobacter_rectus",5
"97","Prevotella_saccharolytica",5
"98","Catonella_morbi",2
"99","Peptococcus_niger",2
"100","Actinomyces_massiliensis",1
"101","Streptococcus_salivarius",8
"102","Alloscardovia_omnicolens",4
"103","Streptococcus_thermophilus",8
"104","Neisseria_flavescens",1
"105","Leptotrichia_wadei",4
"106","Actinomyces_meyeri",4
"107","Leptotrichia_goodfellowii",4
"108","Streptococcus_mitis",1
"109","Streptococcus_gordonii",1
"110","Prevotella_oris",5
"111","Prevotella_marshii",5
"112","Prevotella_buccae",5
"113","Mogibacterium_timidum",5
"114","Streptococcus_anginosus",5
"115","Porphyromonas_catoniae",1
"116","Prevotella_aurantiaca",1
"117","Lachnoanaerobaculum_umeaense",1
"118","Eubacterium_infirmum",4
"119","Corynebacterium_durum",1
"120","Neisseria_sicca",1
"121","Cardiobacterium_hominis",1
"122","Fretibacterium_fastidiosum",5
"123","Streptococcus_infantis",3
"124","Prevotella_histicola",4
"125","Cryptobacterium_curtum",7
"126","Dialister_micraerophilus",4
"127","Aggregatibacter_segnis",5
"128","Actinomyces_naeslundii",1
"129","Capnocytophaga_gingivalis",1
"130","Prevotella_loescheii",1
"131","Prevotella_oulorum",4
"132","Atopobium_rimae",7
"133","Treponema_maltophilum",5
"134","Haemophilus_influenzae",6
"135","Haemophilus_haemolyticus",6
"136","Stomatobaculum_longum",4
"137","Actinomyces_lingnae",4
