"","Node1","Node2","Weight"
"50","Eubacterium_saphenum","Treponema_denticola",1
"101","Prevotella_pallens","Prevotella_shahii",1
"144","Prevotella_baroniae","Dialister_invisus",1
"145","Capnocytophaga_leadbetteri","Dialister_invisus",1
"244","Porphyromonas_endodontalis","Actinomyces_meyeri",1
"260","Actinomyces_odontolyticus","Prevotella_salivae",1
"867","Leptotrichia_buccalis","Rothia_mucilaginosa",-1
"868","Actinomyces_odontolyticus","Rothia_mucilaginosa",1
"877","Prevotella_denticola","Rothia_mucilaginosa",-1
"898","Actinomyces_gerencseriae","Rothia_mucilaginosa",-1
"900","Selenomonas_noxia","Rothia_mucilaginosa",-1
"1082","Veillonella_rogosae","Fusobacterium_periodonticum",1
"1088","Actinomyces_odontolyticus","Fusobacterium_periodonticum",1
"1091","Prevotella_pallens","Fusobacterium_periodonticum",1
"1096","Prevotella_shahii","Fusobacterium_periodonticum",1
"1105","Prevotella_salivae","Fusobacterium_periodonticum",1
"1121","Haemophilus_parainfluenzae","Fusobacterium_periodonticum",1
"1663","Prevotella_pallens","Eubacterium_sulci",1
"1718","Actinomyces_odontolyticus","Streptococcus_parasanguinis",1
"1754","Rothia_mucilaginosa","Streptococcus_parasanguinis",1
"1840","Prevotella_pallens","Actinomyces_graevenitzii",1
"2161","Prevotella_denticola","Shuttleworthia_satelles",1
"2856","Leptotrichia_buccalis","Capnocytophaga_ochracea",1
"2859","Capnocytophaga_leadbetteri","Capnocytophaga_ochracea",1
"2863","Porphyromonas_endodontalis","Capnocytophaga_ochracea",1
"2866","Prevotella_denticola","Capnocytophaga_ochracea",1
"2867","Actinomyces_oris","Capnocytophaga_ochracea",1
"2885","Lautropia_mirabilis","Capnocytophaga_ochracea",1
"2889","Selenomonas_noxia","Capnocytophaga_ochracea",1
"2893","Rothia_mucilaginosa","Capnocytophaga_ochracea",-1
"2894","Lachnoanaerobaculum_saburreum","Capnocytophaga_ochracea",1
"2896","Leptotrichia_hofstadii","Capnocytophaga_ochracea",1
"2897","Streptococcus_sanguinis","Capnocytophaga_ochracea",1
"2899","Campylobacter_showae","Capnocytophaga_ochracea",1
"2900","Tannerella_forsythia","Capnocytophaga_ochracea",1
"2901","Capnocytophaga_granulosa","Capnocytophaga_ochracea",1
"2903","Leptotrichia_hongkongensis","Capnocytophaga_ochracea",1
"2907","Cardiobacterium_valvarum","Capnocytophaga_ochracea",1
"2922","Selenomonas_flueggei","Capnocytophaga_ochracea",1
"4368","Veillonella_parvula","Selenomonas_infelix",1
"4663","Actinomyces_odontolyticus","Oribacterium_sinus",1
"4704","Fusobacterium_periodonticum","Oribacterium_sinus",1
"5060","Prevotella_pallens","Campylobacter_concisus",1
"5098","Fusobacterium_periodonticum","Campylobacter_concisus",1
"5110","Streptococcus_parasanguinis","Campylobacter_concisus",1
"5152","Veillonella_rogosae","Prevotella_melaninogenica",1
"5155","Veillonella_dispar","Prevotella_melaninogenica",1
"5158","Actinomyces_odontolyticus","Prevotella_melaninogenica",1
"5161","Prevotella_pallens","Prevotella_melaninogenica",1
"5175","Prevotella_salivae","Prevotella_melaninogenica",1
"5199","Fusobacterium_periodonticum","Prevotella_melaninogenica",1
"5210","Eubacterium_sulci","Prevotella_melaninogenica",1
"5211","Streptococcus_parasanguinis","Prevotella_melaninogenica",1
"5213","Actinomyces_graevenitzii","Prevotella_melaninogenica",1
"5215","Atopobium_parvulum","Prevotella_melaninogenica",1
"5217","Prevotella_nanceiensis","Prevotella_melaninogenica",1
"5238","Actinomyces_lingnae","Prevotella_melaninogenica",1
"5249","Oribacterium_sinus","Prevotella_melaninogenica",1
"5250","Solobacterium_moorei","Prevotella_melaninogenica",1
"5253","Campylobacter_concisus","Prevotella_melaninogenica",1
"5301","Fusobacterium_periodonticum","Megasphaera_micronuciformis",1
"5340","Actinomyces_lingnae","Megasphaera_micronuciformis",1
"5351","Oribacterium_sinus","Megasphaera_micronuciformis",1
"5352","Solobacterium_moorei","Megasphaera_micronuciformis",1
"5356","Prevotella_melaninogenica","Megasphaera_micronuciformis",1
"6333","Eubacterium_saphenum","Prevotella_nigrescens",1
"6334","Leptotrichia_buccalis","Prevotella_nigrescens",1
"6336","Prevotella_baroniae","Prevotella_nigrescens",1
"6339","Treponema_denticola","Prevotella_nigrescens",1
"6340","Eubacterium_brachy","Prevotella_nigrescens",1
"6346","Dialister_invisus","Prevotella_nigrescens",1
"6356","Anaeroglobus_geminatus","Prevotella_nigrescens",1
"6357","Olsenella_uli","Prevotella_nigrescens",1
"6367","Selenomonas_noxia","Prevotella_nigrescens",1
"6371","Rothia_mucilaginosa","Prevotella_nigrescens",-1
"6377","Campylobacter_showae","Prevotella_nigrescens",1
"6389","Prevotella_oralis","Prevotella_nigrescens",1
"6398","Treponema_socranskii","Prevotella_nigrescens",1
"6399","Dialister_pneumosintes","Prevotella_nigrescens",1
"6400","Selenomonas_flueggei","Prevotella_nigrescens",1
"6408","Selenomonas_sputigena","Prevotella_nigrescens",1
"6419","Capnocytophaga_sputigena","Prevotella_nigrescens",1
"6422","Selenomonas_infelix","Prevotella_nigrescens",1
"6441","Campylobacter_rectus","Prevotella_nigrescens",1
"6632","Capnocytophaga_ochracea","Eikenella_corrodens",1
"6804","Dialister_invisus","Scardovia_wiggsiae",1
"6908","Eubacterium_saphenum","Fusobacterium_nucleatum",1
"6909","Leptotrichia_buccalis","Fusobacterium_nucleatum",1
"6912","Capnocytophaga_leadbetteri","Fusobacterium_nucleatum",1
"6914","Treponema_denticola","Fusobacterium_nucleatum",1
"6915","Eubacterium_brachy","Fusobacterium_nucleatum",1
"6917","Eubacterium_yurii","Fusobacterium_nucleatum",1
"6921","Dialister_invisus","Fusobacterium_nucleatum",1
"6929","Eubacterium_nodatum","Fusobacterium_nucleatum",1
"6932","Olsenella_uli","Fusobacterium_nucleatum",1
"6935","Peptococcus_niger","Fusobacterium_nucleatum",1
"6937","Schwartzia_succinivorans","Fusobacterium_nucleatum",1
"6942","Selenomonas_noxia","Fusobacterium_nucleatum",1
"6945","Filifactor_alocis","Fusobacterium_nucleatum",1
"6946","Rothia_mucilaginosa","Fusobacterium_nucleatum",-1
"6952","Campylobacter_showae","Fusobacterium_nucleatum",1
"6954","Capnocytophaga_granulosa","Fusobacterium_nucleatum",1
"6960","Cardiobacterium_valvarum","Fusobacterium_nucleatum",1
"6964","Prevotella_oralis","Fusobacterium_nucleatum",1
"6973","Treponema_socranskii","Fusobacterium_nucleatum",1
"6974","Dialister_pneumosintes","Fusobacterium_nucleatum",1
"6975","Selenomonas_flueggei","Fusobacterium_nucleatum",1
"6976","Peptostreptococcus_stomatis","Fusobacterium_nucleatum",1
"6979","Leptotrichia_shahii","Fusobacterium_nucleatum",1
"6980","Capnocytophaga_ochracea","Fusobacterium_nucleatum",1
"6982","Prevotella_intermedia","Fusobacterium_nucleatum",1
"6988","Actinomyces_georgiae","Fusobacterium_nucleatum",1
"6991","Prevotella_maculosa","Fusobacterium_nucleatum",1
"6993","Veillonella_parvula","Fusobacterium_nucleatum",1
"6996","Treponema_medium","Fusobacterium_nucleatum",1
"6997","Selenomonas_infelix","Fusobacterium_nucleatum",1
"7014","Campylobacter_gracilis","Fusobacterium_nucleatum",1
"7016","Campylobacter_rectus","Fusobacterium_nucleatum",1
"7017","Prevotella_nigrescens","Fusobacterium_nucleatum",1
"7019","Eikenella_corrodens","Fusobacterium_nucleatum",1
"7140","Fusobacterium_nucleatum","Prevotella_saccharolytica",1
"7880","Eubacterium_saphenum","Mogibacterium_timidum",1
"7994","Fusobacterium_nucleatum","Mogibacterium_timidum",1
"8690","Lachnoanaerobaculum_saburreum","Leptotrichia_wadei",1
"8785","Actinomyces_odontolyticus","Streptococcus_mitis",-1
"8834","Streptococcus_oralis","Streptococcus_mitis",1
"8838","Streptococcus_parasanguinis","Streptococcus_mitis",-1
"8840","Actinomyces_graevenitzii","Streptococcus_mitis",-1
"8842","Atopobium_parvulum","Streptococcus_mitis",-1
"8923","Eubacterium_brachy","Prevotella_oris",1
"8924","Porphyromonas_endodontalis","Prevotella_oris",1
"8929","Dialister_invisus","Prevotella_oris",1
"8931","Prevotella_enoeca","Prevotella_oris",1
"8940","Olsenella_uli","Prevotella_oris",1
"8945","Schwartzia_succinivorans","Prevotella_oris",1
"8950","Selenomonas_noxia","Prevotella_oris",1
"8957","Leptotrichia_hofstadii","Prevotella_oris",1
"8972","Prevotella_oralis","Prevotella_oris",1
"8981","Treponema_socranskii","Prevotella_oris",1
"8982","Dialister_pneumosintes","Prevotella_oris",1
"8983","Selenomonas_flueggei","Prevotella_oris",1
"8996","Actinomyces_georgiae","Prevotella_oris",1
"9001","Veillonella_parvula","Prevotella_oris",1
"9004","Treponema_medium","Prevotella_oris",1
"9005","Selenomonas_infelix","Prevotella_oris",1
"9029","Scardovia_wiggsiae","Prevotella_oris",1
"9042","Streptococcus_anginosus","Prevotella_oris",1
"9093","Fusobacterium_periodonticum","Porphyromonas_catoniae",1
"9537","Alloprevotella_tannerae","Eubacterium_infirmum",1
"10704","Fusobacterium_nucleatum","Fretibacterium_fastidiosum",1
"10997","Fusobacterium_nucleatum","Selenomonas_artemidis",1
"11334","Capnocytophaga_leadbetteri","Aggregatibacter_segnis",1
"11368","Rothia_mucilaginosa","Aggregatibacter_segnis",-1
"11402","Capnocytophaga_ochracea","Aggregatibacter_segnis",1
"11470","Kingella_oralis","Aggregatibacter_segnis",1
"11828","Streptococcus_sanguinis","Actinomyces_naeslundii",1
"12140","Tannerella_forsythia","Prevotella_loescheii",1
"12167","Capnocytophaga_ochracea","Prevotella_loescheii",1
"12209","Fusobacterium_nucleatum","Prevotella_loescheii",1
"12223","Leptotrichia_wadei","Prevotella_loescheii",1
"12446","Rothia_mucilaginosa","Prevotella_oulorum",-1
"12696","Prevotella_oris","Atopobium_rimae",1
"13537","Actinomyces_odontolyticus","Stomatobaculum_longum",1
"13540","Prevotella_pallens","Stomatobaculum_longum",1
"13578","Fusobacterium_periodonticum","Stomatobaculum_longum",1
"13590","Streptococcus_parasanguinis","Stomatobaculum_longum",1
"13617","Actinomyces_lingnae","Stomatobaculum_longum",1
"13628","Oribacterium_sinus","Stomatobaculum_longum",1
"13633","Prevotella_melaninogenica","Stomatobaculum_longum",1
"13667","Aggregatibacter_aphrophilus","Stomatobaculum_longum",-1
