"","species","ClusterID"
"1","Eubacterium_saphenum",1
"2","Treponema_denticola",1
"3","Prevotella_pallens",2
"4","Prevotella_shahii",2
"5","Prevotella_baroniae",4
"6","Dialister_invisus",4
"7","Capnocytophaga_leadbetteri",1
"8","Porphyromonas_endodontalis",6
"9","Actinomyces_meyeri",6
"10","Actinomyces_odontolyticus",2
"11","Prevotella_salivae",2
"12","Leptotrichia_buccalis",1
"13","Rothia_mucilaginosa",1
"14","Prevotella_denticola",7
"15","Actinomyces_gerencseriae",1
"16","Selenomonas_noxia",1
"17","Veillonella_rogosae",2
"18","Fusobacterium_periodonticum",2
"19","Haemophilus_parainfluenzae",2
"20","Eubacterium_sulci",2
"21","Streptococcus_parasanguinis",2
"22","Actinomyces_graevenitzii",3
"23","Shuttleworthia_satelles",7
"24","Capnocytophaga_ochracea",1
"25","Actinomyces_oris",1
"26","Lautropia_mirabilis",1
"27","Lachnoanaerobaculum_saburreum",5
"28","Leptotrichia_hofstadii",1
"29","Streptococcus_sanguinis",8
"30","Campylobacter_showae",1
"31","Tannerella_forsythia",5
"32","Capnocytophaga_granulosa",1
"33","Leptotrichia_hongkongensis",1
"34","Cardiobacterium_valvarum",1
"35","Selenomonas_flueggei",4
"36","Veillonella_parvula",4
"37","Selenomonas_infelix",4
"38","Oribacterium_sinus",2
"39","Campylobacter_concisus",2
"40","Prevotella_melaninogenica",2
"41","Veillonella_dispar",2
"42","Atopobium_parvulum",3
"43","Prevotella_nanceiensis",2
"44","Actinomyces_lingnae",2
"45","Solobacterium_moorei",2
"46","Megasphaera_micronuciformis",2
"47","Prevotella_nigrescens",4
"48","Eubacterium_brachy",4
"49","Anaeroglobus_geminatus",4
"50","Olsenella_uli",4
"51","Prevotella_oralis",4
"52","Treponema_socranskii",4
"53","Dialister_pneumosintes",4
"54","Selenomonas_sputigena",4
"55","Capnocytophaga_sputigena",4
"56","Campylobacter_rectus",4
"57","Eikenella_corrodens",1
"58","Scardovia_wiggsiae",4
"59","Fusobacterium_nucleatum",1
"60","Eubacterium_yurii",1
"61","Eubacterium_nodatum",1
"62","Peptococcus_niger",1
"63","Schwartzia_succinivorans",4
"64","Filifactor_alocis",1
"65","Peptostreptococcus_stomatis",1
"66","Leptotrichia_shahii",1
"67","Prevotella_intermedia",1
"68","Actinomyces_georgiae",4
"69","Prevotella_maculosa",1
"70","Treponema_medium",4
"71","Campylobacter_gracilis",1
"72","Prevotella_saccharolytica",1
"73","Mogibacterium_timidum",1
"74","Leptotrichia_wadei",5
"75","Streptococcus_mitis",3
"76","Streptococcus_oralis",3
"77","Prevotella_oris",4
"78","Prevotella_enoeca",4
"79","Streptococcus_anginosus",4
"80","Porphyromonas_catoniae",2
"81","Alloprevotella_tannerae",10
"82","Eubacterium_infirmum",10
"83","Fretibacterium_fastidiosum",1
"84","Selenomonas_artemidis",1
"85","Aggregatibacter_segnis",9
"86","Kingella_oralis",9
"87","Actinomyces_naeslundii",8
"88","Prevotella_loescheii",5
"89","Prevotella_oulorum",1
"90","Atopobium_rimae",4
"91","Stomatobaculum_longum",2
"92","Aggregatibacter_aphrophilus",2
