"cluster"	"degree"	"betweenness"	"sHACK"	"CS"	"HS"	"SS"	"within_group_propensity"	"across_group_propensity"	"species"
"Rothia_aeria"	2	43	0	0.865461847389558	0.901369863013699	0.902957861597142	0.435359310217974	0.375	0.0643564356435644	"Rothia_aeria"
"Leptotrichia_buccalis"	3	38	35.883704015283	0.961847389558233	0.872602739726027	0.742367762507316	0.918895035146531	0.21875	0.0860215053763441	"Leptotrichia_buccalis"
"Butyrivibrio_hungatei"	4	8	0	0.56425702811245	0	0.682146071724082	0.814690076872081	0.0806451612903226	0.0136363636363636	"Butyrivibrio_hungatei"
"Actinomyces_odontolyticus"	4	27	111.400751879699	0.947791164658635	0.958904109589041	0.73572864321608	0.761200684883784	0.209677419354839	0.0590909090909091	"Actinomyces_odontolyticus"
"Veillonella_dispar"	1	45	0	0.612449799196787	0.980821917808219	0.177238804464088	0.59439898877657	0.6	0.0867768595041322	"Veillonella_dispar"
"Prevotella_pallens"	4	26	74.1275703162244	0.98995983935743	0.994520547945206	0.817064640471433	0.968551124050972	0.161290322580645	0.0636363636363636	"Prevotella_pallens"
"Prevotella_baroniae"	3	33	0	0.70281124497992	0.591780821917808	0.347384815644487	0.615478526941853	0.322916666666667	0.010752688172043	"Prevotella_baroniae"
"Treponema_denticola"	3	44	9.18317787285179	0.742971887550201	0.757534246575343	0.640433997295715	0.366528539136995	0.375	0.0376344086021505	"Treponema_denticola"
"Eubacterium_saphenum"	3	31	0	0.556224899598394	0.621917808219178	0.0907080583641097	0.487577028283341	0.270833333333333	0.0268817204301075	"Eubacterium_saphenum"
"Eubacterium_brachy"	3	45	28.7396877399957	0.748995983935743	0.741095890410959	0.691732053843515	0.353227319615594	0.416666666666667	0.0161290322580645	"Eubacterium_brachy"
"Porphyromonas_endodontalis"	3	66	101.222405814361	0.793172690763052	0.836986301369863	0.444754293556134	0.65605390044793	0.541666666666667	0.0537634408602151	"Porphyromonas_endodontalis"
"Eubacterium_yurii"	2	17	22.2483700510016	0.973895582329317	0.76986301369863	0.981215918952191	0.934342997488828	0.1	0.0396039603960396	"Eubacterium_yurii"
