,Axis1,Axis2,Axis3,CS,HS,SS,sHACK,cluster,cx,cy,cluster_factor,High_sHACK,Module2
Fusobacterium_periodonticum,3.12557651662518,-22.3914562585686,-4.11191568022675,0.991780821917808,0.983127787532038,0.999293530337027,1,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Lachnoanaerobaculum_umeaense,2.99995352877435,-15.5696504834739,-6.01571689698421,0.923287671232877,0.947371193315977,0.905526149597593,0.997991967871486,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Campylobacter_concisus,2.97065243737836,0.624247324933404,-17.5950659820459,0.965753424657534,0.946760206655769,0.887426757778014,0.995983935742972,4,-3.60854994020313,-2.09522479612292,4,TRUE,FALSE
Porphyromonas_catoniae,5.60112176361914,-23.8868765626825,2.21032872917777,0.984931506849315,0.878976004520595,0.908063163006729,0.993975903614458,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Actinomyces_graevenitzii,-0.33897661628091,3.19663095976715,-20.5679458380359,0.965753424657534,0.913006296542956,0.847138018157927,0.991967871485944,4,-3.60854994020313,-2.09522479612292,4,TRUE,FALSE
Prevotella_pallens,1.11852069103825,-2.98618164222207,-20.0346192713593,0.994520547945206,0.817064640471433,0.968551124050972,0.98995983935743,4,-3.60854994020313,-2.09522479612292,4,TRUE,FALSE
Prevotella_melaninogenica,-2.56713794698891,-4.07127438915779,-17.0714714059223,0.984931506849315,0.818661883715768,0.940485937799142,0.987951807228916,4,-3.60854994020313,-2.09522479612292,4,TRUE,FALSE
Alloprevotella_rava,7.31048775607867,-5.49448544622736,-8.60969758200498,0.850684931506849,0.872211055276382,0.871231516550112,0.985943775100402,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Eubacterium_sulci,2.85148996849645,-8.22248087040422,-17.4215128020353,0.894520547945206,0.829147746765958,0.995550013841472,0.983935742971888,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Veillonella_rogosae,-2.24610984947075,-14.2297946989542,-5.29378427692279,0.83013698630137,0.954500312809025,0.888058643412226,0.981927710843373,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Prevotella_veroralis,7.83251228428797,6.56730248545435,-13.7293687124755,0.916438356164384,0.813351799156425,0.988286548093493,0.979919678714859,3,15.7200397767724,5.68151935062429,3,TRUE,FALSE
Catonella_morbi,13.7604451284023,-4.52445635565609,-0.922038355569283,0.878082191780822,0.831847591370507,0.834348443771998,0.977911646586345,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Prevotella_shahii,6.26104959924712,-17.4205320669457,-0.940544984376358,0.80958904109589,0.861951423785595,0.974180955546584,0.975903614457831,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Eubacterium_yurii,14.9316787649462,-10.2405533442891,6.791810765383,0.76986301369863,0.981215918952191,0.934342997488828,0.973895582329317,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Haemophilus_parainfluenzae,1.02865997097552,-21.394884315431,-0.561163845489332,0.975342465753425,0.998191257492281,0.749326496933172,0.971887550200803,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
Cardiobacterium_hominis,12.1296397134384,-9.79474343589909,3.78392950295959,0.821917808219178,0.981718835139553,0.829155187367296,0.969879518072289,2,6.72843344989611,-10.8417605202732,2,TRUE,TRUE
