"","Axis1","Axis2","Axis3","HAC","cluster","cx","cy","cluster_factor","High_HAC","Module2"
"Cardiobacterium_hominis",-3.25869669978841,-15.3811879708879,2.34609598070613,1,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Streptococcus_sanguinis",-13.7877250256695,-6.02369850742996,0.234806790253141,0.99601593625498,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Eikenella_corrodens",1.21569048204867,-14.9008871144308,2.3523122603354,0.99203187250996,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Corynebacterium_durum",-9.88331046415126,-7.14310372826298,2.05680465300192,0.98804780876494,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Porphyromonas_catoniae",-3.54591815448163,-9.05531485937709,1.45343712331097,0.98406374501992,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Prevotella_loescheii",7.76358084875881,-10.2897241405328,-1.16037021402307,0.9800796812749,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Lautropia_mirabilis",-9.32311628303806,-11.4317855392697,3.5252408426584,0.974103585657371,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Capnocytophaga_ochracea",4.2531422726125,-9.76676195819791,-4.46729210654319,0.974103585657371,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Prevotella_oulorum",12.0337846175181,0.0821507155231915,-9.74642192357714,0.968127490039841,1,11.3113902413612,1.66557873721339,"1",TRUE,FALSE
"Veillonella_parvula",-1.84428490245051,0.236362780739301,-10.5358789185207,0.960159362549801,3,-5.46406882679862,3.08795085622038,"3",TRUE,FALSE
"Gemella_morbillorum",1.2352494692884,-4.9033081396827,-1.86397872005982,0.960159362549801,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Aggregatibacter_segnis",3.02934212520162,-12.1710052793071,0.511843426453288,0.960159362549801,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Capnocytophaga_sputigena",-2.72650627632755,-13.9088651246098,3.52537799360198,0.952191235059761,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Capnocytophaga_granulosa",2.10036972418196,-15.9622065355691,-0.981980985955008,0.944223107569721,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Capnocytophaga_leadbetteri",-0.954127945559919,-14.6775627676538,1.6961321092619,0.944223107569721,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Cardiobacterium_valvarum",1.16587349321515,-15.013614996003,2.82385629091658,0.944223107569721,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Actinomyces_naeslundii",-6.88492553035152,-4.72632926094029,-6.04636067353398,0.936254980079681,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Leptotrichia_wadei",8.8961431732087,-3.03704776381108,-9.69238812696954,0.932270916334661,1,11.3113902413612,1.66557873721339,"1",TRUE,FALSE
"Actinomyces_massiliensis",-7.30531076498555,-8.06849611229827,-2.74762892241563,0.928286852589641,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Actinomyces_georgiae",5.48291321083375,-9.39740887465723,-5.40252765230019,0.924302788844621,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Campylobacter_showae",5.42495167888227,-12.8925337757457,0.849167586030118,0.918326693227092,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Prevotella_saccharolytica",9.29382131595685,-13.645364441005,1.23172121698797,0.918326693227092,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Neisseria_flavescens",-4.4247348303615,-11.76341601961,-0.39455988954519,0.910358565737052,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Centipeda_periodontii",9.39850116133172,-2.56120360462687,-1.94152438835487,0.910358565737052,1,11.3113902413612,1.66557873721339,"1",TRUE,FALSE
"Actinomyces_odontolyticus",-3.62980298751547,2.10634021664035,-6.4372201594846,0.904382470119522,3,-5.46406882679862,3.08795085622038,"3",TRUE,FALSE
"Rothia_aeria",-11.1816484109162,-13.370824247703,4.10910176434588,0.900398406374502,2,-2.40353493278898,-9.14158256026044,"2",TRUE,TRUE
"Neisseria_elongata",-7.44127357923985,-12.9045012404175,4.93862073820851,0.896414342629482,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Haemophilus_parainfluenzae",-9.98861894083531,0.394800193641948,0.154778385105019,0.892430278884462,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Kingella_oralis",-6.36647008533452,-8.03789381018465,-7.44821382538596,0.886454183266932,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Campylobacter_concisus",4.43982046552228,-2.3766092454759,-9.09563498250627,0.886454183266932,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Fusobacterium_periodonticum",-2.37643981279829,-3.06817603468845,-0.121357556104071,0.878486055776892,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Leptotrichia_goodfellowii",-1.35549534360019,-6.41336082613513,0.159276179443536,0.878486055776892,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
