"","Axis1","Axis2","Axis3","HAC","cluster","cx","cy","cluster_factor","High_HAC","Module5"
"Mogibacterium_diversum",-10.6934880016777,-1.88905231737391,3.76308131400839,1,5,-7.45942881669083,-0.223983210596994,"5",TRUE,TRUE
"Alloprevotella_rava",-7.61278734262572,-6.83964870415161,4.37463370449435,0.995260663507109,6,-10.5517734426121,-10.4196660345533,"6",TRUE,FALSE
"Eubacterium_sulci",-8.76820859906389,-5.29448345109825,15.7336388848467,0.988151658767773,5,-7.45942881669083,-0.223983210596994,"5",TRUE,TRUE
"Neisseria_flavescens",1.16376130568934,14.342728287405,1.70889196732694,0.988151658767773,2,-3.0129801878269,5.7733826650414,"2",TRUE,FALSE
"Prevotella_jejuni",-9.49583738094025,-1.68960556448044,2.41115780082185,0.981042654028436,5,-7.45942881669083,-0.223983210596994,"5",TRUE,TRUE
"Rothia_mucilaginosa",-4.16138349973544,9.71099162673672,-6.83017464659616,0.964454976303318,2,-3.0129801878269,5.7733826650414,"2",TRUE,FALSE
"Campylobacter_concisus",-12.0468770596635,-5.67930927512803,4.48980924178548,0.964454976303318,6,-10.5517734426121,-10.4196660345533,"6",TRUE,FALSE
"Oribacterium_sinus",-10.2236833272291,-1.21924647518517,6.45835888075934,0.964454976303318,5,-7.45942881669083,-0.223983210596994,"5",TRUE,TRUE
"Rothia_dentocariosa",4.09751153363622,1.95482197811409,-9.37859137219671,0.964454976303318,1,1.36341191803437,-2.35018635145671,"1",TRUE,FALSE
"Lachnoanaerobaculum_saburreum",-6.39970518312773,-9.51358189385691,5.53170096670236,0.964454976303318,6,-10.5517734426121,-10.4196660345533,"6",TRUE,FALSE
"Veillonella_rogosae",-3.1771218121831,7.1888613804587,3.54666126083623,0.964454976303318,2,-3.0129801878269,5.7733826650414,"2",TRUE,FALSE
"Rothia_aeria",5.34317587408418,5.27143867119217,-1.82662959905131,0.928909952606635,4,7.99220075819873,5.61041765530933,"4",TRUE,FALSE
"Planobacterium_taklimakanense",-5.07192480309719,6.01463514393432,-0.890180872445323,0.928909952606635,2,-3.0129801878269,5.7733826650414,"2",TRUE,FALSE
"Lautropia_mirabilis",5.76952521847914,5.57257319242354,0.429800977116225,0.928909952606635,4,7.99220075819873,5.61041765530933,"4",TRUE,FALSE
"Campylobacter_mucosalis",-7.00986699172213,0.422648953913882,1.23517735792383,0.928909952606635,5,-7.45942881669083,-0.223983210596994,"5",TRUE,TRUE
"Prevotella_nigrescens",10.9595526166392,-5.32114725927683,-3.40951889747225,0.928909952606635,3,9.66242027594735,-5.59787359239465,"3",TRUE,FALSE
"Prevotella_oris",8.5328409342021,-7.67126116587371,-2.60178077749966,0.928909952606635,3,9.66242027594735,-5.59787359239465,"3",TRUE,FALSE
"Corynebacterium_durum",6.68969938339492,3.85983776066361,-4.37525951090668,0.928909952606635,4,7.99220075819873,5.61041765530933,"4",TRUE,FALSE
"Actinomyces_sp_ICM47",-9.88746134759018,-0.839221024552204,1.94661371146476,0.928909952606635,5,-7.45942881669083,-0.223983210596994,"5",TRUE,TRUE
"Streptococcus_sp_A12",-4.68335196890303,6.03821848503113,0.865531677726741,0.928909952606635,2,-3.0129801878269,5.7733826650414,"2",TRUE,FALSE
"Prevotella_salivae",-14.1467623176632,-11.9289149335103,3.58982578020662,0.845971563981043,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Actinomyces_graevenitzii",-14.0929974542068,-7.42253589778762,2.34132925143586,0.845971563981043,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Atopobium_parvulum",-14.6628156702318,-11.9203137963175,0.844399438373881,0.845971563981043,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
