"","tax_id","lineage","species","subsite"
"Fusobacterium periodonticum",860,"Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium periodonticum","Fusobacterium periodonticum","saliva"
"Lachnoanaerobaculum umeaense",617123,"Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum umeaense","Lachnoanaerobaculum umeaense","saliva"
"Campylobacter concisus",199,"Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus","Campylobacter concisus","saliva"
"Porphyromonas catoniae",41976,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae","Porphyromonas catoniae","saliva"
"Actinomyces graevenitzii",55565,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii","Actinomyces graevenitzii","saliva"
"Prevotella pallens",60133,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pallens","Prevotella pallens","saliva"
"Prevotella melaninogenica",28132,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella melaninogenica","Prevotella melaninogenica","saliva"
"Alloprevotella rava",671218,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava","Alloprevotella rava","saliva"
"Eubacterium sulci",143393,"Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;unclassified Anaerovoracaceae Incertae Sedis;Eubacterium sulci","Eubacterium sulci","saliva"
"Veillonella rogosae",423477,"Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae","Veillonella rogosae","saliva"
